// DIFF REMOVED 305 
// HASH_VALUE 06EAD2619679EB60
// INDEX 0
certifs_rpjob_certifs_title	[Use your $certifs.p$]
rpjob_c_black_blue	[$integer$) Black and blue]

// DIFF REMOVED 5236 
// HASH_VALUE 215382DA08159CAD
// INDEX 76
rpjob_c_blue	[$integer$) Blue]

// DIFF REMOVED 5236 
// HASH_VALUE 0E75BB12B6199CAA
// INDEX 77
rpjob_c_blue_red	[$integer$) Blue and red]

// DIFF REMOVED 5236 
// HASH_VALUE 5AD09290F058ACA8
// INDEX 78
rpjob_c_bones	[$integer$) Bones]

// DIFF REMOVED 5236 
// HASH_VALUE 52759725CACAC471
// INDEX 79
rpjob_c_box_sculpt	[$integer$) Sculpted Box]

// DIFF REMOVED 5236 
// HASH_VALUE 635382DA08F690A5
// INDEX 80
rpjob_c_buds	[$integer$) Buds]

// DIFF REMOVED 5236 
// HASH_VALUE 020AE3815CD95324
// INDEX 81
rpjob_c_buildings	[$integer$) Apartments and guild halls]

// DIFF REMOVED 5236 
// HASH_VALUE 635382DA08A5B4B3
// INDEX 82
rpjob_c_burn	[$integer$) Burn]

// DIFF REMOVED 5236 
// HASH_VALUE 9010692DEA19707D
// INDEX 83
rpjob_c_canva	[$integer$) Canvas]

// DIFF REMOVED 5236 
// HASH_VALUE FF656B1069E79F58
// INDEX 84
rpjob_c_carapace	[$integer$) Carapace]

// DIFF REMOVED 5236 
// HASH_VALUE 9E6382DA081594A0
// INDEX 85
rpjob_c_case	[$integer$) Case]

// DIFF REMOVED 5236 
// HASH_VALUE 2636821507B988B0
// INDEX 86
rpjob_c_case_sculpt	[$integer$) Worked pouch]

// DIFF REMOVED 5236 
// HASH_VALUE FFD5631EE7F85B5F
// INDEX 87
rpjob_c_charcoal	[$integer$) Charcoal]

// DIFF REMOVED 5236 
// HASH_VALUE 9FB010FF9D8BEB68
// INDEX 88
rpjob_c_charriot_of_mektoub	[$integer$) On a chariot pulled by one mektoub]

// DIFF REMOVED 5236 
// HASH_VALUE E10110FF9D8BB872
// INDEX 89
rpjob_c_charriot_of_mektoubs	[$integer$) On a chariot pulled by two mektoubs]

// DIFF REMOVED 5236 
// HASH_VALUE 916CDF16A969005B
// INDEX 90
rpjob_c_chassis	[$integer$) Chassis]

// DIFF REMOVED 5236 
// HASH_VALUE 2CC57BF91E481818
// INDEX 91
rpjob_c_city_zora	[$integer$) Zora City Council]

// DIFF REMOVED 5236 
// HASH_VALUE E134B30EA545A319
// INDEX 92
rpjob_c_cloppasoa	[$integer$) Cloppasoa]

// DIFF REMOVED 5236 
// HASH_VALUE 1E84BF221B11B4AD
// INDEX 93
rpjob_c_consolidate	[$integer$) Consolidate]

// DIFF REMOVED 5236 
// HASH_VALUE A131871986FB84AD
// INDEX 94
rpjob_c_cratcha_mouss	[$integer$) Cratcha moss]

// DIFF REMOVED 5236 
// HASH_VALUE 50B57F1C1A1AD0BA
// INDEX 95
rpjob_c_crystallized_sap	[$integer$) Crystallized sap]

// DIFF REMOVED 5236 
// HASH_VALUE E39527D65DC0DC63
// INDEX 96
rpjob_c_cut	[$integer$) Cut]

// DIFF REMOVED 5236 
// HASH_VALUE E2D09290EA7884B2
// INDEX 97
rpjob_c_dard	[$integer$) Sting]

// DIFF REMOVED 5236 
// HASH_VALUE 23856B1FE3D58712
// INDEX 98
rpjob_c_dehydrate	[$integer$) Dehydrate]

// DIFF REMOVED 5236 
// HASH_VALUE EE9B3B901759BBB1
// INDEX 99
rpjob_c_dont_let_stem_and_flower	[$integer$) Just let steam and flower]

// DIFF REMOVED 5236 
// HASH_VALUE 22F47F301A643DAD
// INDEX 100
rpjob_c_do_nothing	[$integer$) Do nothing]

// DIFF REMOVED 5236 
// HASH_VALUE DF246BDC58D462C2
// INDEX 101
rpjob_c_dried_clay	[$integer$) Dried clay]

// DIFF REMOVED 5236 
// HASH_VALUE E654B3CDE3948B1F
// INDEX 102
rpjob_c_dried_sap	[$integer$) Dried sap]

// DIFF REMOVED 5236 
// HASH_VALUE 0F75CFD7683A90B2
// INDEX 103
rpjob_c_dried_secretions	[$integer$) Dried secretions]

// DIFF REMOVED 5236 
// HASH_VALUE E114ABDC58D462B7
// INDEX 104
rpjob_c_dried_skin	[$integer$) Dried skin]

// DIFF REMOVED 5236 
// HASH_VALUE 28D087DBDC09C89D
// INDEX 105
rpjob_c_drop_water	[$integer$) Drop of water]

// DIFF REMOVED 5236 
// HASH_VALUE 237382DA0895BCB3
// INDEX 106
rpjob_c_drum	[$integer$) Drum]

// DIFF REMOVED 5236 
// HASH_VALUE 20B42FD65DC0A855
// INDEX 107
rpjob_c_egg	[$integer$) Egg]

// DIFF REMOVED 5236 
// HASH_VALUE 24947E2FABB8BC6C
// INDEX 108
rpjob_c_essential_oils	[$integer$) Essential oils]

// DIFF REMOVED 5236 
// HASH_VALUE 62F47F309DA552B4
// INDEX 109
rpjob_c_everything	[$integer$) Everything]

// DIFF REMOVED 5236 
// HASH_VALUE 27DA4C5D364E69EA
// INDEX 110
rpjob_c_fabric_and_ligament	[$integer$) Fiber fabric and Izam ligament]

// DIFF REMOVED 5236 
// HASH_VALUE A99C0591B4FF6D01
// INDEX 111
rpjob_c_fabric_and_mustache	[$integer$) Fiber fabric and Lumper mustache]

// DIFF REMOVED 5236 
// HASH_VALUE 9E958215072BB894
// INDEX 112
rpjob_c_fagot_worked	[$integer$) Carved fagot]

// DIFF REMOVED 5236 
// HASH_VALUE 6624C7CDEEE9E84B
// INDEX 113
rpjob_c_fairhaven_bar	[$integer$) Fairhaven Bar]

// DIFF REMOVED 5236 
// HASH_VALUE 5CD0929070584C9C
// INDEX 114
rpjob_c_fiber	[$integer$) Fiber]

// DIFF REMOVED 5236 
// HASH_VALUE 9F459BD14A0960A7
// INDEX 115
rpjob_c_fiber_fabric	[$integer$) Fiber fabric]

// DIFF REMOVED 5236 
// HASH_VALUE 4FC18B1BAEC9BCA9
// INDEX 116
rpjob_c_finely	[$integer$) Coarsely ground]

// DIFF REMOVED 5236 
// HASH_VALUE A4D433D65DC0DC57
// INDEX 117
rpjob_c_fit	[$integer$) Fit]

// DIFF REMOVED 5236 
// HASH_VALUE 511069A3E8B8688B
// INDEX 118
rpjob_c_flambe	[$integer$) Flambé]

// DIFF REMOVED 5236 
// HASH_VALUE 51106933EB59788B
// INDEX 119
rpjob_c_fleshy	[$integer$) Fleshy]

// DIFF REMOVED 5236 
// HASH_VALUE 5CD09290E8FAB4A2
// INDEX 120
rpjob_c_flora	[$integer$) Flora]

// DIFF REMOVED 5236 
// HASH_VALUE A40382DA08F6CCAE
// INDEX 121
rpjob_c_foam	[$integer$) Moss]

// DIFF REMOVED 5236 
// HASH_VALUE 60246F4EEEC90417
// INDEX 122
rpjob_c_foam_dried_crushed	[$integer$) Dried and crushed Moss]

// DIFF REMOVED 5236 
// HASH_VALUE 7E758B2C28056FB1
// INDEX 123
rpjob_c_force_arms	[$integer$) At force of arms]

// DIFF REMOVED 5236 
// HASH_VALUE E284B33547547ABC
// INDEX 124
rpjob_c_from_yubo	[$integer$) From yubos]

// DIFF REMOVED 5236 
// HASH_VALUE E534A31A52049722
// INDEX 125
rpjob_c_full_moon	[$integer$) Full moon]

// DIFF REMOVED 5236 
// HASH_VALUE A23437D65DC0C85D
// INDEX 126
rpjob_c_goo	[$integer$) Goo]

// DIFF REMOVED 5236 
// HASH_VALUE 9110692DAA4AC48F
// INDEX 127
rpjob_c_gourds	[$integer$) Gourds]

// DIFF REMOVED 5236 
// HASH_VALUE 6D7292F118265B9F
// INDEX 128
rpjob_c_great_dragon	[$integer$) of the Great Dragon]

// DIFF REMOVED 5236 
// HASH_VALUE DCD092906E5864AE
// INDEX 129
rpjob_c_green	[$integer$) Green]

// DIFF REMOVED 5236 
// HASH_VALUE 6000EF23993ACCB5
// INDEX 130
rpjob_c_greenhouse_yrkanis	[$integer$) Yrkanis Conservatory]

// DIFF REMOVED 5236 
// HASH_VALUE 61107BCB68C88C65
// INDEX 131
rpjob_c_green_black	[$integer$) Green and black]

// DIFF REMOVED 5236 
// HASH_VALUE A2645ECDEDE8506B
// INDEX 132
rpjob_c_green_blue	[$integer$) Green and blue]

// DIFF REMOVED 5236 
// HASH_VALUE 24B4738CEC58985C
// INDEX 133
rpjob_c_green_red	[$integer$) Green and red]

// DIFF REMOVED 5236 
// HASH_VALUE 9410691E26988898
// INDEX 134
rpjob_c_grossly	[$integer$) Sliced]

// DIFF REMOVED 5236 
// HASH_VALUE 229537D65DC0C063
// INDEX 135
rpjob_c_gum	[$integer$) Gum]

// DIFF REMOVED 5236 
// HASH_VALUE 6634A31AD3A4970E
// INDEX 136
rpjob_c_half_moon	[$integer$) Half moon]

// DIFF REMOVED 5236 
// HASH_VALUE 9075971F07CA80A0
// INDEX 137
rpjob_c_hardens_sap	[$integer$) Hardened sap]

// DIFF REMOVED 5236 
// HASH_VALUE 5ED09290F458ACA8
// INDEX 138
rpjob_c_honey	[$integer$) Honey]

// DIFF REMOVED 5236 
// HASH_VALUE 63B382DA082588AA
// INDEX 139
rpjob_c_hoof	[$integer$) Hoof]

// DIFF REMOVED 5236 
// HASH_VALUE 63B382DA08A5B4AD
// INDEX 140
rpjob_c_horn	[$integer$) Horn]

// DIFF REMOVED 5236 
// HASH_VALUE 5ED09290F078CCA8
// INDEX 141
rpjob_c_horns	[$integer$) Horns]

// DIFF REMOVED 5236 
// HASH_VALUE D36CAF1B2CD96462
// INDEX 142
rpjob_c_housing	[$integer$) Housing]

// DIFF REMOVED 5236 
// HASH_VALUE E5B382DA081564A8
// INDEX 143
rpjob_c_huge	[$integer$) Huge]

// DIFF REMOVED 5236 
// HASH_VALUE E44493D85D6854B1
// INDEX 144
rpjob_c_izam_ligament	[$integer$) Izam ligament]

// DIFF REMOVED 5236 
// HASH_VALUE A1C573155AF593B0
// INDEX 145
rpjob_c_keep_highest_leaves	[$integer$) Keep higest leaves]

// DIFF REMOVED 5236 
// HASH_VALUE 5530BF90D65A4C97
// INDEX 146
rpjob_c_keep_midheight_leaves	[$integer$) Keep mid-height leaves]

// DIFF REMOVED 5236 
// HASH_VALUE D075CFD7EA7ABCA9
// INDEX 147
rpjob_c_kitin_secretion	[$integer$) Kitin secretions]

// DIFF REMOVED 5236 
// HASH_VALUE 53048BB4DB989FAD
// INDEX 148
rpjob_c_lakes	[$integer$) Water of the Lakes]

// DIFF REMOVED 5236 
// HASH_VALUE 60808B309A892BA2
// INDEX 149
rpjob_c_leaf_thick_amber	[$integer$) Leaf thick with amber]

// DIFF REMOVED 5236 
// HASH_VALUE 4246A71468A85B5C
// INDEX 150
rpjob_c_leather	[$integer$) Leathers]

// DIFF REMOVED 5236 
// HASH_VALUE A8859F1227548316
// INDEX 151
rpjob_c_ligaments	[$integer$) Ligaments]

// DIFF REMOVED 5236 
// HASH_VALUE 116CB3102C443413
// INDEX 152
rpjob_c_little	[$integer$) A pinch]

// DIFF REMOVED 5236 
// HASH_VALUE E1D4DBD61970904D
// INDEX 153
rpjob_c_little_more	[$integer$) A big pinch]

// DIFF REMOVED 5236 
// HASH_VALUE E7B559206989BCB1
// INDEX 154
rpjob_c_little_sponges	[$integer$) Little sponges]

// DIFF REMOVED 5236 
// HASH_VALUE 64F382DA083588A9
// INDEX 155
rpjob_c_long	[$integer$) Long]

// DIFF REMOVED 5236 
// HASH_VALUE E784A3FB9684A31C
// INDEX 156
rpjob_c_loop	[$integer$) Wood Node]

// DIFF REMOVED 5236 
// HASH_VALUE E7005E22A6C9F4BB
// INDEX 157
rpjob_c_lumper_mustache	[$integer$) Lumper mustache]

// DIFF REMOVED 5236 
// HASH_VALUE D0D09290D8C2BA2E
// INDEX 158
rpjob_c_m20c	[$integer$) -20°C]

// DIFF REMOVED 5236 
// HASH_VALUE 0E0182DA08F301B1
// INDEX 159
rpjob_c_m5c	[$integer$) -5°C]

// DIFF REMOVED 5236 
// HASH_VALUE 9D31B71288796898
// INDEX 160
rpjob_c_madakam_skin	[$integer$) Madakam Skin]

// DIFF REMOVED 5236 
// HASH_VALUE 65E58B216524830E
// INDEX 161
rpjob_c_magnetize	[$integer$) Magnetize]

// DIFF REMOVED 5236 
// HASH_VALUE 6553822389E9309E
// INDEX 162
rpjob_c_mcknor_broth	[$integer$) McKnor Broth]

// DIFF REMOVED 5236 
// HASH_VALUE E934C7166A194259
// INDEX 163
rpjob_c_mekoub_pack	[$integer$) On mektoub packer]

// DIFF REMOVED 5236 
// HASH_VALUE 1310691E26E8908F
// INDEX 164
rpjob_c_mincemeat	[$integer$) Minced]

// DIFF REMOVED 5236 
// HASH_VALUE 1310692C6C1AA08F
// INDEX 165
rpjob_c_mirror	[$integer$) Mirror]

// DIFF REMOVED 5236 
// HASH_VALUE DAD092906A584CB4
// INDEX 166
rpjob_c_moderately	[$integer$) Cubed]

// DIFF REMOVED 5236 
// HASH_VALUE A4F5BF14080A78B3
// INDEX 167
rpjob_c_multicolored	[$integer$) Multicolored]

// DIFF REMOVED 5236 
// HASH_VALUE 9404A728ED09A85C
// INDEX 168
rpjob_c_national_reserves	[$integer$) National reserves]

// DIFF REMOVED 5236 
// HASH_VALUE DF85BBD1CB3A8CB2
// INDEX 169
rpjob_c_nectar_fruit	[$integer$) Fruit nectar]

// DIFF REMOVED 5236 
// HASH_VALUE 546CAF1BEC287862
// INDEX 170
rpjob_c_nothing	[$integer$) Nothing]

// DIFF REMOVED 5236 
// HASH_VALUE E4945E301A643DBA
// INDEX 171
rpjob_c_no_cut	[$integer$) Do not cut]

// DIFF REMOVED 5236 
// HASH_VALUE 21649A1B5A21939B
// INDEX 172
rpjob_c_on_back	[$integer$) On the back]

// DIFF REMOVED 5236 
// HASH_VALUE 2185AF2648C0C8A6
// INDEX 173
rpjob_c_open_petals	[$integer$) Open petals]

// DIFF REMOVED 5236 
// HASH_VALUE 0155D72CED296BA9
// INDEX 174
rpjob_c_outdoor_mektoub	[$integer$) On mount mektoub]

// DIFF REMOVED 5236 
// HASH_VALUE 438597186A887B58
// INDEX 175
rpjob_c_painting	[$integer$) Painting]

// DIFF REMOVED 5236 
// HASH_VALUE E7D0AB2AAE999453
// INDEX 176
rpjob_c_parchment_fibrous	[$integer$) Fibrous parchment]

// DIFF REMOVED 5236 
// HASH_VALUE 57A5BBCAA9FAA397
// INDEX 177
rpjob_c_paste_amber	[$integer$) Paste with amber]

// DIFF REMOVED 5236 
// HASH_VALUE 5764CBDBA70BA397
// INDEX 178
rpjob_c_paste_resin	[$integer$) Paste with resin]

// DIFF REMOVED 5236 
// HASH_VALUE 2904DA3CA6FB6AA2
// INDEX 179
rpjob_c_paste_sap	[$integer$) Paste with red-hot sap]

// DIFF REMOVED 5236 
// HASH_VALUE 6BD4EFCB2ABAA797
// INDEX 180
rpjob_c_paste_secretions	[$integer$) Paste with secretions]

// DIFF REMOVED 5236 
// HASH_VALUE D410692DECF9788E
// INDEX 181
rpjob_c_pelvis	[$integer$) Pelvis]

// DIFF REMOVED 5236 
// HASH_VALUE E43482DA087598A3
// INDEX 182
rpjob_c_pink	[$integer$) Pink]

// DIFF REMOVED 5236 
// HASH_VALUE A6248B15A9D4971C
// INDEX 183
rpjob_c_polishing	[$integer$) Polishing]

// DIFF REMOVED 5236 
// HASH_VALUE 2480921C1988AC6E
// INDEX 184
rpjob_c_pull_rope	[$integer$) Pull on a rope]

// DIFF REMOVED 5236 
// HASH_VALUE A6468A54AD6463AE
// INDEX 185
rpjob_c_punchest	[$integer$) Don't pull any punches]

// DIFF REMOVED 5236 
// HASH_VALUE D4106933E889D09E
// INDEX 186
rpjob_c_purify	[$integer$) Purify]

// DIFF REMOVED 5236 
// HASH_VALUE A9C4B70E5D40AF26
// INDEX 187
rpjob_c_pyr_baths	[$integer$) Pyr Baths]

// DIFF REMOVED 5236 
// HASH_VALUE E994B70E2A248B0E
// INDEX 188
rpjob_c_rainwater	[$integer$) Rainwater]

// DIFF REMOVED 5236 
// HASH_VALUE A5A3591FEB6980AD
// INDEX 189
rpjob_c_ranger_reserve	[$integer$) Ranger Reserve]

// DIFF REMOVED 5236 
// HASH_VALUE 63059F1ACAB6E09B
// INDEX 190
rpjob_c_raw_pigments	[$integer$) Raw pigments]

// DIFF REMOVED 5236 
// HASH_VALUE A39463D65DC09C53
// INDEX 191
