DIFF_CMD	*HASH_VALUE	bot name	translated name	sheet_name	
DIFF CHANGED 4826 	_1736D13C6200ED56	welcomer_aubermouth_2	Ba'Caussey Kedgy	trhc3old	
DIFF CHANGED 4831 	_A6BD81266CB873DC	welcomer_waverton_2	Ba'Arppy Deper	trfc1	
DIFF CHANGED 4833 	_3CFCCE8B069ABCBD	welcomer_waverton_4	Ba'Caunin Eksie	trhc1mid	
DIFF CHANGED 4834 	_EC0D3D186F8D95A3	welcomer_waverton_5	O'Arpsey Baksan	trfc1	
DIFF CHANGED 4835 	_6892829CBBCFB1C1	welcomer_hobwelly_1	O'Arpsey Brermen	trfc1mid	
DIFF CHANGED 4836 	_76F3C694B52AFF32	welcomer_hobwelly_2	Ba'Caussey Jichy	trfc1mid	
DIFF CHANGED 4837 	_B8EBD92678CD98DD	welcomer_hobwelly_3	Be'Teghan Deppan	trha1	
DIFF CHANGED 4838 	_37DC512C2C7994CD	welcomer_hobwelly_4	Ba'Caunin Hathy	trfc1	
DIFF CHANGED 4841 	_F141BE32260F29EC	welcomer_dingleton_2	Mac'Doyghan Aeddan	trhc1	
DIFF CHANGED 4843 	_F503A685728814F8	welcomer_dingleton_4	Be'Teghan Canan	trfc1mid	
DIFF CHANGED 4844 	_CEE30A3ABB4834FA	welcomer_dingleton_5	Ba'Caunin Lichan	trfc1mid	
DIFF CHANGED 4845 	_BCDBF92A77ACACCD	welcomer_barkdell_1	Ba'Caunin Lipsie	trfc1	
DIFF CHANGED 4848 	_F84BF14F416DB4CF	welcomer_barkdell_4	Ba'Caunin Briggie	trfc1	
DIFF CHANGED 4849 	_3B8CD112ECBA84C5	welcomer_barkdell_5	Be'Teghan Eksie	trfc1	
DIFF CHANGED 4940 	_014C6B25795BD9DA	tryker_scout_p4	Ba'Caussey Lipsen	trfa1mid	
DIFF CHANGED 4941 	_3C471295F30BF0AB	tryker_journeyman_p1	O'Arpsey Codgan	trfc1mid	
DIFF CHANGED 4942 	_DCCF79FEB6B03D94	tryker_hawker_p1	Mac'Doyghan Gaxy	trfc2mid	
DIFF CHANGED 4943 	_81FB121053F55DF1	outpost_nexus_07_tryker_steward_p1	Mac'Doyghan Lixie	trfc3	
DIFF CHANGED 4946 	_CD63BDDEFDA67243	outpost_pr_13_tryker_steward_p1	Be'Laury Ganan	trfc3	
DIFF CHANGED 4947 	_5F3D1FB40C27628F	outpost_tryker_02_tryker_steward_t1	O'Arpsey Artan	trfc3	
DIFF CHANGED 4948 	_9E7C17C012675260	outpost_tryker_08_tryker_steward_t1	O'Arpsey Baxy	trfc3	
DIFF CHANGED 4950 	_EEDD469D40A63EB2	outpost_pr_15_tryker_steward_p1	O'Arpsey Dirmy	trfc3mid	
DIFF CHANGED 4952 	_33419C1ED5390AB7	outpost_tryker_04_tryker_steward_t1	Ba'Caunin Cadgan	trfc3mid	
DIFF CHANGED 4954 	_69F68EE100C6EBA4	outpost_pr_11_tryker_steward_p1	Be'Laury Gedden	trfc3old	
DIFF CHANGED 4955 	_1AB936C214AAC7AD	outpost_pr_26_tryker_steward_p1	Ba'Caunin Liffan	trfc3old	
DIFF CHANGED 4956 	_5B7C4BC067CAA6A3	outpost_tryker_06_tryker_steward_t1	Be'Laury Gaxy	trfc3old	
DIFF CHANGED 4957 	_EDAA380BDBA978AC	tryker_hunter_p1	Be'Teghan Deper	trha1	
DIFF CHANGED 4961 	_FFFB0E2EDC558DF3	outpost_nexus_01_tryker_steward_p1	Mac'Doyghan Machen	trhc3	
DIFF CHANGED 4963 	_151AE7A243C62633	outpost_pr_02_tryker_steward_p1	O'Arpsey Dappan	trhc3	
DIFF CHANGED 4966 	_337BDFA3954A16BB	outpost_tryker_03_tryker_steward_t1	Be'Teghan Dachan	trhc3	
DIFF CHANGED 4967 	_625D07AC90C9FF97	outpost_tryker_07_tryker_steward_t1	O'Arpsey Diksan	trhc3	
DIFF CHANGED 4968 	_66C77EF8E2AAE787	outpost_nexus_03_tryker_steward_p1	O'Arpsey Deper	trhc3mid	
DIFF CHANGED 4973 	_A69A3EC4AB2AE374	outpost_pr_18_tryker_steward_p1	Ba'Caunin Breggan	trhc3mid	
DIFF CHANGED 4975 	_0B11FB0D9454DF58	outpost_tryker_05_tryker_steward_t1	Mac'Doyghan Gedden	trhc3mid	
DIFF CHANGED 4977 	_70078EDC00C6E39E	outpost_pr_04_tryker_steward_p1	Ba'Arppy Deppan	trhc3old	
DIFF CHANGED 4978 	_6D46B6DB00C6E3A0	outpost_pr_16_tryker_steward_p1	Ba'Arppy Codgan	trhc3old	
DIFF CHANGED 4980 	_9F2A1AC6142AAFA2	outpost_pr_27_tryker_steward_p1	Be'Teghan Cothan	trhc3old	
DIFF CHANGED 5507 	_70345E2421D57E16	ancientdryads_hunter_m1	Mac'Doyghan Baksan	tribe_ancient_dryads_range_master_t_f	
DIFF CHANGED 5511 	_2575D9BBC72CB0BF	chlorogoos_hunter_p1	Ba'Caunin Garmer	tribe_cholorogoos_professional_t_f	
DIFF CHANGED 5512 	_2692E7AB1190C779	chlorogoos_welcomer_p1	Mac'Doyghan Baxy	tribe_cholorogoos_diplomat_t_f	
DIFF CHANGED 5516 	_D7A44880D9914023	cockroaches_prospector_p1	Be'Laury Jichy	tribe_cockroaches_forager_t_f	
DIFF CHANGED 5522 	_14D131B5063455BC	ecowarriors_welcomer_m1	Mac'Doyghan Deppan	tribe_ecowarriors_diplomat_t_f	
DIFF CHANGED 5526 	_CB9EFCF802B02C39	kuilde_hunter_p1	Be'Laury Lipsen	tribe_the_kuilde_range_master_t_f	
DIFF CHANGED 5529 	_E958D9DA597201BB	outpost_matis_04_tmg_steward_m1	Ba'Caunin Derren	tribe_ecowarriors_noble_t_f	
DIFF CHANGED 5532 	_1D21A633B069B380	outpost_nexus_05_tmg_steward_p1	Ba'Caunin Kedgy	tribe_company_of_the_eternal_t_noble_t_f	
DIFF CHANGED 5534 	_906711B3A3115859	outpost_pr_11_tmg_steward_p1	Ba'Caunin Brermen	tribe_cholorogoos_noble_t_f	
DIFF CHANGED 5539 	_2F545930FBB3C985	outpost_tryker_05_tmg_steward_t1	Be'Laury Cothan	tribe_corsair_noble_t_f	
DIFF CHANGED 5542 	_F67EF29A9AC9E923	outpost_tryker_26_tmg_steward_t1	Ba'Duffy Codgan	tribe_silt_sculptors_noble_t_f	
DIFF CHANGED 5544 	_3A8C367D160B491A	outpost_tryker_31_tmg_steward_t1	Be'Laury Hathy	tribe_lagoon_brothers_noble_t_f	
DIFF CHANGED 5545 	_69D9B96CE7AFAC51	outpost_zorai_20_tmg_steward_z1	O'Arpsey Lipsen	tribe_tutors_noble_t_f	
DIFF CHANGED 5546 	_D47105BFAB4F8789	outpost_zorai_23_tmg_steward_z1	Ba'Caussey Eksie	tribe_company_of_the_eternal_t_noble_t_f	
DIFF CHANGED 5549 	_7D1F5905AE5B6A2B	siltsculptors_hunter_t1	Be'Teghan Gedden	tribe_silt_sculptors_archery_recruit_t_f	
DIFF CHANGED 5550 	_54DFFE10ADE99579	siltsculptors_welcomer_t1	Ba'Caussey Deppan	tribe_silt_sculptors_diplomat_t_f	
DIFF CHANGED 5551 	_9683206AEAD41A42	smugglers_supplier_t1	O'Arpsey Jidgen	tribe_smuglers_trader_t_f	
DIFF CHANGED 5552 	_E2491D242C6998B9	tr_guild_rm_fight	Ba'Caunin Dirmy	trfa2	
DIFF CHANGED 5557 	_8B278E0AE6D5007A	ancientdryads_prospector_m1	Be'Laury Cadgan	tribe_ancient_dryads_forager_t_h	
DIFF CHANGED 5560 	_63F4744F0FFE5435	blackcircle_supplier_z1	Be'Teghan Lichan	tribe_black_circle_trader_t_h	
DIFF CHANGED 5562 	_74EDE59067F8F8AA	caretaker_205	Mac'Doyghan Breggan	trha3	
DIFF CHANGED 5564 	_99975CE05A620B9A	caretaker_219	O'Arpsey Keffan	trha3	
DIFF CHANGED 5568 	_17866CDFD817DF8C	caretaker_231	Ba'Duffy Brermen	trha3	
DIFF CHANGED 5574 	_D085908D2E9F5C61	cockroaches_welcomer_p1	Ba'Duffy Deper	tribe_cockroaches_diplomat_t_h	
DIFF CHANGED 5575 	_C7CD72D14182F2FB	company_prospector_p1	Ba'Caussey Deper	tribe_company_of_the_eternal_t_forager_t_h	
DIFF CHANGED 5576 	_0A0D62D54182F202	company_prospector_z1	Ba'Caussey Hathy	tribe_company_of_the_eternal_t_forager_t_h	
DIFF CHANGED 5578 	_55D50C259A952A6D	corsairs_prospector_t1	O'Arpsey Kedgy	tribe_corsair_forager_t_h	
DIFF CHANGED 5586 	_62A0490EAE9509BC	lagoonbrothers_foreman_t1	O'Arpsey Lipsie	tribe_lagoon_brothers_milician_t_h	
DIFF CHANGED 5594 	_8F07F1B1C8B4D05D	outpost_pr_22_tmg_steward_p1	Ba'Caunin Breggie	tribe_keepers_diplomat_t_h	
DIFF CHANGED 5597 	_2CB44D2DFBF295A1	outpost_tryker_02_tmg_steward_t1	Ba'Duffy Deppan	tribe_corsair_noble_t_h	
DIFF CHANGED 5598 	_25535474F53841B3	outpost_tryker_04_tmg_steward_t1	Be'Teghan Jidgen	tribe_corsair_noble_t_h	
DIFF CHANGED 5599 	_24635476F5F83DB5	outpost_tryker_06_tmg_steward_t1	Be'Teghan Keffan	tribe_corsair_noble_t_h	
DIFF CHANGED 5600 	_29969984525CBDAF	outpost_tryker_11_tmg_steward_t1	Be'Laury Lixie	tribe_smuglers_diplomat_t_h	
DIFF CHANGED 5603 	_2B272D7D578901A7	outpost_tryker_17_tmg_steward_t1	O'Arpsey Jichy	tribe_beachcombers_noble_t_h	
DIFF CHANGED 5605 	_AB71D6EDE9DD0ABE	outpost_tryker_25_tmg_steward_t1	Mac'Doyghan Brammy	tribe_silt_sculptors_noble_t_h	
DIFF CHANGED 5606 	_AB71AAE3670DFEBF	outpost_tryker_27_tmg_steward_t1	Mac'Doyghan Codgan	tribe_silt_sculptors_noble_t_h	
DIFF CHANGED 5607 	_4B0D51A4D5F8B6F4	outpost_tryker_28_tmg_steward_t1	O'Arpsey Liffan	tribe_lagoon_brothers_noble_t_h	
DIFF CHANGED 5608 	_01EB4E8F15C9CEE7	outpost_tryker_30_tmg_steward_t1	Be'Laury Machen	tribe_lagoon_brothers_noble_t_h	
DIFF CHANGED 5609 	_A5C0CAE0AA5D92C8	outpost_tryker_32_tmg_steward_t1	Mac'Doyghan Deper	tribe_lagoon_brothers_noble_t_h	
DIFF CHANGED 5610 	_653678D789343DAD	outpost_zorai_01_tmg_steward_z1	Ba'Caunin Enan	tribe_black_circle_noble_t_h	
DIFF CHANGED 5612 	_B8D03DE012C29D22	outpost_zorai_12_tmg_steward_z1	Ba'Caunin Dappan	tribe_shadow_runners_noble_t_h	
DIFF CHANGED 5614 	_7F3A9DE9CF5365C7	outpost_zorai_14_tmg_steward_z1	Ba'Caunin Effer	tribe_shadow_runners_noble_t_h	
DIFF CHANGED 5620 	_16330AFAF778B5A0	shadowrunners_welcomer_z1	Ba'Caunin Diksan	tribe_shadow_runners_diplomat_t_h	
DIFF CHANGED 5626 	_77EFD112287A68C6	tr_guild_rm_harvest	Ba'Caunin Echen	trhc2	
DIFF CHANGED 5627 	_425863A6C5184C29	tribe_beachcombers_outpost_officer	Mac'Doyghan Eksie	tribe_beachcombers_diplomat_t_h	
DIFF CHANGED 5629 	_743BBD542F07F2E4	tribe_cockroaches_outpost_officer	Be'Laury Dachan	tribe_cockroaches_diplomat_t_h	
DIFF CHANGED 5631 	_5CDADEADB159F5B2	tribe_green_seed_outpost_officer	Be'Laury Kedgy	tribe_green_seed_diplomat_t_h	
DIFF CHANGED 5632 	_2D561DC188BA10DF	tribe_keepers_outpost_officer	O'Arpsey Lichan	tribe_keepers_diplomat_t_h	
DIFF CHANGED 5633 	_EFD80149AD9801B5	tribe_lawless_outpost_officer	Mac'Doyghan Artan	tribe_lawless_diplomat_t_h	
DIFF CHANGED 5635 	_F1550F98806C32AC	tribe_silt_sculptors_outpost_officer	Be'Laury Lipsie	tribe_silt_sculptors_diplomat_t_h	
DIFF ADD 5947 	_7D90FC6C1972583F	kami_altar_the_under_spring	$gn_kami_altar_the_under_spring_fyros$		
DIFF REMOVED 6186 	_A506B074A1D59899		Chiaro Lichio	matis_guard_m_h	
DIFF CHANGED 6236 	_9AD53620B227E4FA	avendale_guard_chief	Ba'Caunin Gedden	trha3mid	
DIFF CHANGED 6237 	_B58D4A64C18CB1A2	avendale_intendant	Be'Teghan Lepsey	trfc2mid	
DIFF CHANGED 6275 	_626CA4286AC00DF4	crystabell_barman	Be'Laury Effer	trhc2mid	
DIFF CHANGED 6311 	_3018A0455A86FBC1	ejlto	Ba'Nakry Brammy	trhc1old	
DIFF CHANGED 6314 	_6D4B196E7921E1DC	eloceloce	Ba'Caunin Keffan	tryker_guard_t_f	
DIFF CHANGED 6323 	_402C4CB9A56FB518	eteocew	Ba'Dughan Lichan	tryker_guard_t_h	
DIFF CHANGED 6330 	_F00D756D04FE75B5	fairhaven_barman_2	Ba'Dughan Lipsie	trha2mid	
DIFF CHANGED 6332 	_A7904D14414EF0B2	fairhaven_intendant	Ba'Nakry Baxy	trhc3mid	
DIFF CHANGED 6386 	_4DA5289A2589BB8F	hebcoheec	Be'Teghan Lipsen	trfc1	
DIFF CHANGED 6388 	_815C08BCA56FED2B	hehowow	Ba'Dughan Jidgen	tryker_guard_t_h	
DIFF CHANGED 6389 	_FBF958EBADEF0919	hewheneo	Be'Teghan Arins	tryker_guard_t_f	
DIFF CHANGED 6392 	_878BB0D41FAB4500	hnoolew	Ba'Caunin Ganan	tryker_guard_t_h	
DIFF CHANGED 6396 	_C857DFB8EE79A892	howoowole	Be'Laury Echen	trfc1old	
DIFF CHANGED 6438 	_65179E768AFBC4C2	jehelew	Be'Laury Dirmy	trfc2	
DIFF CHANGED 6440 	_F82B84336B6C11D5	jocojewoe	Be'Laury Enan	tryker_guard_t_h	
DIFF CHANGED 6445 	_E98900ACDE388823	lecejnobl	Mac'Doyghan Garmer	trhc1	
DIFF CHANGED 6450 	_A50A411CF0613D01	ltoowwwot	Ba'Caunin Gaxy	tryker_guard_t_h	
DIFF CHANGED 6475 	_1DA5EC44EF599069	nejeobew	Ba'Nakry Breggan	trfc2old	
DIFF CHANGED 6492 	_AAB99C688E35603B	oeje	Ba'Nakry Briggie	trhc1	
DIFF CHANGED 6520 	_1A459956510EE873	r_05_33_old_crafter_1	Mac'Doyghan Derren	tribe_silt_sculptors_trader_t_h	
DIFF CHANGED 6581 	_99212E0F6E4EB675	windermeer_guard_chief	Ba'Dughan Gedden	trfc2mid	
DIFF CHANGED 6710 	_53A04915D9298493	galemus_jewel	Ulyton Apocaps	fyfc3old	
DIFF CHANGED 6779 	_665880740A32D789	bche	Ba'Dughan Baksan	trhc2	
DIFF CHANGED 6809 	_EA7888B40592578E	jllo	Ba'Dughan Achen	trha2mid	
DIFF CHANGED 6811 	_EB46405887CA8C89	khjo	Mac'Darrroy Aeddan	trha3mid	
DIFF CHANGED 6821 	_1949C86409B85489	ljbo	Mac'Doyghan Breggie	trfc2mid	
DIFF CHANGED 6822 	_2A5998B489F26B85	ncoh	Be'Teghan Naroy	trfa2old	
DIFF CHANGED 6823 	_275864C58A0E2B64	nhoe	Ba'Dughan Artan	trha3	
DIFF CHANGED 6824 	_26AB60AA4E4E436F	octc	Be'Mapsey Eskan	trfa3	
DIFF CHANGED 6825 	_EC97705D8A0A8C8D	otbe	Mac'Darrroy Derren	trfa2mid	
DIFF CHANGED 6922 	_97BFD08F2D197B5A	be	Ba'Nakry Jorkry	trhc3	
DIFF CHANGED 6932 	_ADC9611C7E5DE1F1	chyafyo	Mac'Darrroy Effer	tryker_guard_t_h	
DIFF CHANGED 6954 	_373B7C38A0DCFB8B	tribe_company_of_the_eternal_tree_tribe_chief	Be-Pian Biani		
DIFF CHANGED 6955 	_7F9CA5DA551CC8FC	tribe_corsairs_tribe_chief	Ba'Nakry Codgan	tribe_corsair_soldier_t_h	
DIFF CHANGED 6962 	_9913878F0BC5C708	tribe_lagoon_brothers_tribe_chief	Mac'Doyghan Brermen	tribe_lagoon_brothers_bodyguard_t_h	
DIFF CHANGED 7016 	_27A82EF812F149A5	tribe_cockroaches_tribe_chief	Ba'Caunin Jidgen	tribe_cockroaches_forager_t_h	
DIFF CHANGED 7033 	_52E6C8CA5231080E	tribe_sap_slaves_tribe_chief	Beero Antozzo	tribe_sap_slaves_noble_m_h	
DIFF CHANGED 7040 	_68671D08F6389BC1	thesos_guard_chief_guard_002	Icaps Cegrips	fyros_guard_f_f	
DIFF CHANGED 7041 	_E9ABD068E1778F7E	arratio	Piseus Mekops	fyhc3_ra1	
DIFF CHANGED 7042 	_A819D7911A06B3B8	arvitau	Therius Cekian	fyfc3_ra2	
DIFF CHANGED 7043 	_D768809C95A5C88F	avlaetzus	Sicha Pido	mafc3_ra1	
DIFF CHANGED 7044 	_1CC85089CD69C8A3	axaxynvus	Anicho Trichio	mahc3_ra4	
DIFF CHANGED 7045 	_654708AD124F4B88	bejc	Be'Mapsey Gaxy	trhc3_rs2	
DIFF CHANGED 7046 	_A099687364156E73	beo	Ba'Reiliam Cauins	trfc3_rs1	
DIFF CHANGED 7047 	_E5870A9C6367335A	chochoi	Do-Vi Geoi	zofc3_ra3	
DIFF CHANGED 7048 	_E475BFA4DBF397A6	chychia	Ba-Ben Ging	zohc3_rs1	
DIFF CHANGED 7055 	_6030A1F4A81CF5ED	zorai_melasse_merchant	Ca-Na Dao	zofc3mid	
DIFF CHANGED 7372 	_2F582C8BAA782BB0	encyclo_dummy_no_name	 		
DIFF ADD 7738 	_1EE420AC2AE88098	lodge_master_marauder	Zallo Abyn		
DIFF CHANGED 9068 	_54297420A759044A	newbieland_wanderer_3	Lahini Massi		
DIFF ADD 9356 	_6B5A9088EAA4A780	casino_machine_matis02	Jackpot		
DIFF ADD 9357 	_6B5A9088EAA4AB80	casino_machine_matis03	Jackpot		
DIFF ADD 9363 	_813E50F6C9279332	token_dispenser_matis02	Ba'Roppy Allan		
DIFF ADD 9364 	_834E24F9C9373028	token_dispenser_matis03	Ba'Lekry Dassie		
DIFF ADD 9369 	_D568A0B5A2D75C32	pechio_anino Pechio Anino			
DIFF ADD 9370 	_5588838A9BD7239E	Ana Ryon	Ana Ryon	company_of_the_drill_loge_master_f_f_b1	
DIFF ADD 9371 	_2EB24C2DACB917D9	Analis Teroni	Analis Teroni	matis_royal_guard_nuker_event_h_f1	
DIFF ADD 9372 	_12FD9BCAAC1A2AF9	Angus Mac'Batty	Angus Mac'Batty	ring_guard_melee_tank_pierce_f4	
DIFF ADD 9373 	_9F485B905834EA59	Bataille	Bataille	company_of_the_drill_artisan_m_f_b1	
DIFF ADD 9374 	_E5464E77865D8D63	Ceyla Oox	Ceyla Oox	ring_guard_melee_tank_slash_f4	
DIFF ADD 9375 	_0A2862BD516EE649	Chi Do-Tian	Chi Do-Tian	ring_guard_melee_tank_blunt_f4	
DIFF ADD 9376 	_721D53252C94F7EC	Chi-Em Zhug	Chi-Em Zhug	zorai_dynastic_soldier_nuker_event_f_f2	
DIFF ADD 9377 	_6738E832ECD72F95	Erbkeros	Erbkeros	cclgf5_a	
DIFF ADD 9378 	_A128EB96DA54CE61	Essembeh	Essembeh	company_of_the_drill_artisan_z_f_b1	
DIFF ADD 9379 	_2986CB98D974EE49	Fontaine	Fontaine	company_of_the_drill_artisan_t_h_b1	
DIFF ADD 9380 	_E418C438F2BA7BB3	Goleocyx	Goleocyx	cclgf5_b	
DIFF ADD 9381 	_1809E0AFEC64FB94	Iodon Kritheus	Iodon Kritheus	fyha1	
DIFF ADD 9382 	_9B041E587DDD253E	Jubet	Jubet	company_of_the_drill_artisan_f_f_b1	
