DIFF_CMD	*HASH_VALUE	title_id	name	women_name
DIFF CHANGED 112 	_1D8FD191C4D07DBF	gn_bandit_the_under_spring_2	Cooky's Cranks	
DIFF SWAP 577 113				
DIFF CHANGED 113 	_295A1A8605213D00	gn_bandit_the_under_spring_3	Spooky Stavons	
DIFF SWAP 578 114				
DIFF CHANGED 114 	_32AEF51BA88A9CFF	gn_bandit_the_under_spring_4	Silencers	
DIFF SWAP 579 115				
DIFF CHANGED 115 	_BC6DED7F3D618DAE	gn_bandit_the_windy_gate_1	Heartbreak Babes	
DIFF SWAP 580 116				
DIFF CHANGED 116 	_3CC6DD543131A9BB	gn_bandit_the_windy_gate_2	Windy Gate Wipers	
DIFF SWAP 581 117				
DIFF CHANGED 117 	_C21EA03BC6F025F9	gn_bandit_the_windy_gate_3	Spirit Catchers	
DIFF SWAP 582 118				
DIFF CHANGED 118 	_DA589CB42947D47D	gn_bandit_thefount_1	Prakkers	
DIFF SWAP 583 119				
DIFF CHANGED 119 	_96A58730EEE9A872	gn_bandit_thefount_2	Fount Gaffers	
DIFF SWAP 584 120				
DIFF CHANGED 120 	_F1060D99053850E3	gn_bandit_thefount_3	Flibusters of the Fount	
DIFF SWAP 585 121				
DIFF CHANGED 121 	_C7FFA120E9487C64	gn_bandit_thefount_4	Liberty Rangers	
DIFF SWAP 586 122				
DIFF CHANGED 122 	_46631112F45E8D85	gn_bandit_thesavagedunes_1	Wicked of the Woods	
DIFF SWAP 587 123				
DIFF CHANGED 123 	_7B8DE82EC87E6524	gn_bandit_thesavagedunes_2	Savage Slashers	
DIFF SWAP 588 124				
DIFF CHANGED 124 	_FC3C24DFDBAF8D0E	gn_bandit_thesavagedunes_3	Canal Daggers	
DIFF SWAP 589 125				
DIFF CHANGED 125 	_7E04E081859F25C4	gn_bandit_thesavagedunes_4	Thieves of Thesos	
DIFF SWAP 590 126				
DIFF CHANGED 126 	_5660570DDCB1FE6F	gn_bandit_thescorchedcorridor_1	Underground Slicers	
DIFF SWAP 591 127				
DIFF CHANGED 127 	_1B34DAA9C1191008	gn_bandit_thescorchedcorridor_2	Tunnel Hounds	
DIFF SWAP 592 128				
DIFF CHANGED 128 	_9C85EA7E293CE28C	gn_bandit_thescorchedcorridor_3	Alleyway Strays	
DIFF SWAP 593 129				
DIFF CHANGED 129 	_207C211BE8E86C54	gn_bandit_thevoid_1	Underwood Rebels	
DIFF SWAP 594 130				
DIFF CHANGED 130 	_9F6638B16165E4A1	gn_bandit_thevoid_2	Goo Grapplers	
DIFF SWAP 595 131				
DIFF CHANGED 131 	_E4A80110294A810D	gn_bandit_thevoid_3	Villains of the Void	
DIFF SWAP 596 132				
DIFF CHANGED 132 	_59F7589C95EAA096	gn_bandit_upperbog_1	Sap Rakers	
DIFF SWAP 597 133				
DIFF CHANGED 133 	_185774C1A71AF07E	gn_bandit_upperbog_2	Bushwhacks	
DIFF SWAP 598 134				
DIFF CHANGED 134 	_14435826A9D9F893	gn_bandit_upperbog_3	Stalia Rovers	
DIFF SWAP 599 135				
DIFF CHANGED 135 	_B2404D2220669C88	gn_bandit_windsofmuse_1	Muse Tumblers	
DIFF SWAP 600 136				
DIFF CHANGED 136 	_4350251BA0B61854	gn_bandit_windsofmuse_2	Cliff Tanners	
DIFF SWAP 601 137				
DIFF CHANGED 137 	_D650811B61269C81	gn_bandit_windsofmuse_3	Muse Muggers	
DIFF SWAP 602 138				
DIFF CHANGED 138 	_04B29E80817EAD6C	gn_bandit_windsofmuse_4	Wicked Winds of the West	
DIFF SWAP 709 139				
DIFF CHANGED 139 	_974EBE71857F49AB	gn_class_apprentice_trader	Apprenti Négociant	
DIFF SWAP 710 140				
DIFF CHANGED 140 	_0FFBE24C1B17562E	gn_class_arcane_apprentice	Magicien d'Elite Initié	
DIFF SWAP 711 141				
DIFF CHANGED 141 	_1DB612296E4B0E7A	gn_class_arcane_master	Magicien d'Elite Chevronné	
DIFF SWAP 712 142				
DIFF CHANGED 142 	_7BE6B973CA02D906	gn_class_archery_lord	Grand Tireur Chevronné	
DIFF SWAP 713 143				
DIFF CHANGED 143 	_AD3FF465C4B1B9B1	gn_class_archery_master	Grand Tireur Initié	
DIFF SWAP 714 144				
DIFF CHANGED 144 	_BF35F2474E2FA8CA	gn_class_archery_recruit	Grand Tireur Novice	
DIFF SWAP 715 145				
DIFF CHANGED 145 	_05BE38C86D31411B	gn_class_assassin	Puissant Tireur Novice	
DIFF SWAP 716 146				
DIFF CHANGED 146 	_A666A89D6CEB5CB6	gn_class_bodyguard	Escorteur	
DIFF SWAP 717 147				
DIFF CHANGED 147 	_449DB905FE446315	gn_class_bowmen	Tireur Régulier Novice	
DIFF SWAP 718 148				
DIFF CHANGED 148 	_680D09761B791F2F	gn_class_captain	Guerrier Maître Initié	
DIFF SWAP 719 149				
DIFF CHANGED 149 	_1C34927CC4BCC4BC	gn_class_charm_adept	Puissant Magicien Novice	
DIFF SWAP 720 150				
DIFF CHANGED 150 	_1B641E863959B414	gn_class_charm_expert	Puissant Magicien Initié	
DIFF SWAP 721 151				
DIFF CHANGED 151 	_6EFAA6800280817F	gn_class_cleric	Guérisseur d'Élite Chevronné	
DIFF SWAP 722 152				
DIFF CHANGED 152 	_40FEA1C52B2C3D1F	gn_class_conjurer	Grand Magicien Chevronné	
DIFF SWAP 723 153				
DIFF CHANGED 153 	_6C880A670543357B	gn_class_conscript	Guerrier Régulier Novice	
DIFF SWAP 724 154				
DIFF CHANGED 154 	_FB6632F5443E62D8	gn_class_cure_adept	Guérisseur Maître Novice	
DIFF SWAP 725 155				
DIFF CHANGED 155 	_61183C6503FFD960	gn_class_cure_expert	Guérisseur Maître Chevronné	
DIFF SWAP 726 156				
DIFF CHANGED 156 	_7FB6706CBE4120F2	gn_class_cure_master	Guérisseur Maître Initié	
DIFF SWAP 727 157				
DIFF CHANGED 157 	_BE3E17C1E5AF781E	gn_class_elite	Guerrier d'Élite Novice	
DIFF SWAP 728 158				
DIFF CHANGED 158 	_C16D0E8E440040D5	gn_class_executionner	Puissant Tireur Initié	
DIFF SWAP 729 159				
DIFF CHANGED 159 	_C88D38E8BDFB5B0C	gn_class_expert	Guerrier d'Elite Initié	
DIFF SWAP 730 160				
DIFF CHANGED 160 	_810C44A8689F7522	gn_class_fighter	Puissant guerrier Initié	
DIFF SWAP 731 161				
DIFF CHANGED 161 	_2607968AB1F9A49C	gn_class_forager	Récolteur	
DIFF SWAP 732 162				
DIFF CHANGED 162 	_AC5AE7D73951AFFB	gn_class_healing_apprentice	Guérisseur Régulier Novice	
DIFF SWAP 733 163				
DIFF CHANGED 163 	_D924028287EEB4B7	gn_class_legionnaire	Puissant Guerrier Novice	
DIFF SWAP 734 164				
DIFF CHANGED 164 	_60020157C3426C76	gn_class_life_surgeon	Guérisseur d'Elite Initié	
DIFF SWAP 735 165				
DIFF CHANGED 165 	_3B7BD730818039A2	gn_class_magician	Magicien Maître Chevronné	
DIFF SWAP 736 166				
DIFF CHANGED 166 	_C1AF9702679197A5	gn_class_major	Guerrier Maître Novice	
DIFF SWAP 737 167				
DIFF CHANGED 167 	_AC0F99FE664BB07A	gn_class_medic	Grand Guérisseur Initié	
DIFF SWAP 738 168				
DIFF CHANGED 168 	_6796449BAB5A3CA5	gn_class_milician	Gardien	
DIFF SWAP 739 169				
DIFF CHANGED 169 	_9ABCE64F229C1585	gn_class_mystical_adept	Magicien Maître Novice	
DIFF SWAP 740 170				
DIFF CHANGED 170 	_04045EE8F440D490	gn_class_mystical_expert	Magicien Maître Initié	
DIFF SWAP 741 171				
DIFF CHANGED 171 	_6437B0A16788A4A7	gn_class_noble	Compagnon	
DIFF SWAP 742 172				
DIFF CHANGED 172 	_306D211280A075FF	gn_class_priest	Guérisseur d'Elite Novice	
DIFF SWAP 743 173				
DIFF CHANGED 173 	_81A0B1E0E4F45394	gn_class_private	Grand Guerrier Initié	
DIFF SWAP 744 174				
DIFF CHANGED 174 	_DD65628AC5908F40	gn_class_professional	Puissant Tireur Chevronné	
DIFF SWAP 745 175				
DIFF CHANGED 175 	_C721327A4500FD3C	gn_class_range_adept	Tireur Régulier Chevronné	
DIFF SWAP 746 176				
DIFF CHANGED 176 	_77B5B2678B6CA8D5	gn_class_range_master	Tireur d'Elite Chevronné	
DIFF SWAP 747 177				
DIFF CHANGED 177 	_C0D3209F684F812E	gn_class_recruit	Guerrier Régulier Initié	
DIFF SWAP 748 178				
DIFF CHANGED 178 	_0FA6226535F72A71	gn_class_ritual_master	Grand Guérisseur Chevronné	
DIFF SWAP 749 179				
DIFF CHANGED 179 	_C30AB1164AC0411D	gn_class_sergent	Puissant Guerrier Chevronné	
DIFF SWAP 750 180				
DIFF CHANGED 180 	_7FFF6DF82F9B91C1	gn_class_shaman	Grand Guérisseur Novice	
DIFF SWAP 751 181				
DIFF CHANGED 181 	_A1F32251304D271B	gn_class_shooting_elite	Tireur d'Elite Novice	
DIFF SWAP 752 182				
DIFF CHANGED 182 	_837DE27F7C6A9D8D	gn_class_shooting_lord	Tireur d'Elite Initié	
DIFF SWAP 753 183				
DIFF CHANGED 183 	_82B1DD0D48A0591C	gn_class_soldier	Guerrier Régulier Chevronné	
DIFF SWAP 754 184				
DIFF CHANGED 184 	_F12BBB0B04C0FDF3	gn_class_sorcerer	Magicien d'Elite Novice	
DIFF SWAP 755 185				
DIFF CHANGED 185 	_15424D1C22F66692	gn_class_sorcery_apprentice	Grand Magicien Novice	
DIFF SWAP 756 186				
DIFF CHANGED 186 	_3C131E697F2F64D1	gn_class_sorcery_master	Grand Magicien Initié	
DIFF SWAP 757 187				
DIFF CHANGED 187 	_B8289067014F7DF5	gn_class_spellcaster	Grand Magicien Novice	
DIFF SWAP 758 188				
DIFF CHANGED 188 	_43642EED81DEDCD2	gn_class_throwing_adept	Tireur Maître Novice	
DIFF SWAP 759 189				
DIFF CHANGED 189 	_01D5384B828A4025	gn_class_throwing_expert	Tireur Maître Initié	
DIFF SWAP 760 190				
DIFF CHANGED 190 	_9CE6404780F73596	gn_class_throwing_master	Tireur Maître Chevronné	
DIFF SWAP 761 191				
DIFF CHANGED 191 	_A65814B3DE6B2CA1	gn_class_trader	Explorateur	
DIFF SWAP 762 192				
DIFF CHANGED 192 	_65F880AA6E6968A6	gn_class_traveler	Voyageur	
DIFF SWAP 763 193				
DIFF CHANGED 193 	_64D602589240C40B	gn_class_treat_adept	Puissant Guérisseur Initié	
DIFF SWAP 764 194				
DIFF CHANGED 194 	_DDBB2EEB2064F6B7	gn_class_treat_apprentice	Puissant Guérisseur Novice	
DIFF SWAP 765 195				
DIFF CHANGED 195 	_80EFF5E168038F09	gn_class_trooper	Grand Guerrier Novice	
DIFF SWAP 766 196				
DIFF CHANGED 196 	_7EBCE72C828089A5	gn_class_warchief	Guerrier Maître Chevronné	
DIFF SWAP 767 197				
DIFF CHANGED 197 	_4389D91207102D19	gn_class_warlock	Puissant Magicien Chevronné	
DIFF SWAP 768 198				
DIFF CHANGED 198 	_BA59B0BB85F1552C	gn_class_warlord	Guerrier d'Elite Chevronné	
DIFF SWAP 769 199				
DIFF CHANGED 199 	_D43585BDEEEBB00E	gn_class_warmaster	Maître de Guerre	
DIFF SWAP 770 200				
DIFF CHANGED 200 	_05AFBDDA1F892C16	gn_class_warrior	Grand Guerrier Chevronné	
DIFF SWAP 805 201				
DIFF CHANGED 201 	_286E452F6126AF9C	gn_darkeningsap_static_guard_5	Garde	
DIFF SWAP 859 202				
DIFF CHANGED 202 	_45B7DCA3A9E04CB2	gn_forager	Récolteur	
DIFF SWAP 878 203				
DIFF CHANGED 203 	_B59C8E8683909DC8	gn_fraharhunters_guards_w_10	Puissant Garde	
DIFF SWAP 885 204				
DIFF CHANGED 204 	_5CEB24AD6A6904BC	gn_fyros_defender	Défenseur Fyros	
DIFF SWAP 900 205				
DIFF CHANGED 205 	_28582835AF18C8B4	gn_fyros_officer	Officier Fyros	
DIFF SWAP 947 206				
DIFF CHANGED 206 	_4DC81556748F111A	gn_green_seed_noble	Chef de Guerre Régulier	
DIFF SWAP 948 207				
DIFF CHANGED 207 	_644C556B01400116	gn_green_seed_volunteer	Volontaire Régulier	
DIFF SWAP 959 208				
DIFF CHANGED 208 	_2677B899A5787FAB	gn_guard_inv_1	Garde	
DIFF SWAP 960 209				
DIFF CHANGED 209 	_2677B899A57883AB	gn_guard_inv_2	Garde	
DIFF SWAP 1090 210				
DIFF CHANGED 210 	_09592DFADF44F498	gn_kami_sentinel	Sentinelle des Kamis	
DIFF SWAP 1208 211				
DIFF CHANGED 211 	_5F79285F42CDEDF3	gn_karavan_guard_h_1	Gardien de la Karavan	
DIFF SWAP 1210 212				
DIFF CHANGED 212 	_39E8DDB6035F70FD	gn_karavan_guardian	Gardien de la Karavan	
DIFF SWAP 1310 213				
DIFF CHANGED 213 	_81DF25198B97A80A	gn_levier_volunteer	Volontaire Régulier	
DIFF REMOVED 214 	_0000000000000000	fct_marauder_windofmuse	(Winds of Muse)	
