*HASH_VALUE	creature ID	name	ia	da	p	pia	pda		
0000000000000000	cbadb4	Prime Igara	a	the			Prime Igaras		the
0000000000000000	cbadb7	Igaketh							
0000000000000000	cbadc1	Vigilant Igara	a	the			Vigilant Igaras		the
0000000000000000	cbadc2	Hungry Igara	a	the			Hungry Igaras		the
0000000000000000	cbadc3	Scavenging Igara	a	the			Scavenging Igaras		the
0000000000000000	cbadc4	Leering Igara	a	the			Leering Igaras		the
0000000000000000	cbadc7	Igaketh							
0000000000000000	cbadd1	Vicious Igara	a	the			Vicious Igaras		the
0000000000000000	cbadd2	Malignant Igara	a	the			Malignant Igaras		the
0000000000000000	cbadd3	Mocking Igara	a	the			Mocking Igaras		the
0000000000000000	cbadd4	Carrion Igara	a	the			Carrion Igaras		the
0000000000000000	cbadd7	Igaketh							
0000000000000000	cbade1	Tracker Igara	a	the			Tracker Igaras		the
0000000000000000	cbade2	Volatile Igara	a	the			Volatile Igaras		the
0000000000000000	cbade3	Frightening Igara	a	the			Frightening Igaras		the
0000000000000000	cbade4	Rapacious Igara	a	the			Rapacious Igaras		the
0000000000000000	cbade7	Igaketh							
0000000000000000	cbadf7	Igaketh							
0000000000000000	cbafb7	Igakin							
0000000000000000	cbafc7	Igakin							
0000000000000000	cbafd7	Igakin							
0000000000000000	cbafe7	Igakin							
0000000000000000	cbaff7	Igakin							
0000000000000000	cbaga1	Impure Igara	an	the			Impure Igaras		the
0000000000000000	cbaga2	Blighted Igara	a	the			Blighted Igaras		the
0000000000000000	cbaga3	Contaminated Igara	a	the			Contaminated Igaras		the
0000000000000000	cbaga4	Infected Igara	an	the			Infected Igaras		the
0000000000000000	cbagb1	Nauseous Igara	a	the			Nauseous Igaras		the
0000000000000000	cbagb2	Stinking Igara	a	the			Stinking Igaras		the
0000000000000000	cbagb3	Morbid Igara	a	the			Morbid Igaras		the
0000000000000000	cbagb4	Poisoned Igara	a	the			Poisoned Igaras		the
0000000000000000	cbagc1	Plagued Igara	a	the			Plagued Igaras		the
0000000000000000	cbagc2	Sickly  Igara	a	the			Sickly  Igaras		the
0000000000000000	cbagc3	Putrescent Igara	a	the			Putrescent Igaras		the
0000000000000000	cbagc4	Virulent Igara	a	the			Virulent Igaras		the
0000000000000000	cbagd1	Ravaged Igara	a	the			Ravaged Igaras		the
0000000000000000	cbagd2	Festering Igara	a	the			Festering Igaras		the
0000000000000000	cbagd3	Pestiferous Igara	a	the			Pestiferous Igaras		the
0000000000000000	cbagd4	Raving Igara	a	the			Raving Igaras		the
0000000000000000	cbage1	Pustulous Igara	a	the			Pustulous Igaras		the
0000000000000000	cbage2	Seeping Igara	a	the			Seeping Igaras		the
0000000000000000	cbage3	Foaming Igara	a	the			Foaming Igaras		the
0000000000000000	cbage4	Revolting Igara	a	the			Revolting Igaras		the
0000000000000000	cbagf1	Demented Igara	a	the			Demented Igaras		the
0000000000000000	cbagf2	Frenzied Igara	a	the			Frenzied Igaras		the
0000000000000000	cbagf3	Fiendish Igara	a	the			Fiendish Igaras		the
0000000000000000	cbagf4	Lethal Kazoar							the
0000000000000000	cbaja1	Fledgling Igara	a	the			Fledgling Igaras		the
0000000000000000	cbaja2	Lesser Igara	a	the			Lesser Igaras		the
0000000000000000	cbaja3	Gentle Igara	a	the			Gentle Igaras		the
0000000000000000	cbaja4	Soaring Igara	a	the			Soaring Igaras		the
0000000000000000	cbajb1	Gorged Igara	a	the			Gorged Igaras		the
0000000000000000	cbajb2	Vulgar Igara	a	the			Vulgar Igaras		the
0000000000000000	cbajb3	Bloated Igara	a	the			Bloated Igaras		the
0000000000000000	cbajb4	Prime Igara	a	the			Prime Igaras		the
0000000000000000	cbajb7	Igakya							
0000000000000000	cbajc1	Vigilant Igara	a	the			Vigilant Igaras		the
0000000000000000	cbajc2	Hungry Igara	a	the			Hungry Igaras		the
0000000000000000	cbajc3	Scavenging Igara	a	the			Scavenging Igaras		the
0000000000000000	cbajc4	Leering Igara	a	the			Leering Igaras		the
0000000000000000	cbajc7	Igakya							
0000000000000000	cbajd1	Vicious Igara	a	the			Vicious Igaras		the
0000000000000000	cbajd2	Malignant Igara	a	the			Malignant Igaras		the
0000000000000000	cbajd3	Mocking Igara	a	the			Mocking Igaras		the
0000000000000000	cbajd4	Carrion Igara	a	the			Carrion Igaras		the
0000000000000000	cbajd7	Igakya							
0000000000000000	cbaje1	Tracker Igara	a	the			Tracker Igaras		the
0000000000000000	cbaje2	Volatile Igara	a	the			Volatile Igaras		the
0000000000000000	cbaje3	Frightening Igara	a	the			Frightening Igaras		the
0000000000000000	cbaje4	Rapacious Igara	a	the			Rapacious Igaras		the
0000000000000000	cbaje7	Igakya							
0000000000000000	cbajf5	Kim-kol	a	the			Kim-kols		the
0000000000000000	cbajf7	Igakya							
0000000000000000	cbalb7	Igakan							
0000000000000000	cbalc7	Igakan							
0000000000000000	cbald7	Igakan							
0000000000000000	cbale7	Igakan							
0000000000000000	cbalf7	Igakan							
0000000000000000	cbapb7	Igakoo							
0000000000000000	cbapc7	Igakoo							
0000000000000000	cbapd7	Igakoo							
0000000000000000	cbape7	Igakoo							
0000000000000000	cbapf7	Igakoo							
0000000000000000	cbbda1	Fledgling Izam	a	the			Fledgling Izams		the
0000000000000000	cbbda2	Lesser Izam	a	the			Lesser Izams		the
0000000000000000	cbbda3	Gentle Izam	a	the			Gentle Izams		the
0000000000000000	cbbda4	Soaring Izam	a	the			Soaring Izams		the
0000000000000000	cbbdb1	Gorged Izam	a	the			Gorged Izams		the
0000000000000000	cbbdb2	Vulgar Izam	a	the			Vulgar Izams		the
0000000000000000	cbbdb3	Bloated Izam	a	the			Bloated Izams		the
0000000000000000	cbbdb4	Prime Izam	a	the			Prime Izams		the
0000000000000000	cbbdb7	Izaketh							
0000000000000000	cbbdc1	Vigilant Izam	a	the			Vigilant Izams		the
0000000000000000	cbbdc2	Hungry Izam	a	the			Hungry Izams		the
0000000000000000	cbbdc3	Scavenging Izam	a	the			Scavenging Izams		the
0000000000000000	cbbdc4	Leering Izam	a	the			Leering Izams		the
0000000000000000	cbbdc7	Izaketh							
0000000000000000	cbbdd4	Carrion Izam							
0000000000000000	cbbdd7	Izaketh							
0000000000000000	cbbde1	Tracker Izam	a	the			Tracker Izams		the
0000000000000000	cbbde2	Volatile Izam	a	the			Volatile Izams		the
0000000000000000	cbbde3	Frightening Izam	a	the			Frightening Izams		the
0000000000000000	cbbde4	Rapacious Izam	a	the			Rapacious Izams		the
0000000000000000	cbbde5	Dylion	a	the			Dylions		the
0000000000000000	cbbde7	Izaketh							
0000000000000000	cbbdf7	Izaketh							
0000000000000000	cbbfb7	Izakin							
0000000000000000	cbbfc7	Izakin							
0000000000000000	cbbfd7	Izakin							
0000000000000000	cbbfe7	Izakin							
0000000000000000	cbbff7	Izakin							
0000000000000000	cbbja1	Fledgling Izam	a	the			Fledgling Izams		the
0000000000000000	cbbja2	Lesser Izam	a	the			Lesser Izams		the
0000000000000000	cbbja3	Gentle Izam	a	the			Gentle Izams		the
0000000000000000	cbbja4	Soaring Izam	a	the			Soaring Izams		the
0000000000000000	cbbjb1	Gorged Izam	a	the			Gorged Izams		the
0000000000000000	cbbjb2	Vulgar Izam	a	the			Vulgar Izams		the
0000000000000000	cbbjb3	Bloated Izam	a	the			Bloated Izams		the
0000000000000000	cbbjb4	Prime Izam	a	the			Prime Izams		the
0000000000000000	cbbjb7	Izakya							
0000000000000000	cbbjc1	Vigilant Izam	a	the			Vigilant Izams		the
0000000000000000	cbbjc2	Hungry Izam	a	the			Hungry Izams		the
0000000000000000	cbbjc3	Scavenging Izam	a	the			Scavenging Izams		the
0000000000000000	cbbjc4	Leering Izam	a	the			Leering Izams		the
0000000000000000	cbbjc7	Izakya							
0000000000000000	cbbjd7	Izakya							
0000000000000000	cbbje1	Tracker Izam	a	the			Tracker Izams		the
0000000000000000	cbbje2	Volatile Izam	a	the			Volatile Izams		the
0000000000000000	cbbje3	Frightening Izam	a	the			Frightening Izams		the
0000000000000000	cbbje4	Rapacious Izam	a	the			Rapacious Izams		the
0000000000000000	cbbje7	Izakya							
0000000000000000	cbbjf1	Threatening Izam	a	the			Threatening Izams		the
0000000000000000	cbbjf2	Enraged Izam	an	the			Enraged Izams		the
0000000000000000	cbbjf3	Tremendous Izam	a	the			Tremendous Izams		the
0000000000000000	cbbjf7	Izakya							
0000000000000000	cbbla1	Fledgling Izam	a	the			Fledgling Izams		the
0000000000000000	cbbla2	Lesser Izam	a	the			Lesser Izams		the
0000000000000000	cbbla3	Gentle Izam	a	the			Gentle Izams		the
0000000000000000	cbbla4	Soaring Izam	a	the			Soaring Izams		the
0000000000000000	cbblb1	Gorged Izam	a	the			Gorged Izams		the
0000000000000000	cbblb2	Vulgar Izam	a	the			Vulgar Izams		the
0000000000000000	cbblb3	Bloated Izam	a	the			Bloated Izams		the
0000000000000000	cbblb4	Prime Izam	a	the			Prime Izams		the
0000000000000000	cbblb7	Izakan							
0000000000000000	cbblc1	Vigilant Izam	a	the			Vigilant Izams		the
0000000000000000	cbblc2	Hungry Izam	a	the			Hungry Izams		the
0000000000000000	cbblc3	Scavenging Izam	a	the			Scavenging Izams		the
0000000000000000	cbblc4	Leering Izam	a	the			Leering Izams		the
0000000000000000	cbblc7	Izakan							
0000000000000000	cbblc8	Death Izam	a	the					
0000000000000000	cbbld1	Vicious Izam	a	the			Vicious Izams		the
0000000000000000	cbbld2	Malignant Izam	a	the			Malignant Izams		the
0000000000000000	cbbld3	Mocking Izam	a	the			Mocking Izams		the
0000000000000000	cbbld4	Carrion Izam	a	the			Carrion Izams		the
0000000000000000	cbbld7	Izakan							
0000000000000000	cbble7	Izakan							
0000000000000000	cbblf7	Izakan							
0000000000000000	cbbpa1	Fledgling Izam	a	the			Fledgling Izams		the
0000000000000000	cbbpa2	Lesser Izam	a	the			Lesser Izams		the
0000000000000000	cbbpa3	Gentle Izam	a	the			Gentle Izams		the
0000000000000000	cbbpa4	Soaring Izam	a	the			Soaring Izams		the
0000000000000000	cbbpb1	Gorged Izam	a	the			Gorged Izams		the
0000000000000000	cbbpb2	Vulgar Izam	a	the			Vulgar Izams		the
0000000000000000	cbbpb3	Bloated Izam	a	the			Bloated Izams		the
0000000000000000	cbbpb4	Prime Izam	a	the			Prime Izams		the
0000000000000000	cbbpb7	Izakoo							
0000000000000000	cbbpc1	Vigilant Izam	a	the			Vigilant Izams		the
0000000000000000	cbbpc2	Hungry Izam	a	the			Hungry Izams		the
0000000000000000	cbbpc3	Scavenging Izam	a	the			Scavenging Izams		the
0000000000000000	cbbpc4	Leering Izam	a	the			Leering Izams		the
0000000000000000	cbbpc7	Izakoo							
0000000000000000	cbbpd1	Vicious Izam	a	the			Vicious Izams		the
0000000000000000	cbbpd2	Malignant Izam	a	the			Malignant Izams		the
0000000000000000	cbbpd3	Mocking Izam	a	the			Mocking Izams		the
0000000000000000	cbbpd4	Carrion Izam	a	the			Carrion Izams		the
0000000000000000	cbbpd7	Izakoo							
0000000000000000	cbbpe4	Rapacious Izam							
0000000000000000	cbbpe7	Izakoo							
0000000000000000	cbbpf7	Izakoo							
0000000000000000	CBCCF2	Yber Frénétique	un	l'	de l'	à l'	Ybers Frénétiques	des	les
0000000000000000	cbcdb7	Yberketh							
0000000000000000	cbcdc7	Yberketh							
0000000000000000	cbcdd7	Yberketh							
0000000000000000	cbcde7	Yberketh							
0000000000000000	cbcdf7	Yberketh							
0000000000000000	cbcfb7	Yberkin							
0000000000000000	cbcfc7	Yberkin							
0000000000000000	cbcfd7	Yberkin							
0000000000000000	cbcfe7	Yberkin							
0000000000000000	cbcff7	Yberkin							
0000000000000000	cbcga1	Impure Yber	an	the			Impure Ybers		the
0000000000000000	cbcga2	Blighted Yber	a	the			Blighted Ybers		the
0000000000000000	cbcga3	Contaminated Yber	a	the			Contaminated Ybers		the
0000000000000000	cbcga4	Infected Yber	an	the			Infected Ybers		the
0000000000000000	cbcgb1	Nauseous Yber	a	the			Nauseous Ybers		the
0000000000000000	cbcgb2	Stinking Yber	a	the			Stinking Ybers		the
0000000000000000	cbcgb3	Morbid Yber	a	the			Morbid Ybers		the
0000000000000000	cbcgb4	Poisoned Yber	a				Poisoned Ybers		the
0000000000000000	cbcgc1	Plagued Yber	a	the			Plagued Ybers		the
0000000000000000	cbcgc2	Sickly  Yber	a	the			Sickly  Ybers		the
0000000000000000	cbcgc3	Putrescent Yber	a	the			Putrescent Ybers		the
0000000000000000	cbcgc4	Virulent Yber	a	the			Virulent Ybers		the
0000000000000000	cbcgd1	Ravaged Yber	a	the			Ravaged Ybers		the
0000000000000000	cbcgd2	Festering Yber	a	the			Festering Ybers		the
0000000000000000	cbcgd3	Pestiferous Yber	a	the			Pestiferous Ybers		the
0000000000000000	cbcgd4	Raving Yber	a	the			Raving Ybers		the
0000000000000000	cbcge1	Pustulous Yber	a	the			Pustulous Ybers		the
0000000000000000	cbcge2	Seeping Yber	a	the			Seeping Ybers		the
0000000000000000	cbcge3	Foaming Yber	a	the			Foaming Ybers		the
0000000000000000	cbcge4	Revolting Yber	a	the			Revolting Ybers		the
0000000000000000	cbcgf1	Demented Yber	a	the			Demented Ybers		the
0000000000000000	cbcgf2	Frenzied Yber	a	the			Frenzied Ybers		the
0000000000000000	cbcgf3	Fiendish Yber	a	the			Fiendish Ybers		the
0000000000000000	cbcgf4	Lethal Yber							the
0000000000000000	cbcja1	Fledgling Yber	a	the			Fledgling Ybers		the
0000000000000000	cbcja2	Lesser Yber	a	the			Lesser Ybers		the
0000000000000000	cbcja3	Gentle Yber	a	the			Gentle Ybers		the
0000000000000000	cbcja4	Soaring Yber	a	the			Soaring Ybers		the
0000000000000000	cbcjb1	Gorged Yber	a	the			Gorged Ybers		the
0000000000000000	cbcjb2	Vulgar Yber	a	the			Vulgar Ybers		the
0000000000000000	cbcjb3	Bloated Yber	a	the			Bloated Ybers		the
0000000000000000	cbcjb4	Prime Yber	a	the			Prime Ybers		the
0000000000000000	cbcjb7	Yberkya							
0000000000000000	cbcjc1	Vigilant Yber	a	the			Vigilant Ybers		the
0000000000000000	cbcjc2	Hungry Yber	a	the			Hungry Ybers		the
0000000000000000	cbcjc3	Scavenging Yber	a	the			Scavenging Ybers		the
0000000000000000	cbcjc4	Leering Yber	a	the			Leering Ybers		the
0000000000000000	cbcjc7	Yberkya							
0000000000000000	cbcjd1	Vicious Yber	a	the			Vicious Ybers		the
0000000000000000	cbcjd2	Malignant Yber	a	the			Malignant Ybers		the
0000000000000000	cbcjd3	Mocking Yber	a	the			Mocking Ybers		the
0000000000000000	cbcjd4	Carrion Yber	a	the			Carrion Ybers		the
0000000000000000	cbcjd7	Yberkya							
0000000000000000	cbcje1	Tracker Yber	a	the			Tracker Ybers		the
0000000000000000	cbcje2	Volatile Yber	a	the			Volatile Ybers		the
0000000000000000	cbcje3	Frightening Yber	a	the			Frightening Ybers		the
0000000000000000	cbcje4	Rapacious Yber	a	the			Rapacious Ybers		the
0000000000000000	cbcje7	Yberkya							
0000000000000000	cbcjf7	Yberkya							
0000000000000000	cbcla1	Fledgling Yber	a	the			Fledgling Ybers		the
0000000000000000	cbcla2	Lesser Yber	a	the			Lesser Ybers		the
0000000000000000	cbcla3	Gentle Yber	a	the			Gentle Ybers		the
0000000000000000	cbcla4	Soaring Yber	a	the			Soaring Ybers		the
0000000000000000	cbclb1	Gorged Yber	a	the			Gorged Ybers		the
0000000000000000	cbclb2	Vulgar Yber	a	the			Vulgar Ybers		the
0000000000000000	cbclb3	Bloated Yber	a	the			Bloated Ybers		the
0000000000000000	cbclb4	Prime Yber	a	the			Prime Ybers		the
0000000000000000	cbclb7	Yberkan							
0000000000000000	cbclc1	Vigilant Yber	a	the			Vigilant Ybers		the
0000000000000000	cbclc2	Hungry Yber	a	the			Hungry Ybers		the
0000000000000000	cbclc3	Scavenging Yber	a	the			Scavenging Ybers		the
0000000000000000	cbclc4	Leering Yber	a	the			Leering Ybers		the
0000000000000000	cbclc7	Yberkan							
0000000000000000	cbcld5	Corrah	a	the					
0000000000000000	cbcld7	Yberkan							
0000000000000000	cbcle7	Yberkan							
0000000000000000	cbclf7	Yberkan							
0000000000000000	cbcpb7	Yberkoo							
0000000000000000	cbcpc7	Yberkoo							
