*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_0000000000000000	conso_strength_substance_royale	Kitin Strength Potion	a	the	Kitin Strength Potions		the	
_0000000000000000	crystalized_spell	Crystalized Spell	a	the	Crystallized Spells		the	
_0000000000000000	ct_gmisland_aniro	<CS> Aniro GM Island Teleport	a	the	<CS> Aniro GM Island Teleports		the	This is a GM Item.
_0000000000000000	ct_gmisland_arispotle	<CS> Arispotle GM Island Teleport	a	the	<CS> Arispotle GM Island Teleports		the	This is a GM Item.
_0000000000000000	ct_gmisland_cho	<CS> Cho GM Island Teleport	a	the	<CS> Cho GM Island Teleports		the	This is a GM Item.
_0000000000000000	ct_gmisland_leanon	<CS> Leanon GM Island Teleport	a	the	<CS> Leanon GM Island Teleports		the	This is a GM Item.
_0000000000000000	cure_expert_letter	Cure Expert's Letter	a	the	Cure Expert's Letters		the	
_0000000000000000	cwff03_egg	Goari Egg	a	the	Goari Eggs		the	
_0000000000000000	cwmf03_bag	Package to deliver	a	the	Packages to deliver		the	
_0000000000000000	cwmf03_purse	Little Purse	a	the	Little Purses		the	
_0000000000000000	cwtf03_pearl	Corsair Pearl	a	the	Corsair Pearls		the	
_0000000000000000	drill	Drill	a	the	Drills		the	
_0000000000000000	drill_2	Drill	a	the	Drills		the	
_0000000000000000	drill_3	Drill	a	the	Drills		the	
_0000000000000000	ep2_high_brick	Higher Brick Wall	a	the	Higher Brick Walls		the	
_0000000000000000	ep2_large_bark_splinter	Large Fragment of Bark	a	the	Large Fragments of Bark		the	
_0000000000000000	ep2_large_bud	Large Ornamental Bud	a	the	Large Ornamental Buds		the	
_0000000000000000	ep2_large_conglomerate	Big Conglomerate of Attics	a	the	Big Conglomerates of Attics		the	
_0000000000000000	ep2_large_fibers	Large Handful of Fibers	a	the	Large Handfuls of Fibers		the	
_0000000000000000	ep2_large_moss_patch	Large Handful of Moss	a	the	Large Handfuls of Moss		the	
_0000000000000000	ep2_large_patch_cover	Major Covering Plate	a	the	Major Covering Plates		the	
_0000000000000000	ep2_large_root_piece	Large Piece of Root	a	the	Large Pieces of Root		the	
_0000000000000000	ep2_large_trunk	Long Part of Trunk	a	the	Long Parts of Trunk		the	
_0000000000000000	ep2_low_brick	Lower Brick Wall	a	the	Lower Brick Walls		the	
_0000000000000000	ep2_major_column	Major Part of Column	a	the	Major Parts of Column		the	
_0000000000000000	ep2_major_justice_column	Major Part of the Column of Justice	a	the	Major Parts of the Column of Justice		the	
_0000000000000000	ep2_major_maduk_core	Major Part of Ma-Duk's Core	a	the	Major Parts of Ma-Duk's Core		the	
_0000000000000000	ep2_major_ornament	Major Ornamental Part	a	the	Major Ornamental Parts		the	
_0000000000000000	ep2_major_pedestal	Major Part of Pedestal	a	the	Major Parts of Pedestal		the	
_0000000000000000	ep2_major_statue_part	Major Part of Statue	a	the	Major Parts of Statue		the	
_0000000000000000	ep2_major_symbol_part	Major Part of the Symbol	a	the	Major Parts of the Symbol		the	
_0000000000000000	ep2_minor_column	Minor Part of Column	a	the	Minor Parts of Column		the	
_0000000000000000	ep2_minor_justice_column	Minor Part of the Column of Justice	a	the	Minor Parts of the Column of Justice		the	
_0000000000000000	ep2_minor_maduk_core	Minor Part of ma-Duk's Core	a	the	Minor Parts of Ma-Duk's Core		the	
_0000000000000000	ep2_minor_ornament	Minor Ornamental Part	a	the	Minor Ornamental Parts		the	
_0000000000000000	ep2_minor_pedestal	Minor Part of Pedestal	a	the	Minor Parts of Pedestal		the	
_0000000000000000	ep2_minor_statue_part	Minor Part of Statue	a	the	Minor Parts of Statue		the	
_0000000000000000	ep2_minor_symbol_part	Minor Part of the Symbol	a	the	Minor Parts of the Symbol		the	
_0000000000000000	ep2_small_bark_splinter	Small Fragment of Bark	a	the	Small Fragments of Bark		the	
_0000000000000000	ep2_small_bud	Small Ornamental Bud	a	the	Small Ornamental Buds		the	
_0000000000000000	ep2_small_conglomerate	Small Conglomerate of Attics	a	the	Small Conglomerates of Attics		the	
_0000000000000000	ep2_small_fibers	Small Handful of Fibers	a	the	Small Handfuls of Fiber		the	
_0000000000000000	ep2_small_moss_patch	Small Handful of Moss	a	the	Small Handfuls of Moss		the	
_0000000000000000	ep2_small_patch_cover	Minor Covering Plate	a	the	Minor Covering Plates		the	
_0000000000000000	ep2_small_root_piece	Small Piece of Root	a	the	Small Pieces of Root		the	
_0000000000000000	ep2_small_trunk	Small Part of Trunk	a	the	Small Parts of Trunk		the	
_0000000000000000	event_barrel_of_beer	Barrel of Lakes Beer	a	the	Barrels of Lakes Beer		the	
_0000000000000000	event_barrel_of_shooki_liquor	Barrel of Shooki Liquor	a	the	Barrels of Shooki Liquor		the	
_0000000000000000	event_barrel_of_water	Barrel of Lake Water	a	the	Barrels of Lake Water		the	
_0000000000000000	event_blood	Blood	some	the	Blood		the	
_0000000000000000	event_goo	Goo	some	the	Goo		the	
_0000000000000000	event_incandescent_wood	Incandescent Wood	some	the	Incandescent Wood		the	
_0000000000000000	event_lakes_beer	Lakes Beer	some	the	Lakes Beer		the	
_0000000000000000	event_magnetized_amber	Magnetized Amber	a	the	Magnetized Amber		the	
_0000000000000000	event_magnetized_amber_sphere	Sphere Magnetized Amber	a	the	Sphere Magnetized Amber		the	
_0000000000000000	event_meat	Meat	some	the	Meats		the	
_0000000000000000	event_missive	Missive	a	the	Missives		the	
_0000000000000000	event_missive_fyros	Fyros Missive	a	the	Fyros Missives		the	
_0000000000000000	event_missive_kami	Kami Missive	a	the	Kami Missives		the	
_0000000000000000	event_missive_kara	Karavan Missive	a	the	Karavan Missives		the	
_0000000000000000	event_missive_matis	Matis Missive	a	the	Matis Missives		the	
_0000000000000000	event_missive_tryker	Tryker Missive	a	the	Tryker Missives		the	
_0000000000000000	event_missive_zorai	Zoraï Missive	a	the	Zoraï Missives		the	
_0000000000000000	event_purified_sap	Purified Sap	some	the	Purified Sap		the	
_0000000000000000	event_sheet_music	Sheet	a	the	Sheet		the	
_0000000000000000	event_shooki_liquor	Shooki Liquor	some	the	Shooki Liquor		the	
_0000000000000000	event_taliari_pearl_black	Black Taliari Pearl	a	the	Black Taliari Pearls		the	
_0000000000000000	event_taliari_pearl_blue	Blue Taliari Pearl	a	the	Blue Taliari Pearls		the	
_0000000000000000	event_taliari_pearl_violet	Violet Taliari Pearl	a	the	Violet Taliari Pearls		the	
_0000000000000000	extrait_substance_question_de_force	Extract of Kitin Strength Substance	an	the	Extracts of Kitin Strength Substance		the	
_0000000000000000	extrait_substance_royale	Extract of the Kitin Royal Substance	an	the	Extracts of the Kitin Royal Substance		the	
_0000000000000000	fbt_conso	Surprise	a	the	Surprises		the	
_0000000000000000	fc60_fiole	Vial of Fragrance	a	the	Vials of Fragrance		the	
_0000000000000000	fc60_morceau	Drowsy Shooki Morsel	some	the	Drowsy Shooki Morsels		the	
_0000000000000000	fc60_plumes	Vulgar Izam Feathers	some	the	Vulgar Izam Feathers		the	
_0000000000000000	fc70_petales	Minor Shooki Petals	some	the	Minor Shooki Petals		the	
_0000000000000000	fc70_plumes	Bloated Izam Feathers	some	the	Bloated Izam Feathers		the	
_0000000000000000	fc80_ambre	Amber for Tools	an	the	Amber for Tools		the	
_0000000000000000	fc80_carapaces	Shell to Exchange	a	the	Shells to Exchange		the	
_0000000000000000	fc80_outil	Special Tool	a	the	Special Tools		the	
_0000000000000000	fc80_pince	Scowling Goari Claw	a	the	Scowling Goari Claws		the	
_0000000000000000	fc90_ailes	Vigilant Kizoar Wings	a	the	Vigilant Kizoar Wings		the	
_0000000000000000	fc90_carapace	Moderate Kipee Shell	a	the	Moderate Kipee Shells		the	
_0000000000000000	fc90_feuilles	Oasis Leaf	an	the	Oasis Leaves		the	
_0000000000000000	fc100_bois	Preserved Wood	some	the	Preserved Wood		the	
_0000000000000000	fc100_coffre	Chest Book	a	the	Chest Book		the	
_0000000000000000	ff60_graisse	Gluttonous Arma Fat	some	the	Gluttonous Arma Fat		the	
_0000000000000000	ff60_message	Message	a	the	Messages		the	
_0000000000000000	ff90_insigne	Frahar Badge of Honor	a	the	Frahar Badges of Honor		the	
_0000000000000000	ff100_bague	Ring	a	the	Rings		the	
_0000000000000000	ff100_boisson	Exotic Drink	an	the	Exotic Drinks		the	
_0000000000000000	fh60_bijoux	Jewel to be Delivered	a	the	Jewels to be Delivered		the	
_0000000000000000	fh60_chair	Moderate Kipee Meat	some	the	Moderate Kipee Meat		the	
_0000000000000000	fh60_parchemin	Mysterious Parchment	a	the	Mysterious Parchments		the	
_0000000000000000	fh60_pendentif	Precious Pendant	a	the	Precious Pendants		the	
_0000000000000000	fh70_pince	Scary Clopper Claw	a	the	Scary Clopper Claws		the	
_0000000000000000	fh80_echantillon	Sample to Analyse	a	the	Samples to Analyse		the	
_0000000000000000	fh80_lettre	Letter	a	the	Letters		the	
_0000000000000000	fh80_tendons	Sprightly Capryni Tendons	some	the	Sprightly Capryni Tendons		the	
_0000000000000000	fh90_cendre	Pure Ash	some	the	Pure Ashes		the	
_0000000000000000	fh100_sac	Materials Bag	a	the	Materials Bags		the	
_0000000000000000	fm50_pinces	Baying Goari Claws	some	the	Baying Goari Claws		the	
_0000000000000000	fm60_plumes	Vigilant Igara Feathers	some	the	Vigilant Igara Feathers		the	
_0000000000000000	fm70_bracelet	Floral Bracelet	a	the	Floral Bracelets		the	
_0000000000000000	fm70_cristal	Special Crystal	a	the	Special Crystals		the	
_0000000000000000	fm70_feuilles	Blooming Shooki Flowers	some	the	Blooming Shooki Flowers		the	
_0000000000000000	fm80_ailettes	Gruff Raspal Fins	some	the	Gruff Raspal Fins		the	
_0000000000000000	fm90_ailes	Vicious Kizoar Wings	some	the	Vicious Kizoar Wings		the	
_0000000000000000	fm90_cristal	Crystal of Truth	a	the	Crystals of Truth		the	
_0000000000000000	fm100_cristal	Crystal of Revelation	a	the	Crystals of Revelation		the	
_0000000000000000	fragment_carapace_kitin_encore_plus_solide	Fragment of Kitin Shell	a	the	Fragments of Kitin Shell		the	
_0000000000000000	fv_arrowhead	Strange Arrowhead	a	the	Strange Arrowheads		the	
_0000000000000000	fv_seal1	Miner's Seal	a	the	Miner's Seals		the	
_0000000000000000	fyler_dagger_crate	Fyler Dagger of the Goo Heads	a	the	Fyler Daggers of the Goo Heads		the	
_0000000000000000	fy_banner_gm	Fyros Game Master Banner	a	the	Fyros Game Master Banners		the	
_0000000000000000	fy_banner_gu	Fyros Guide Banner	a	the	Fyros Guide Banners		the	
_0000000000000000	fy_banner_sgm	Fyros Senior Game Master Banner	a	the	Fyros Senior Game Master Banners		the	
_0000000000000000	fy_banner_sgu	Fyros Senior Guide Banner	a	the	Fyros Senior Guide Banners		the	
_0000000000000000	fy_cheveux_long01	Fyros Long Haircut	a	the	Fyros Long Hairs		the	
_0000000000000000	fy_cheveux_medium01	Fyros Medium Haircut	a	the	Fyros Medium Haircuts		the	
_0000000000000000	fy_cheveux_shave01	Fyros Shaved Haircut	a	the	Fyros Shaved Haircuts		the	
_0000000000000000	fy_cheveux_short01	Fyros Short Haircut	a	the	Fyros Short Haircuts		the	
_0000000000000000	fy_hof_haircolor0	Grey		the	Grey		the	
_0000000000000000	fy_hof_haircolor1	Blond		the	Blond		the	
_0000000000000000	fy_hof_haircolor2	Auburn		the	Auburn		the	
_0000000000000000	fy_hof_haircolor3	Red		the	Red		the	
_0000000000000000	fy_hof_haircolor4	Brown		the	Brown		the	
_0000000000000000	fy_hof_haircolor5	Black			Black			
_0000000000000000	fy_hof_hair_artistic01	Artistic Stiff Back Hairstyle	an	the	Artistic Stiff Back Hairstyles		the	
_0000000000000000	fy_hof_hair_artistic02	Artistic Fringe and Tails Hairstyle	an	the	Artistic Fringe and Tails Hairstyles		the	
_0000000000000000	fy_hof_hair_artistic03	Artistic Long Bunched Hairstyle	an	the	Artistic Long Bunched Hairstyles		the	
_0000000000000000	fy_hof_hair_artistic04	Artistic Choppy Hairstyle	an	the	Artistic Choppy Hairstyles		the	
_0000000000000000	fy_hof_hair_artistic05	Artistic High Chignon Hairstyle	an	the	Artistic High Chignon Hairstyles		the	
_0000000000000000	fy_hof_hair_basic01	Basic Shaved Hairstyle	a	the	Basic Shaved Hairstyles		the	
_0000000000000000	fy_hof_hair_basic02	Basic Tousled Hairstyle	a	the	Basic Tousled Hairstyles		the	
_0000000000000000	fy_hof_hair_basic03	Basic Long Fringe Hairstyle	a	the	Basic Long Fringe Hairstyles		the	
_0000000000000000	fy_hof_hair_basic04	Basic Flicked Hairstyle	a	the	Basic Flicked Hairstyles		the	
_0000000000000000	fy_hof_hair_basic05	Basic Flame Hairstyle	a	the	Basic Flame Hairstyles		the	
_0000000000000000	fy_hof_hair_style01	Stylish Streaky Fringe Hairstyle	a	the	Stylish Streaky Fringe Hairstyles		the	
_0000000000000000	fy_hof_hair_style02	Stylish Stiff Back Hairstyle	a	the	Stylish Stiff Back Hairstyles		the	
_0000000000000000	fy_hof_hair_style03	Stylish Long Silky Hairstyle	a	the	Stylish Long Silky Hairstyles		the	
_0000000000000000	fy_hof_hair_style04	Stylish Gubani Hairstyle	a	the	Stylish Gubani Hairstyles		the	
_0000000000000000	fy_hof_hair_style05	Bicorn Hairstyle	a	the	Bicorn Hairstyles		the	
_0000000000000000	fy_hof_tatoo0	No Tattoo	a	the	No Tattoos		the	
_0000000000000000	fy_hof_tatoo1	Eye Ticks Tatoo	an	the	Eye Ticks Tatoos		the	
_0000000000000000	fy_hof_tatoo2	Fine Mascara Tatoo	a	the	Fine Mascara Tatoos		the	
_0000000000000000	fy_hof_tatoo3	Fine Streaks Tatoo	a	the	Fine Streaks Tatoos		the	
_0000000000000000	fy_hof_tatoo4	Eye Shadow Ticks Tatoo	an	the	Eye Shadow Ticks Tatoos		the	
_0000000000000000	fy_hof_tatoo5	Ripples Tatoo	a	the	Ripples Tatoos		the	
_0000000000000000	fy_hof_tatoo6	Shadow Ripples Tatoo	a	the	Shadow Ripples Tatoos		the	
_0000000000000000	fy_hof_tatoo7	Delicate Brush Traits Tatoo	a	the	Delicate Brush Traits Tatoos		the	
_0000000000000000	fy_hof_tatoo8	Lifton Cheek Highlights Tatoo	a	the	Lifton Cheek Highlights Tatoos		the	
_0000000000000000	fy_hof_tatoo9	Brush Traits Tatoo	a	the	Brush Traits Tatoos		the	
_0000000000000000	fy_hof_tatoo10	Hyton Cheek Highlights Tatoo	a	the	Hyton Cheek Highlights Tatoos		the	
_0000000000000000	fy_hof_tatoo11	Mark of Ioda Tatoo	a	the	Mark of Ioda Tatoos		the	
_0000000000000000	fy_hof_tatoo12	Cheek Strokes Tatoo	a	the	Cheek Strokes Tatoos		the	
_0000000000000000	fy_hof_tatoo13	Black Look Tatoo	a	the	Black Look Tatoos		the	
_0000000000000000	fy_hof_tatoo14	Ripples in the Sand Tatoo	a	the	Ripples in the Sand Tatoos		the	
_0000000000000000	fy_hof_tatoo15	Sand Blast Tatoo	a	the	Sand Blast Tatoos		the	
_0000000000000000	fy_hof_tatoo16	Sand Blast Shadow Tatoo	a	the	Sand Blast Shadow Tatoos		the	
_0000000000000000	fy_hof_tatoo17	Mask of Menace Tatoo	a	the	Mask of Menace Tatoos		the	
_0000000000000000	fy_hof_tatoo18	Ominous Elegance Tatoo	an	the	Ominous Elegance Tatoos		the	
_0000000000000000	fy_hof_tatoo19	Lifton Cheek Highlights Tatoo	a	the	Lifton Cheek Highlights Tatoos		the	
_0000000000000000	fy_hof_tatoo20	Madding Mascara Tatoo	a	the	Madding Mascara Tatoos		the	
_0000000000000000	fy_hof_tatoo21	Watching Wings Tatoo	a	the	Watching Wings Tatoos		the	
_0000000000000000	fy_hof_tatoo22	Mascara Mask Tatoo	a	the	Mascara Mask Tatoos		the	
_0000000000000000	fy_hof_tatoo23	Pyph Crown Flecks Tatoo	a	the	Pyph Crown Flecks Tatoos		the	
_0000000000000000	fy_hof_tatoo24	Spearing Mascara Tatoo	a	the	Spearing Mascara Tatoos		the	
_0000000000000000	fy_hof_tatoo25	Fina Crown Flecks Tatoo	a	the	Fina Crown Flecks Tatoos		the	
_0000000000000000	fy_hof_tatoo26	Spearing Shadow Tatoo	a	the	Spearing Shadow Tatoos		the	
_0000000000000000	fy_hof_tatoo27	Crown Flecks and Shadow Tatoo	a	the	Crown Flecks and Shadow Tatoos		the	
_0000000000000000	fy_hof_tatoo28	Sandy Face Tatoo	a	the	Sandy Face Tatoos		the	
_0000000000000000	fy_hof_tatoo29	Floryx Crown Flecks Tatoo	a	the	Floryx Crown Flecks Tatoos		the	
_0000000000000000	fy_hof_tatoo30	Shadow Flecks Tatoo	a	the	Shadow Flecks Tatoos		the	
_0000000000000000	fy_hof_tatoo31	Shadow Ripples Tatoo	a	the	Shadow Ripples Tatoos		the	
_0000000000000000	fy_hof_tatoo32	Starry Shadow Tatoo	a	the	Starry Shadow Tatoos		the	
_0000000000000000	fy_hof_tatoo33	Starry Tatoo	a	the	Starry Tatoos		the	
_0000000000000000	fy_hof_tatoo34	Flaming Eyes Tatoo	a	the	Flaming Eyes Tatoos		the	
_0000000000000000	fy_hof_tatoo35	Tithon Streak Tatoo	a	the	Tithon Streak Tatoos		the	
_0000000000000000	fy_hof_tatoo36	Continuity Streaks Tatoo	a	the	Continuity Streaks Tatoos		the	
_0000000000000000	fy_hof_tatoo37	Elegant Streaks Tatoo	an	the	Elegant Streaks Tatoos		the	
_0000000000000000	fy_hof_tatoo38	Styled Flanks Tatoo	a	the	Styled Flanks Tatoos		the	
_0000000000000000	fy_hof_tatoo39	Lifton Streaks Tatoo	a	the	Lifton Streaks Tatoos		the	
_0000000000000000	fy_hof_tatoo40	Lifton Blue Tatoo	a	the	Lifton Blue Tatoos		the	
_0000000000000000	fy_hof_tatoo41	Wings and Sreaks Tatoo	a	the	Wings and Sreaks Tatoos		the	
_0000000000000000	fy_hof_tatoo42	Think Blink Tatoo	a	the	Think Blink Tatoos		the	
_0000000000000000	fy_hof_tatoo43	Tyloth Patch Tatoo	a	the	Tyloth Patch Tatoos		the	
_0000000000000000	fy_hof_tatoo44	War Triangles Tatoo	a	the	War Triangles Tatoos		the	
_0000000000000000	fy_hof_tatoo45	Flepos Streaks Tatoo	a	the	Flepos Streaks Tatoos		the	
_0000000000000000	fy_hof_tatoo46	Hyte Streaks Tatoo	a	the	Hyte Streaks Tatoos		the	
_0000000000000000	fy_hof_tatoo47	Shadow Brow Tatoo	a	the	Shadow Brow Tatoos		the	
_0000000000000000	fy_hof_tatoo48	High Serenity Tatoo	a	the	High Serenity Tatoos		the	
_0000000000000000	fy_hof_tatoo49	Dragon Wings Tatoo	a	the	Dragon Wings Tatoos		the	
_0000000000000000	fy_hof_tatoo50	Wavy Eyelines Tatoo	a	the	Wavy Eyelines Tatoos		the	
_0000000000000000	fy_hof_tatoo51	Avenger Dabs Tatoo	an	the	Avenger Dabs Tatoos		the	
_0000000000000000	fy_hof_tatoo52	Eye Tabs Tatoo	an	the	Eye Tabs Tatoos		the	
_0000000000000000	fy_hof_tatoo53	Thick Flecks Tatoo	a	the	Thick Flecks Tatoos		the	
_0000000000000000	fy_hof_tatoo54	Munshia Bridge Tatoo	a	the	Munshia Bridge Tatoos		the	
_0000000000000000	fy_hof_tatoo55	Thunder Eyes Tatoo	a	the	Thunder Eyes Tatoos		the	
_0000000000000000	fy_hof_tatoo56	Spearing Sands Tatoo	a	the	Spearing Sands Tatoos		the	
