DIFF_CMD	*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
DIFF SWAP 403 30									
DIFF CHANGED 30 	_9331326A3B23E68B	heavy_package	Heavy package	a	the	Heavy packages		the	
DIFF SWAP 535 31									
DIFF CHANGED 31 	_DBB8348E5856807B	iccm1bm	Mace	a	the	Maces		the	
DIFF SWAP 536 32									
DIFF CHANGED 32 	_65E88895232AEB65	iccm1bs	Staff	a	the	Staffs		the	
DIFF SWAP 537 33									
DIFF CHANGED 33 	_E718DCA3538A686D	iccm1pd	Dagger	a	the	Daggers		the	
DIFF SWAP 538 34									
DIFF CHANGED 34 	_6488707B620B2364	iccm1ps	Lance	a	the	Lances		the	
DIFF SWAP 539 35									
DIFF CHANGED 35 	_EACAB3B39EB6E83F	iccm1sa	Axe	a	the	Axes		the	
DIFF SWAP 540 36									
DIFF CHANGED 36 	_E889CC98233B2F63	iccm1ss	Sword	a	the	Swords		the	
DIFF SWAP 541 37									
DIFF CHANGED 37 	_94484CBE5F399830	iccm2bm	Long Mace	a	the	Long Maces		the	
DIFF SWAP 545 38									
DIFF CHANGED 38 	_1BB8749EDCB8C48A	iccm2pp	Pike	a	the	Pikes		the	
DIFF SWAP 546 39									
DIFF CHANGED 39 	_5258C88DCD380856	iccm2sa	Long Axe	a	the	Long Axes		the	
DIFF SWAP 547 40									
DIFF CHANGED 40 	_5A7EEC172669A459	iccm2ss	Long Sword	a	the	Long Swords		the	
DIFF SWAP 548 41									
DIFF CHANGED 41 	_436DBB1E358B5F58	iccp1bb	Bowpistol Blunting Ammo	a	the	Bowpistol Blunting Ammo		the	
DIFF SWAP 549 42									
DIFF CHANGED 42 	_3F3DF30D366B0F6A	iccp1bp	Bowpistol Piercing Ammo	a	the	Bowpistol Piercing Ammo		the	
DIFF SWAP 550 43									
DIFF CHANGED 43 	_3E6DFF12765B2F6E	iccp1bs	Bowpistol Slashing Ammo	a	the	Bowpistol Slashing Ammo		the	
DIFF SWAP 551 44									
DIFF CHANGED 44 	_FD5B2B31FCE6C3A3	iccp1gb	Grenade Blunting Ammo	a	the	Grenade Blunting Ammo		the	
DIFF SWAP 552 45									
DIFF CHANGED 45 	_B99BDF3C80C7C392	iccp1gp	Grenade Piercing Ammo	a	the	Grenade Piercing Ammo		the	
DIFF SWAP 553 46									
DIFF CHANGED 46 	_3B6BDB4240F7C397	iccp1gs	Grenade Slashing Ammo	a	the	Grenade Slashing Ammo		the	
DIFF SWAP 554 47									
DIFF CHANGED 47 	_FB3E03FFFEC831C1	iccp1pb	Pistol Blunting Ammo	a	the	Pistol Blunting Ammo		the	
DIFF SWAP 555 48									
DIFF CHANGED 48 	_FB1C23DF7C6B31C1	iccp1pp	Pistol Piercing Ammo	a	the	Pistol Piercing Ammo		the	
DIFF SWAP 556 49									
DIFF CHANGED 49 	_FBBC2BD7FEFB31C1	iccp1ps	Pistol Slashing Ammo	a	the	Pistol Slashing Ammo		the	
DIFF SWAP 557 50									
DIFF CHANGED 50 	_FABC80E00B5310AA	iccp2ab	Autolauncher Blunting Ammo	a	the	Autolauncher Blunting Ammo		the	
DIFF SWAP 558 51									
DIFF CHANGED 51 	_399D80CF0C2214A8	iccp2ap	Autolauncher Piercing Ammo	a	the	Autolauncher Piercing Ammo		the	
DIFF SWAP 559 52									
DIFF CHANGED 52 	_FACD80D44C6224A7	iccp2as	Autolauncher Slashing Ammo	a	the	Autolauncher Slashing Ammo		the	
DIFF SWAP 560 53									
DIFF CHANGED 53 	_B4A6DBDA1D4C77CF	iccp2bb	Bowrifle Blunting Ammo	a	the	Bowrifle Blunting Ammo		the	
DIFF SWAP 561 54									
DIFF CHANGED 54 	_F486CFE81D1C87AE	iccp2bp	Bowrifle Piercing Ammo	a	the	Bowrifle Piercing Ammo		the	
DIFF SWAP 562 55									
DIFF CHANGED 55 	_F576DBEB1D9C8BAF	iccp2bs	Bowrifle Slashing Ammo	a	the	Bowrifle Slashing Ammo		the	
DIFF SWAP 563 56									
DIFF CHANGED 56 	_B285FBD9DE3D6BCD	iccp2lb	Launcher Blunting Ammo	a	the	Launcher Blunting Ammo		the	
DIFF SWAP 564 57									
DIFF CHANGED 57 	_F265EFE7DE0D7BAC	iccp2lp	Launcher Piercing Ammo	a	the	Launcher Piercing Ammo		the	
DIFF SWAP 565 58									
DIFF CHANGED 58 	_F355FBEADE8D7FAD	iccp2ls	Launcher Slashing Ammo	a	the	Launcher Slashing Ammo		the	
DIFF SWAP 566 59									
DIFF CHANGED 59 	_676ADBF69C529D83	iccp2rb	Rifle Blunting Ammo	a	the	Rifle Blunting Ammo		the	
DIFF SWAP 567 60									
DIFF CHANGED 60 	_676A97E99902C991	iccp2rp	Rifle Piercing Ammo	a	the	Rifle Piercing Ammo		the	
DIFF SWAP 568 61									
DIFF CHANGED 61 	_676AABEFD822E194	iccp2rs	Rifle Slashing Ammo	a	the	Rifle Slashing Ammo		the	
DIFF SWAP 569 62									
DIFF CHANGED 62 	_2318C0C7E677F487	iccr1b	Bowpistol	a	the	Bowpistols		the	
DIFF SWAP 570 63									
DIFF CHANGED 63 	_ACF99894ECD50C64	iccr1p	Pistol	a	the	Pistols		the	
DIFF SWAP 571 64									
DIFF CHANGED 64 	_860F991BEE9421EC	iccr2a	Autolauncher	a	the	Autolaunchers		the	
DIFF SWAP 572 65									
DIFF CHANGED 65 	_2D2780B469667C7D	iccr2b	Bowrifle	a	the	Bowrifles		the	
DIFF SWAP 573 66									
DIFF CHANGED 66 	_2B67A4AB67A6C874	iccr2l	Launcher	a	the	Launchers		the	
DIFF SWAP 574 67									
DIFF CHANGED 67 	_E98864A1A126044B	iccr2r	Rifle	a	the	Rifles		the	
DIFF SWAP 575 68									
DIFF CHANGED 68 	_AC18B48AA53BFC92	iccsb	Buckler	a	the	Bucklers		the	
DIFF SWAP 576 69									
DIFF CHANGED 69 	_2708889B625888BE	iccss	Shield	a	the	Shields		the	
DIFF SWAP 592 70									
DIFF CHANGED 70 	_00B44957BFFF3E82	icfahb	Fyros Heavy Boots	a	the	Fyros Heavy Boots		the	
DIFF SWAP 596 71									
DIFF CHANGED 71 	_CA11CCD4D4D5962B	icfahg	Fyros Heavy Gloves	a	the	Fyros Heavy Gloves		the	
DIFF SWAP 599 72									
DIFF CHANGED 72 	_C6F145D818C57A28	icfahh	Fyros Heavy Helmet	a	the	Fyros Heavy Helmets		the	
DIFF SWAP 602 73									
DIFF CHANGED 73 	_7D95454943FF7681	icfahp	Fyros Heavy Pants	a	the	Fyros Heavy Pants		the	
DIFF SWAP 606 74									
DIFF CHANGED 74 	_00370ACA2A356E44	icfahs	Fyros Heavy Sleeves	a	the	Fyros Heavy Sleeves		the	
DIFF SWAP 610 75									
DIFF CHANGED 75 	_D1B3C577792C1176	icfahv	Fyros Heavy Vest	a	the	Fyros Heavy Vests		the	
DIFF SWAP 614 76									
DIFF CHANGED 76 	_81F459523C5F3A7C	icfalb	Fyros Light Boots	a	the	Fyros Light Boots		the	
DIFF SWAP 617 77									
DIFF CHANGED 77 	_CB51CCCF51E56E39	icfalg	Fyros Light Gloves	a	the	Fyros Light Gloves		the	
DIFF SWAP 620 78									
DIFF CHANGED 78 	_FED55544C05F727B	icfalp	Fyros Light Pants	a	the	Fyros Light Pants		the	
DIFF SWAP 623 79									
DIFF CHANGED 79 	_01370AC566B49650	icfals	Fyros Light Sleeves	a	the	Fyros Light Sleeves		the	
DIFF SWAP 626 80									
DIFF CHANGED 80 	_4E13D576F68C2179	icfalv	Fyros Light Vest	a	the	Fyros Light Vests		the	
DIFF SWAP 629 81									
DIFF CHANGED 81 	_7DEF59A9E4B63247	icfamb	Fyros Medium Boots	a	the	Fyros Medium Boots		the	
DIFF SWAP 632 82									
DIFF CHANGED 82 	_B9B27213E694725F	icfamg	Fyros Medium Gloves	a	the	Fyros Medium Gloves		the	
DIFF SWAP 635 83									
DIFF CHANGED 83 	_C10F91A9E4B66639	icfamp	Fyros Medium Pants	a	the	Fyros Medium Pants		the	
DIFF SWAP 638 84									
DIFF CHANGED 84 	_47350B01AA00B6AC	icfams	Fyros Medium Sleeves	a	the	Fyros Medium Sleeves		the	
DIFF SWAP 641 85									
DIFF CHANGED 85 	_BC826A3A4D43AA74	icfamv	Fyros Medium Vest	a	the	Fyros Medium Vests		the	
DIFF SWAP 646 86									
DIFF CHANGED 86 	_6EF8792FEABA8C07	icfja	Fyros Anklet	a	the	Fyros Anklets		the	
DIFF SWAP 649 87									
DIFF CHANGED 87 	_B76B4D85F89115DC	icfjb	Fyros Bracelet	a	the	Fyros Bracelets		the	
DIFF SWAP 652 88									
DIFF CHANGED 88 	_F0F87921EABA3C00	icfjd	Fyros Diadem	a	the	Fyros Diadems		the	
DIFF SWAP 655 89									
DIFF CHANGED 89 	_EC2B6D21F09F9DE7	icfje	Fyros Earring	a	the	Fyros Earrings		the	
DIFF SWAP 658 90									
DIFF CHANGED 90 	_AFFCA1196B7D9D01	icfjp	Fyros Pendant	a	the	Fyros Pendants		the	
DIFF SWAP 661 91									
DIFF CHANGED 91 	_5A5444D1EA4A68BB	icfjr	Fyros Ring	a	the	Fyros Rings		the	
DIFF SWAP 664 92									
DIFF CHANGED 92 	_A4FB492AE1D96417	icfm1bm	Fyros Mace	a	the	Fyros Maces		the	
DIFF SWAP 667 93									
DIFF CHANGED 93 	_76F07920E0F83C71	icfm1bs	Fyros Staff	a	the	Fyros Staffs		the	
DIFF SWAP 670 94									
DIFF CHANGED 94 	_47A04929D41E2559	icfm1pd	Fyros Dagger	a	the	Fyros Daggers		the	
DIFF SWAP 673 95									
DIFF CHANGED 95 	_76F0751C62970C6A	icfm1ps	Fyros Lance	a	the	Fyros Lances		the	
DIFF SWAP 676 96									
DIFF CHANGED 96 	_AEF6A71BDF0B84FC	icfm1sa	Fyros Axe	a	the	Fyros Axes		the	
DIFF SWAP 677 97									
DIFF CHANGED 97 	_C500A1D980E459E4	icfm1sab	Burning Axe	a	the	Burning Axes		the	
DIFF SWAP 680 98									
DIFF CHANGED 98 	_76F0712A66088C71	icfm1ss	Fyros Sword	a	the	Fyros Swords		the	
DIFF SWAP 683 99									
DIFF CHANGED 99 	_E0C1F562292F41AC	icfm2bm	Fyros Long Mace	a	the	Fyros Long Maces		the	
DIFF SWAP 689 100									
DIFF CHANGED 100 	_65FB492AE38AC820	icfm2pp	Fyros Pike	a	the	Fyros Pikes		the	
DIFF SWAP 692 101									
DIFF CHANGED 101 	_F9D3499135AB3167	icfm2sa	Fyros Long Axe	a	the	Fyros Long Axes		the	
DIFF SWAP 693 102									
DIFF CHANGED 102 	_89F6AEE1C6A6EEBC	icfm2sab	Burning Long Axe	a	the	Burning Long Axes		the	
DIFF SWAP 696 103									
DIFF CHANGED 103 	_1C23714C3DF4B115	icfm2ss	Fyros Long Sword	a	the	Fyros Long Swords		the	
DIFF SWAP 697 104									
DIFF CHANGED 104 	_B4A7D7BCCC33A501	icfm2ssb	Burning Long Sword	a	the	Burning Long Swords		the	
DIFF SWAP 700 105									
DIFF CHANGED 105 	_BA39E11E74708054	icfp1bb	Fyros Bowpistol Blunting Ammo	a	the	Fyros Bowpistol Blunting Ammo		the	
DIFF SWAP 701 106									
DIFF CHANGED 106 	_76799529F8518043	icfp1bp	Fyros Bowpistol Piercing Ammo	a	the	Fyros Bowpistol Piercing Ammo		the	
DIFF SWAP 702 107									
DIFF CHANGED 107 	_F849912FB8818048	icfp1bs	Fyros Bowpistol Slashing Ammo	a	the	Fyros Bowpistol Slashing Ammo		the	
DIFF SWAP 703 108									
DIFF CHANGED 108 	_4B472DE1910E57E9	icfp1gb	Fyros Grenade Blunting Ammo	a	the	Fyros Grenade Blunting Ammo		the	
DIFF SWAP 704 109									
DIFF CHANGED 109 	_4B47E9D48EBE83F7	icfp1gp	Fyros Grenade Piercing Ammo	a	the	Fyros Grenade Piercing Ammo		the	
DIFF SWAP 705 110									
DIFF CHANGED 110 	_4B47FDDACDDE9BFA	icfp1gs	Fyros Grenade Slashing Ammo	a	the	Fyros Grenade Slashing Ammo		the	
DIFF SWAP 706 111									
DIFF CHANGED 111 	_7277BCEA51040C63	icfp1pb	Fyros Pistol Blunting Ammo	a	the	Fyros Pistol Blunting Ammo		the	
DIFF SWAP 707 112									
DIFF CHANGED 112 	_B158BCD952D31061	icfp1pp	Fyros Pistol Piercing Ammo	a	the	Fyros Pistol Piercing Ammo		the	
DIFF SWAP 708 113									
DIFF CHANGED 113 	_7288BCDE92132060	icfp1ps	Fyros Pistol Slashing Ammo	a	the	Fyros Pistol Slashing Ammo		the	
DIFF SWAP 709 114									
DIFF CHANGED 114 	_3E08C5155D72B1D2	icfp2ab	Fyros Autolauncher Blunting Ammo	a	the	Fyros Autolauncher Blunting Ammo		the	
DIFF SWAP 710 115									
DIFF CHANGED 115 	_7DD8D5059C23C1C2	icfp2ap	Fyros Autolauncher Piercing Ammo	a	the	Fyros Autolauncher Piercing Ammo		the	
DIFF SWAP 711 116									
DIFF CHANGED 116 	_3E58D9015DD3C5BE	icfp2as	Fyros Autolauncher Slashing Ammo	a	the	Fyros Autolauncher Slashing Ammo		the	
DIFF SWAP 712 117									
DIFF CHANGED 117 	_33984503B2B40BF4	icfp2bb	Fyros Bowrifle Blunting Ammo	a	the	Fyros Bowrifle Blunting Ammo		the	
DIFF SWAP 713 118									
DIFF CHANGED 118 	_337665E330570BF4	icfp2bp	Fyros Bowrifle Piercing Ammo	a	the	Fyros Bowrifle Piercing Ammo		the	
DIFF SWAP 714 119									
DIFF CHANGED 119 	_33166DDBB2E70BF4	icfp2bs	Fyros Bowrifle Slashing Ammo	a	the	Fyros Bowrifle Slashing Ammo		the	
DIFF SWAP 715 120									
DIFF CHANGED 120 	_AFD815FBB2F4830E	icfp2lb	Fyros Launcher Blunting Ammo	a	the	Fyros Launcher Blunting Ammo		the	
DIFF SWAP 716 121									
DIFF CHANGED 121 	_AFB635DB3097830E	icfp2lp	Fyros Launcher Piercing Ammo	a	the	Fyros Launcher Piercing Ammo		the	
DIFF SWAP 717 122									
DIFF CHANGED 122 	_AF563DD3B227830E	icfp2ls	Fyros Launcher Slashing Ammo	a	the	Fyros Launcher Slashing Ammo		the	
DIFF SWAP 718 123									
DIFF CHANGED 123 	_39ACABED3761A88E	icfp2rb	Fyros Rifle Blunting Ammo	a	the	Fyros Rifle Blunting Ammo		the	
DIFF SWAP 719 124									
DIFF CHANGED 124 	_BEAB9FFBF283687A	icfp2rp	Fyros Rifle Piercing Ammo	a	the	Fyros Rifle Piercing Ammo		the	
DIFF SWAP 720 125									
DIFF CHANGED 125 	_BE6BABFE34C35882	icfp2rs	Fyros Rifle Slashing Ammo	a	the	Fyros Rifle Slashing Ammo		the	
DIFF SWAP 721 126									
DIFF CHANGED 126 	_CE08DE8B3F1A69C1	icfr1b	Fyros Bowpistol	a	the	Fyros Bowpistols		the	
DIFF SWAP 724 127									
DIFF CHANGED 127 	_E621692BF63635A1	icfr1p	Fyros Pistol	a	the	Fyros Pistols		the	
DIFF SWAP 727 128									
DIFF CHANGED 128 	_0FC46EF8252566F5	icfr2a	Fyros Autolauncher	a	the	Fyros Autolaunchers		the	
DIFF SWAP 731 129									
DIFF CHANGED 129 	_712026694BBC2CB4	icfr2b	Fyros Bowrifle	a	the	Fyros Bowrifles		the	
DIFF SWAP 734 130									
DIFF CHANGED 130 	_35501E61C73C50B7	icfr2l	Fyros Launcher	a	the	Fyros Launchers		the	
DIFF SWAP 738 131									
DIFF CHANGED 131 	_AB6C6D226E272052	icfr2r	Fyros Rifle	a	the	Fyros Rifles		the	
DIFF SWAP 741 132									
DIFF CHANGED 132 	_6DDC751BEF3DB1F5	icfsb	Fyros Buckler	a	the	Fyros Bucklers		the	
DIFF SWAP 745 133									
DIFF CHANGED 133 	_B8F8790F6EDA7C0D	icfss	Fyros Shield	a	the	Fyros Shields		the	
DIFF SWAP 769 134									
DIFF CHANGED 134 	_C2243159B90F466A	icmahb	Matis Heavy Boots	a	the	Matis Heavy Boots		the	
DIFF SWAP 773 135									
DIFF CHANGED 135 	_CA81B4D64D653632	icmahg	Matis Heavy Gloves	a	the	Matis Heavy Gloves		the	
DIFF SWAP 776 136									
DIFF CHANGED 136 	_C66198D78E651A2F	icmahh	Matis Heavy Helmet	a	the	Matis Heavy Helmet		the	
DIFF SWAP 779 137									
DIFF CHANGED 137 	_3F052D4B3D0F7E69	icmahp	Matis Heavy Pants	a	the	Matis Heavy Pants		the	
DIFF SWAP 783 138									
DIFF CHANGED 138 	_00A7F2C6A5248A44	icmahs	Matis Heavy Sleeves	a	the	Matis Heavy Sleeves		the	
DIFF SWAP 787 139									
DIFF CHANGED 139 	_CB93AD79739CF978	icmahv	Matis Heavy Vest	a	the	Matis Heavy Vests		the	
DIFF SWAP 791 140									
DIFF CHANGED 140 	_43644154366F4264	icmalb	Matis Light Boots	a	the	Matis Light Boots		the	
DIFF SWAP 794 141									
DIFF CHANGED 141 	_CBC1B4D1CA750E40	icmalg	Matis Light Gloves	a	the	Matis Light Gloves		the	
DIFF SWAP 797 142									
DIFF CHANGED 142 	_C0453D46BA6F7A63	icmalp	Matis Light Pants	a	the	Matis Light Pants		the	
DIFF SWAP 800 143									
DIFF CHANGED 143 	_01A7F2C1E1A3B250	icmals	Matis Light Sleeves	a	the	Matis Light Sleeves		the	
DIFF SWAP 803 144									
DIFF CHANGED 144 	_48F3BD78F0FC097B	icmalv	Matis Light Vest	a	the	Matis Light Vests		the	
DIFF SWAP 806 145									
DIFF CHANGED 145 	_7D5F41AB5D46D24E	icmamb	Matis Medium Boots	a	the	Matis Medium Boots		the	
DIFF SWAP 809 146									
DIFF CHANGED 146 	_B9225A0F61838E5F	icmamg	Matis Medium Gloves	a	the	Matis Medium Gloves		the	
DIFF SWAP 812 147									
DIFF CHANGED 147 	_C17F79AB5D460640	icmamp	Matis Medium Pants	a	the	Matis Medium Pants		the	
DIFF SWAP 815 148									
DIFF CHANGED 148 	_47A5DB059EE0B6AC	icmams	Matis Medium Sleeves	a	the	Matis Medium Sleeves		the	
DIFF SWAP 818 149									
DIFF CHANGED 149 	_7EF2523C4753B25C	icmamv	Matis Medium Vest	a	the	Matis Medium Vests		the	
DIFF SWAP 823 150									
DIFF CHANGED 150 	_6E687923ECB8C407	icmja	Matis Anklet	a	the	Matis Anklets		the	
DIFF SWAP 826 151									
DIFF CHANGED 151 	_B77B55673B1031DC	icmjb	Matis Bracelet	a	the	Matis Bracelets		the	
DIFF SWAP 829 152									
DIFF CHANGED 152 	_F0687915ECB87400	icmjd	Matis Diadem	a	the	Matis Diadems		the	
DIFF SWAP 832 153									
DIFF CHANGED 153 	_EC9B551D6B8EB9E7	icmje	Matis Earring	a	the	Matis Earrings		the	
DIFF SWAP 835 154									
DIFF CHANGED 154 	_AF6C8915E66CB901	icmjp	Matis Pendant	a	the	Matis Pendants		the	
DIFF SWAP 838 155									
DIFF CHANGED 155 	_1CC444CB6B698CA3	icmjr	Matis Ring	a	the	Matis Rings		the	
DIFF SWAP 841 156									
DIFF CHANGED 156 	_A40B510C24588017	icmm1bm	Matis Mace	a	the	Matis Maces		the	
DIFF SWAP 844 157									
DIFF CHANGED 157 	_7600690A9C683C71	icmm1bs	Matis Staff	a	the	Matis Staffs		the	
DIFF SWAP 847 158									
DIFF CHANGED 158 	_475059F9581E2559	icmm1pd	Matis Dagger	a	the	Matis Daggers		the	
DIFF SWAP 851 159									
DIFF CHANGED 159 	_760065061E070C6A	icmm1ps	Matis Lance	a	the	Matis Lances		the	
DIFF SWAP 855 160									
DIFF CHANGED 160 	_AE06AF03202B2403	icmm1sa	Matis Axe	a	the	Matis Axes		the	
DIFF SWAP 858 161									
DIFF CHANGED 161 	_7600611422788C71	icmm1ss	Matis Sword	a	the	Matis Swords		the	
DIFF SWAP 861 162									
DIFF CHANGED 162 	_DA41FD4AEB2F29AE	icmm2bm	Matis Long Mace	a	the	Matis Long Maces		the	
DIFF SWAP 867 163									
DIFF CHANGED 163 	_650B510C2609E420	icmm2pp	Matis Pike	a	the	Matis Pikes		the	
DIFF SWAP 871 164									
DIFF CHANGED 164 	_7A626D79F7AB3161	icmm2sa	Matis Long Axe	a	the	Matis Long Axes		the	
DIFF SWAP 874 165									
DIFF CHANGED 165 	_DE337934FF94B9FD	icmm2ss	Matis Long Sword	a	the	Matis Long Swords		the	
DIFF SWAP 878 166									
DIFF CHANGED 166 	_3969890D36708054	icmp1bb	Matis Bowpistol Blunting Ammo	a	the	Matis Bowpistol Blunting Ammo		the	
DIFF SWAP 879 167									
DIFF CHANGED 167 	_F5A93D18BA518043	icmp1bp	Matis Bowpistol Piercing Ammo	a	the	Matis Bowpistol Piercing Ammo		the	
DIFF SWAP 880 168									
DIFF CHANGED 168 	_7779391E7A818048	icmp1bs	Matis Bowpistol Slashing Ammo	a	the	Matis Bowpistol Slashing Ammo		the	
DIFF SWAP 881 169									
DIFF CHANGED 169 	_4B571DCB4D7E57E9	icmp1gb	Matis Grenade Blunting Ammo	a	the	Matis Grenade Blunting Ammo		the	
DIFF SWAP 882 170									
DIFF CHANGED 170 	_4B57D9BE4A2E83F7	icmp1gp	Matis Grenade Piercing Ammo	a	the	Matis Grenade Piercing Ammo		the	
DIFF SWAP 883 171									
DIFF CHANGED 171 	_4B57EDC4894E9BFA	icmp1gs	Matis Grenade Slashing Ammo	a	the	Matis Grenade Slashing Ammo		the	
DIFF SWAP 884 172									
DIFF CHANGED 172 	_7287C4CC94832863	icmp1pb	Matis Pistol Blunting Ammo	a	the	Matis Pistol Blunting Ammo		the	
DIFF SWAP 885 173									
DIFF CHANGED 173 	_B168C4BB95522C61	icmp1pp	Matis Pistol Piercing Ammo	a	the	Matis Pistol Piercing Ammo		the	
DIFF SWAP 886 174									
DIFF CHANGED 174 	_7298C4C0D5923C60	icmp1ps	Matis Pistol Slashing Ammo	a	the	Matis Pistol Slashing Ammo		the	
DIFF SWAP 887 175									
DIFF CHANGED 175 	_0018CDFD1F12B9BA	icmp2ab	Matis Autolauncher Blunting Ammo	a	the	Matis Autolauncher Blunting Ammo		the	
DIFF SWAP 888 176									
DIFF CHANGED 176 	_3FE8DDED5EC3C9AA	icmp2ap	Matis Autolauncher Piercing Ammo	a	the	Matis Autolauncher Piercing Ammo		the	
DIFF SWAP 889 177									
DIFF CHANGED 177 	_0068E1E91F73CDA6	icmp2as	Matis Autolauncher Slashing Ammo	a	the	Matis Autolauncher Slashing Ammo		the	
DIFF SWAP 890 178									
DIFF CHANGED 178 	_334855D336B40BF4	icmp2bb	Matis Bowrifle Blunting Ammo	a	the	Matis Bowrifle Blunting Ammo		the	
DIFF SWAP 891 179									
DIFF CHANGED 179 	_332675B3B4570BF4	icmp2bp	Matis Bowrifle Piercing Ammo	a	the	Matis Bowrifle Piercing Ammo		the	
DIFF SWAP 892 180									
DIFF CHANGED 180 	_33C67DAB36E70BF4	icmp2bs	Matis Bowrifle Slashing Ammo	a	the	Matis Bowrifle Slashing Ammo		the	
DIFF SWAP 893 181									
DIFF CHANGED 181 	_AF8825CB36F4830E	icmp2lb	Matis Launcher Blunting Ammo	a	the	Matis Launcher Blunting Ammo		the	
DIFF SWAP 894 182									
DIFF CHANGED 182 	_AF6645ABB497830E	icmp2lp	Matis Launcher Piercing Ammo	a	the	Matis Launcher Piercing Ammo		the	
DIFF SWAP 895 183									
DIFF CHANGED 183 	_AF064DA33627830E	icmp2ls	Matis Launcher Slashing Ammo	a	the	Matis Launcher Slashing Ammo		the	
DIFF SWAP 896 184									
