*HASH_VALUE	creature ID	name	ia	da	p	pia	pda		
_-	cabde4	Attacking Prakker	an	the			Attacking Prakkers		the
_-	cabdf1	Terryfying Prakker	a	the			Terryfying Prakkers		the
_-	cabdf2	Atrocious Prakker	an	the			Atrocious Prakkers		the
_-	cabdf3	Sinister Prakker	a	the			Sinister Prakkers		the
_-	cabfa1	Little Prakker	a	the			Little Prakkers		the
_-	cabfa2	Primitive Prakker	a	the			Primitive Prakkers		the
_-	cabfa3	Appeased Prakker	an	the			Appeased Prakkers		the
_-	cabfa4	Rapid Prakker	a	the			Rapid Prakkers		the
_-	cabfb1	Slimy Prakker	a	the			Slimy Prakkers		the
_-	cabfb2	Common Prakker	a	the			Common Prakkers		the
_-	cabfb3	Feeding Prakker	a	the			Feeding Prakkers		the
_-	cabfb4	Adult Prakker	a	the			Adult Prakkers		the
_-	cabfc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
_-	cabfc2	Defensive Prakker	a	the			Defensive Prakkers		the
_-	cabfc3	Scouring Prakker	a	the			Scouring Prakkers		the
_-	cabfd1	Lurking Prakker	a	the			Lurking Prakkers		the
_-	cabfd2	Prowling Prakker	a	the			Prowling Prakkers		the
_-	cabfd3	Enraged Prakker	an	the			Enraged Prakkers		the
_-	cabfd4	Wild Prakker	a	the			Wild Prakkers		the
_-	cabfe1	Humongous Prakker	a	the			Humongous Prakkers		the
_-	cabfe2	Ravenous Prakker	a	the			Ravenous Prakkers		the
_-	cabfe3	Mean Prakker	a	the			Mean Prakkers		the
_-	cabfe4	Attacking Prakker	an	the			Attacking Prakkers		the
_-	cabff1	Terryfying Prakker	a	the			Terryfying Prakkers		the
_-	cabff2	Atrocious Prakker	an	the			Atrocious Prakkers		the
_-	cabff3	Sinister Prakker	a	the			Sinister Prakkers		the
_-	cabja1	Little Prakker	a	the			Little Prakkers		the
_-	cabja2	Primitive Prakker	a	the			Primitive Prakkers		the
_-	cabja3	Appeased Prakker	an	the			Appeased Prakkers		the
_-	cabja4	Rapid Prakker	a	the			Rapid Prakkers		the
_-	cabjb1	Slimy Prakker	a	the			Slimy Prakkers		the
_-	cabjb2	Common Prakker	a	the			Common Prakkers		the
_-	cabjb3	Feeding Prakker	a	the			Feeding Prakkers		the
_-	cabjb4	Adult Prakker	a	the			Adult Prakkers		the
_-	cabjc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
_-	cabjc2	Defensive Prakker	a	the			Defensive Prakkers		the
_-	cabjc3	Scouring Prakker	a	the			Scouring Prakkers		the
_-	cabjc4	Chilling Prakker	a	the			Chilling Prakkers		the
_-	cabjd1	Lurking Prakker	a	the			Lurking Prakkers		the
_-	cabjd2	Prowling Prakker	a	the			Prowling Prakkers		the
_-	cabjd3	Enraged Prakker	an	the			Enraged Prakkers		the
_-	cabjd4	Wild Prakker	a	the			Wild Prakkers		the
_-	cabje1	Humongous Prakker	a	the			Humongous Prakkers		the
_-	cabje2	Ravenous Prakker	a	the			Ravenous Prakkers		the
_-	cabje3	Mean Prakker	a	the			Mean Prakkers		the
_-	cabje4	Attacking Prakker	an	the			Attacking Prakkers		the
_-	cabjf1	Terryfying Prakker	a	the			Terryfying Prakkers		the
_-	cabjf2	Atrocious Prakker	an	the			Atrocious Prakkers		the
_-	cabjf3	Sinister Prakker	a	the			Sinister Prakkers		the
_-	cabla1	Little Prakker	a	the			Little Prakkers		the
_-	cabla2	Primitive Prakker	a	the			Primitive Prakkers		the
_-	cabla3	Appeased Prakker	an	the			Appeased Prakkers		the
_-	cabla4	Rapid Prakker	a	the			Rapid Prakkers		the
_-	cabpa1	Little Prakker	a	the			Little Prakkers		the
_-	cabpa2	Primitive Prakker	a	the			Primitive Prakkers		the
_-	cabpa3	Appeased Prakker	an	the			Appeased Prakkers		the
_-	cabpa4	Rapid Prakker	a	the			Rapid Prakkers		the
_-	cabpb1	Slimy Prakker	a	the			Slimy Prakkers		the
_-	cabpb2	Common Prakker	a	the			Common Prakkers		the
_-	cabpb3	Feeding Prakker	a	the			Feeding Prakkers		the
_-	cabpb4	Adult Prakker	a	the			Adult Prakkers		the
_-	cabpc1	Fully grown Prakker	a	the			Fully grown Prakkers		the
_-	cabpc2	Defensive Prakker	a	the			Defensive Prakkers		the
_-	cabpc3	Scouring Prakker	a	the			Scouring Prakkers		the
_-	cabpc4	Chilling Prakker	a	the			Chilling Prakkers		the
_-	cabpd1	Lurking Prakker	a	the			Lurking Prakkers		the
_-	cabpd2	Prowling Prakker	a	the			Prowling Prakkers		the
_-	cabpd3	Enraged Prakker	an	the			Enraged Prakkers		the
_-	cabpd4	Wild Prakker	a	the			Wild Prakkers		the
_-	cabpe1	Humongous Prakker	a	the			Humongous Prakkers		the
_-	cabpe2	Ravenous Prakker	a	the			Ravenous Prakkers		the
_-	cabpe3	Mean Prakker	a	the			Mean Prakkers		the
_-	cabpe4	Attacking Prakker	an	the			Attacking Prakkers		the
_-	cabpf1	Terryfying Prakker	a	the			Terryfying Prakkers		the
_-	cabpf2	Atrocious Prakker	an	the			Atrocious Prakkers		the
_-	cabpf3	Sinister Prakker	a	the			Sinister Prakkers		the
_-	CBACF4	Igara Mortel	un	l'	de l'	à l'	Igaras Mortels	des	les
_-	CBACF5	Dawil		le	du				
_-	cbada1	Fledgling Igara	a	the			Fledgling Igaras		the
_-	cbada2	Lesser Igara	a	the			Lesser Igaras		the
_-	cbada3	Gentle Igara	a	the			Gentle Igaras		the
_-	cbada4	Soaring Igara	a	the			Soaring Igaras		the
_-	cbadb1	Gorged Igara	a	the			Gorged Igaras		the
_-	cbadb2	Vulgar Igara	a	the			Vulgar Igaras		the
_-	cbadb3	Bloated Igara	a	the			Bloated Igaras		the
_-	cbadb4	Prime Igara	a	the			Prime Igaras		the
_-	cbadb7	Igaketh							
_-	cbadc1	Vigilant Igara	a	the			Vigilant Igaras		the
_-	cbadc2	Hungry Igara	a	the			Hungry Igaras		the
_-	cbadc3	Scavenging Igara	a	the			Scavenging Igaras		the
_-	cbadc4	Leering Igara	a	the			Leering Igaras		the
_-	cbadc7	Igaketh							
_-	cbadd1	Vicious Igara	a	the			Vicious Igaras		the
_-	cbadd2	Malignant Igara	a	the			Malignant Igaras		the
_-	cbadd3	Mocking Igara	a	the			Mocking Igaras		the
_-	cbadd4	Carrion Igara	a	the			Carrion Igaras		the
_-	cbadd7	Igaketh							
_-	cbade1	Tracker Igara	a	the			Tracker Igaras		the
_-	cbade2	Volatile Igara	a	the			Volatile Igaras		the
_-	cbade3	Frightening Igara	a	the			Frightening Igaras		the
_-	cbade4	Rapacious Igara	a	the			Rapacious Igaras		the
_-	cbade7	Igaketh							
_-	cbadf7	Igaketh							
_-	cbafb7	Igakin							
_-	cbafc7	Igakin							
_-	cbafd7	Igakin							
_-	cbafe7	Igakin							
_-	cbaff7	Igakin							
_-	cbaga1	Impure Igara	an	the			Impure Igaras		the
_-	cbaga2	Blighted Igara	a	the			Blighted Igaras		the
_-	cbaga3	Contaminated Igara	a	the			Contaminated Igaras		the
_-	cbaga4	Infected Igara	an	the			Infected Igaras		the
_-	cbagb1	Nauseous Igara	a	the			Nauseous Igaras		the
_-	cbagb2	Stinking Igara	a	the			Stinking Igaras		the
_-	cbagb3	Morbid Igara	a	the			Morbid Igaras		the
_-	cbagb4	Poisoned Igara	a	the			Poisoned Igaras		the
_-	cbagc1	Plagued Igara	a	the			Plagued Igaras		the
_-	cbagc2	Sickly  Igara	a	the			Sickly  Igaras		the
_-	cbagc3	Putrescent Igara	a	the			Putrescent Igaras		the
_-	cbagc4	Virulent Igara	a	the			Virulent Igaras		the
_-	cbagd1	Ravaged Igara	a	the			Ravaged Igaras		the
_-	cbagd2	Festering Igara	a	the			Festering Igaras		the
_-	cbagd3	Pestiferous Igara	a	the			Pestiferous Igaras		the
_-	cbagd4	Raving Igara	a	the			Raving Igaras		the
_-	cbage1	Pustulous Igara	a	the			Pustulous Igaras		the
_-	cbage2	Seeping Igara	a	the			Seeping Igaras		the
_-	cbage3	Foaming Igara	a	the			Foaming Igaras		the
_-	cbage4	Revolting Igara	a	the			Revolting Igaras		the
_-	cbagf1	Demented Igara	a	the			Demented Igaras		the
_-	cbagf2	Frenzied Igara	a	the			Frenzied Igaras		the
_-	cbagf3	Fiendish Igara	a	the			Fiendish Igaras		the
_-	cbagf4	Lethal Kazoar							the
_-	cbaja1	Fledgling Igara	a	the			Fledgling Igaras		the
_-	cbaja2	Lesser Igara	a	the			Lesser Igaras		the
_-	cbaja3	Gentle Igara	a	the			Gentle Igaras		the
_-	cbaja4	Soaring Igara	a	the			Soaring Igaras		the
_-	cbajb1	Gorged Igara	a	the			Gorged Igaras		the
_-	cbajb2	Vulgar Igara	a	the			Vulgar Igaras		the
_-	cbajb3	Bloated Igara	a	the			Bloated Igaras		the
_-	cbajb4	Prime Igara	a	the			Prime Igaras		the
_-	cbajb7	Igakya							
_-	cbajc1	Vigilant Igara	a	the			Vigilant Igaras		the
_-	cbajc2	Hungry Igara	a	the			Hungry Igaras		the
_-	cbajc3	Scavenging Igara	a	the			Scavenging Igaras		the
_-	cbajc4	Leering Igara	a	the			Leering Igaras		the
_-	cbajc7	Igakya							
_-	cbajd1	Vicious Igara	a	the			Vicious Igaras		the
_-	cbajd2	Malignant Igara	a	the			Malignant Igaras		the
_-	cbajd3	Mocking Igara	a	the			Mocking Igaras		the
_-	cbajd4	Carrion Igara	a	the			Carrion Igaras		the
_-	cbajd7	Igakya							
_-	cbaje1	Tracker Igara	a	the			Tracker Igaras		the
_-	cbaje2	Volatile Igara	a	the			Volatile Igaras		the
_-	cbaje3	Frightening Igara	a	the			Frightening Igaras		the
_-	cbaje4	Rapacious Igara	a	the			Rapacious Igaras		the
_-	cbaje7	Igakya							
_-	cbajf5	Kim-kol	a	the			Kim-kols		the
_-	cbajf7	Igakya							
_-	cbalb7	Igakan							
_-	cbalc7	Igakan							
_-	cbald7	Igakan							
_-	cbale7	Igakan							
_-	cbalf7	Igakan							
_-	cbapb7	Igakoo							
_-	cbapc7	Igakoo							
_-	cbapd7	Igakoo							
_-	cbape7	Igakoo							
_-	cbapf7	Igakoo							
_-	cbbda1	Fledgling Izam	a	the			Fledgling Izams		the
_-	cbbda2	Lesser Izam	a	the			Lesser Izams		the
_-	cbbda3	Gentle Izam	a	the			Gentle Izams		the
_-	cbbda4	Soaring Izam	a	the			Soaring Izams		the
_-	cbbdb1	Gorged Izam	a	the			Gorged Izams		the
_-	cbbdb2	Vulgar Izam	a	the			Vulgar Izams		the
_-	cbbdb3	Bloated Izam	a	the			Bloated Izams		the
_-	cbbdb4	Prime Izam	a	the			Prime Izams		the
_-	cbbdb7	Izaketh							
_-	cbbdc1	Vigilant Izam	a	the			Vigilant Izams		the
_-	cbbdc2	Hungry Izam	a	the			Hungry Izams		the
_-	cbbdc3	Scavenging Izam	a	the			Scavenging Izams		the
_-	cbbdc4	Leering Izam	a	the			Leering Izams		the
_-	cbbdc7	Izaketh							
_-	cbbdd4	Carrion Izam							
_-	cbbdd7	Izaketh							
_-	cbbde1	Tracker Izam	a	the			Tracker Izams		the
_-	cbbde2	Volatile Izam	a	the			Volatile Izams		the
_-	cbbde3	Frightening Izam	a	the			Frightening Izams		the
_-	cbbde4	Rapacious Izam	a	the			Rapacious Izams		the
_-	cbbde5	Dylion	a	the			Dylions		the
_-	cbbde7	Izaketh							
_-	cbbdf7	Izaketh							
_-	cbbfb7	Izakin							
_-	cbbfc7	Izakin							
_-	cbbfd7	Izakin							
_-	cbbfe7	Izakin							
_-	cbbff7	Izakin							
_-	cbbja1	Fledgling Izam	a	the			Fledgling Izams		the
_-	cbbja2	Lesser Izam	a	the			Lesser Izams		the
_-	cbbja3	Gentle Izam	a	the			Gentle Izams		the
_-	cbbja4	Soaring Izam	a	the			Soaring Izams		the
_-	cbbjb1	Gorged Izam	a	the			Gorged Izams		the
_-	cbbjb2	Vulgar Izam	a	the			Vulgar Izams		the
_-	cbbjb3	Bloated Izam	a	the			Bloated Izams		the
_-	cbbjb4	Prime Izam	a	the			Prime Izams		the
_-	cbbjb7	Izakya							
_-	cbbjc1	Vigilant Izam	a	the			Vigilant Izams		the
_-	cbbjc2	Hungry Izam	a	the			Hungry Izams		the
_-	cbbjc3	Scavenging Izam	a	the			Scavenging Izams		the
_-	cbbjc4	Leering Izam	a	the			Leering Izams		the
_-	cbbjc7	Izakya							
_-	cbbjd7	Izakya							
_-	cbbje1	Tracker Izam	a	the			Tracker Izams		the
_-	cbbje2	Volatile Izam	a	the			Volatile Izams		the
_-	cbbje3	Frightening Izam	a	the			Frightening Izams		the
_-	cbbje4	Rapacious Izam	a	the			Rapacious Izams		the
_-	cbbje7	Izakya							
_-	cbbjf1	Threatening Izam	a	the			Threatening Izams		the
_-	cbbjf2	Enraged Izam	an	the			Enraged Izams		the
_-	cbbjf3	Tremendous Izam	a	the			Tremendous Izams		the
_-	cbbjf7	Izakya							
_-	cbbla1	Fledgling Izam	a	the			Fledgling Izams		the
_-	cbbla2	Lesser Izam	a	the			Lesser Izams		the
_-	cbbla3	Gentle Izam	a	the			Gentle Izams		the
_-	cbbla4	Soaring Izam	a	the			Soaring Izams		the
_-	cbblb1	Gorged Izam	a	the			Gorged Izams		the
_-	cbblb2	Vulgar Izam	a	the			Vulgar Izams		the
_-	cbblb3	Bloated Izam	a	the			Bloated Izams		the
_-	cbblb4	Prime Izam	a	the			Prime Izams		the
_-	cbblb7	Izakan							
_-	cbblc1	Vigilant Izam	a	the			Vigilant Izams		the
_-	cbblc2	Hungry Izam	a	the			Hungry Izams		the
_-	cbblc3	Scavenging Izam	a	the			Scavenging Izams		the
_-	cbblc4	Leering Izam	a	the			Leering Izams		the
_-	cbblc7	Izakan							
_-	cbblc8	Death Izam	a	the					
_-	cbbld1	Vicious Izam	a	the			Vicious Izams		the
_-	cbbld2	Malignant Izam	a	the			Malignant Izams		the
_-	cbbld3	Mocking Izam	a	the			Mocking Izams		the
_-	cbbld4	Carrion Izam	a	the			Carrion Izams		the
_-	cbbld7	Izakan							
_-	cbble7	Izakan							
_-	cbblf7	Izakan							
_-	cbbpa1	Fledgling Izam	a	the			Fledgling Izams		the
_-	cbbpa2	Lesser Izam	a	the			Lesser Izams		the
_-	cbbpa3	Gentle Izam	a	the			Gentle Izams		the
_-	cbbpa4	Soaring Izam	a	the			Soaring Izams		the
_-	cbbpb1	Gorged Izam	a	the			Gorged Izams		the
_-	cbbpb2	Vulgar Izam	a	the			Vulgar Izams		the
_-	cbbpb3	Bloated Izam	a	the			Bloated Izams		the
_-	cbbpb4	Prime Izam	a	the			Prime Izams		the
_-	cbbpb7	Izakoo							
_-	cbbpc1	Vigilant Izam	a	the			Vigilant Izams		the
_-	cbbpc2	Hungry Izam	a	the			Hungry Izams		the
_-	cbbpc3	Scavenging Izam	a	the			Scavenging Izams		the
_-	cbbpc4	Leering Izam	a	the			Leering Izams		the
_-	cbbpc7	Izakoo							
_-	cbbpd1	Vicious Izam	a	the			Vicious Izams		the
_-	cbbpd2	Malignant Izam	a	the			Malignant Izams		the
_-	cbbpd3	Mocking Izam	a	the			Mocking Izams		the
_-	cbbpd4	Carrion Izam	a	the			Carrion Izams		the
_-	cbbpd7	Izakoo							
_-	cbbpe4	Rapacious Izam							
_-	cbbpe7	Izakoo							
_-	cbbpf7	Izakoo							
_-	CBCCF2	Yber Frénétique	un	l'	de l'	à l'	Ybers Frénétiques	des	les
_-	cbcdb7	Yberketh							
_-	cbcdc7	Yberketh							
_-	cbcdd7	Yberketh							
_-	cbcde7	Yberketh							
_-	cbcdf7	Yberketh							
_-	cbcfb7	Yberkin							
_-	cbcfc7	Yberkin							
_-	cbcfd7	Yberkin							
_-	cbcfe7	Yberkin							
_-	cbcff7	Yberkin							
_-	cbcga1	Impure Yber	an	the			Impure Ybers		the
_-	cbcga2	Blighted Yber	a	the			Blighted Ybers		the
_-	cbcga3	Contaminated Yber	a	the			Contaminated Ybers		the
_-	cbcga4	Infected Yber	an	the			Infected Ybers		the
_-	cbcgb1	Nauseous Yber	a	the			Nauseous Ybers		the
_-	cbcgb2	Stinking Yber	a	the			Stinking Ybers		the
_-	cbcgb3	Morbid Yber	a	the			Morbid Ybers		the
_-	cbcgb4	Poisoned Yber	a				Poisoned Ybers		the
_-	cbcgc1	Plagued Yber	a	the			Plagued Ybers		the
_-	cbcgc2	Sickly  Yber	a	the			Sickly  Ybers		the
_-	cbcgc3	Putrescent Yber	a	the			Putrescent Ybers		the
_-	cbcgc4	Virulent Yber	a	the			Virulent Ybers		the
_-	cbcgd1	Ravaged Yber	a	the			Ravaged Ybers		the
_-	cbcgd2	Festering Yber	a	the			Festering Ybers		the
_-	cbcgd3	Pestiferous Yber	a	the			Pestiferous Ybers		the
_-	cbcgd4	Raving Yber	a	the			Raving Ybers		the
_-	cbcge1	Pustulous Yber	a	the			Pustulous Ybers		the
_-	cbcge2	Seeping Yber	a	the			Seeping Ybers		the
_-	cbcge3	Foaming Yber	a	the			Foaming Ybers		the
_-	cbcge4	Revolting Yber	a	the			Revolting Ybers		the
_-	cbcgf1	Demented Yber	a	the			Demented Ybers		the
_-	cbcgf2	Frenzied Yber	a	the			Frenzied Ybers		the
_-	cbcgf3	Fiendish Yber	a	the			Fiendish Ybers		the
_-	cbcgf4	Lethal Yber							the
_-	cbcja1	Fledgling Yber	a	the			Fledgling Ybers		the
_-	cbcja2	Lesser Yber	a	the			Lesser Ybers		the
_-	cbcja3	Gentle Yber	a	the			Gentle Ybers		the
_-	cbcja4	Soaring Yber	a	the			Soaring Ybers		the
_-	cbcjb1	Gorged Yber	a	the			Gorged Ybers		the
_-	cbcjb2	Vulgar Yber	a	the			Vulgar Ybers		the
_-	cbcjb3	Bloated Yber	a	the			Bloated Ybers		the
_-	cbcjb4	Prime Yber	a	the			Prime Ybers		the
_-	cbcjb7	Yberkya							
_-	cbcjc1	Vigilant Yber	a	the			Vigilant Ybers		the
_-	cbcjc2	Hungry Yber	a	the			Hungry Ybers		the
_-	cbcjc3	Scavenging Yber	a	the			Scavenging Ybers		the
_-	cbcjc4	Leering Yber	a	the			Leering Ybers		the
_-	cbcjc7	Yberkya							
_-	cbcjd1	Vicious Yber	a	the			Vicious Ybers		the
_-	cbcjd2	Malignant Yber	a	the			Malignant Ybers		the
_-	cbcjd3	Mocking Yber	a	the			Mocking Ybers		the
_-	cbcjd4	Carrion Yber	a	the			Carrion Ybers		the
_-	cbcjd7	Yberkya							
_-	cbcje1	Tracker Yber	a	the			Tracker Ybers		the
_-	cbcje2	Volatile Yber	a	the			Volatile Ybers		the
_-	cbcje3	Frightening Yber	a	the			Frightening Ybers		the
_-	cbcje4	Rapacious Yber	a	the			Rapacious Ybers		the
_-	cbcje7	Yberkya							
_-	cbcjf7	Yberkya							
_-	cbcla1	Fledgling Yber	a	the			Fledgling Ybers		the
_-	cbcla2	Lesser Yber	a	the			Lesser Ybers		the
_-	cbcla3	Gentle Yber	a	the			Gentle Ybers		the
_-	cbcla4	Soaring Yber	a	the			Soaring Ybers		the
_-	cbclb1	Gorged Yber	a	the			Gorged Ybers		the
_-	cbclb2	Vulgar Yber	a	the			Vulgar Ybers		the
_-	cbclb3	Bloated Yber	a	the			Bloated Ybers		the
_-	cbclb4	Prime Yber	a	the			Prime Ybers		the
_-	cbclb7	Yberkan							
_-	cbclc1	Vigilant Yber	a	the			Vigilant Ybers		the
_-	cbclc2	Hungry Yber	a	the			Hungry Ybers		the
_-	cbclc3	Scavenging Yber	a	the			Scavenging Ybers		the
_-	cbclc4	Leering Yber	a	the			Leering Ybers		the
_-	cbclc7	Yberkan							
_-	cbcld5	Corrah	a	the					
_-	cbcld7	Yberkan							
_-	cbcle7	Yberkan							
_-	cbclf7	Yberkan							
_-	cbcpb7	Yberkoo							
_-	cbcpc7	Yberkoo							
_-	cbcpd7	Yberkoo							
_-	cbcpe7	Yberkoo							
_-	cbcpf7	Yberkoo							
_-	CCACF3	Gingo Démoniaque	un	le	du	au	Gingos Démoniaques	des	les
_-	ccada1	Weeny Gingo	a	the			Weeny Gingos		the
_-	ccada2	Puny Gingo	a	the			Puny Gingos		the
_-	ccada3	Young Gingo	a	the			Young Gingos		the
_-	ccada4	Mild Gingo	a	the			Mild Gingos		the
_-	ccadb1	Vigorous Gingo	a	the			Vigorous Gingos		the
_-	ccadb2	Growling Gingo	a	the			Growling Gingos		the
_-	ccadb3	Scowling Gingo	a	the			Scowling Gingos		the
_-	ccadb4	Baying Gingo	a	the			Baying Gingos		the
_-	ccadb7	Ginketh							
_-	ccadc7	Ginketh							
_-	ccadd7	Ginketh							
_-	ccade1	Preying Gingo	a	the			Preying Gingos		the
_-	ccade2	Raging Gingo	a	the			Raging Gingos		the
_-	ccade3	Fearsome Gingo	a	the			Fearsome Gingos		the
_-	ccade4	Huge Gingo	a	the			Huge Gingos		the
_-	ccade7	Ginketh							
_-	ccadf7	Ginketh							
_-	ccafa1	Weeny Gingo	a	the			Weeny Gingos		the
_-	ccafa2	Puny Gingo	a	the			Puny Gingos		the
_-	ccafa3	Young Gingo	a	the			Young Gingos		the
_-	ccafa4	Mild Gingo	a	the			Mild Gingos		the
_-	ccafb1	Vigorous Gingo	a	the			Vigorous Gingos		the
_-	ccafb2	Growling Gingo	a	the			Growling Gingos		the
_-	ccafb3	Scowling Gingo	a	the			Scowling Gingos		the
_-	ccafb4	Baying Gingo	a	the			Baying Gingos		the
_-	ccafb7	Ginkin							
_-	ccafc1	Scary Gingo	a	the			Scary Gingos		the
_-	ccafc2	Malicious Gingo	a	the			Malicious Gingos		the
_-	ccafc3	Dangerous Gingo	a	the			Dangerous Gingos		the
_-	ccafc4	Menacing Gingo	a	the			Menacing Gingos		the
_-	ccafc5	Skoff	a	the					
_-	ccafc7	Ginkin							
_-	ccafd5	Torrius	a	the			Torriuss		the
_-	ccafd7	Ginkin							
_-	ccafe1	Preying Gingo	a	the			Preying Gingos		the
_-	ccafe2	Raging Gingo	a	the			Raging Gingos		the
_-	ccafe3	Fearsome Gingo	a	the			Fearsome Gingos		the
_-	ccafe4	Huge Gingo	a	the			Huge Gingos		the
_-	ccafe7	Ginkin							
_-	ccaff7	Ginkin							
_-	ccaga1	Impure Gingo	an	the			Impure Gingos		the
_-	ccaga2	Blighted Gingo	a	the			Blighted Gingos		the
_-	ccaga3	Contaminated Gingo	a	the			Contaminated Gingos		the
_-	ccaga4	Infected Gingo	an	the			Infected Gingos		the
_-	ccagb1	Nauseous Gingo	a	the			Nauseous Gingos		the
_-	ccagb2	Stinking Gingo	a	the			Stinking Gingos		the
_-	ccagb3	Morbid Gingo	a	the			Morbid Gingos		the
_-	ccagb4	Poisoned Gingo	a	the			Poisoned Gingos		the
_-	ccagc1	Plagued Gingo	a	the			Plagued Gingos		the
_-	ccagc2	Sickly  Gingo	a	the			Sickly  Gingos		the
_-	ccagc3	Putrescent Gingo	a	the			Putrescent Gingos		the
_-	ccagc4	Virulent Gingo	a	the			Virulent Gingos		the
_-	ccagd1	Ravaged Gingo	a	the			Ravaged Gingos		the
_-	ccagd2	Festering Gingo	a	the			Festering Gingos		the
