*HASH_VALUE	creature ID	name	ia	da	p	pia	pda	cc	pr
_75670123741450F3	caala1	Petit Baldusa	un	le	Petits Baldusas	des	les	du	au
_1EF1BA6903BAFD67	caala2	Baldusa primitif	un	le	Baldusas primitifs	des	les	du	au
_7567F9216AF458F3	caala3	Baldusa apaisé	un	le	Baldusas apaisés	des	les	du	au
_838F0237FC19C4C1	caala4	Baldusa rapide	un	le	Baldusas rapides	des	les	du	au
_32B09D233D8CC4AA	caapa1	Petit Baldusa	un	le	Petits Baldusas	des	les	du	au
_D7D60A520CA38146	caapa2	Baldusa primitif	un	le	Baldusas primitifs	des	les	du	au
_87AF264F7E0AE4BA	caapa3	Baldusa apaisé	un	le	Baldusas apaisés	des	les	du	au
_64B443769B018962	caapa4	Baldusa rapide	un	le	Baldusas rapides	des	les	du	au
_64B443769B017D63	caapb1	Baldusa gluant	un	le	Baldusas gluants	des	les	du	au
_5B1F86793FE8C978	caapb2	Baldusa ordinaire	un	le	Baldusas ordinaires	des	les	du	au
_E4659633C03D3FF8	caapb3	Baldusa en chasse	un	le	Baldusas en chasse	des	les	du	au
_8250E64FFCA9C0BF	caapb4	Baldusa adulte	un	le	Baldusas adultes	des	les	du	au
_8250E64FFCA9B4C0	caapc1	Baldusa très vigoureux	un	le	Baldusas très vigoureux	des	les	du	au
_60F5EA2CFC4C4701	caapc2	Baldusa défensif	un	le	Baldusas défensifs	des	les	du	au
_D073DA7B19017D4B	caapc3	Baldusa fouilleur	un	le	Baldusas fouilleurs	des	les	du	au
_1C50A6820019F182	caapc4	Baldusa pétrifiant	un	le	Baldusas pétrifiants	des	les	du	au
_1C50A6820019E583	caapd1	Baldusa embusqué	un	le	Baldusas embusqués	des	les	du	au
_E495C23E7E0C47FC	caapd2	Baldusa rôdeur	un	le	Baldusas rôdeurs	des	les	du	au
_98C5AA570563DD2E	caapd3	Baldusa furieux	un	le	Baldusas furieux	des	les	du	au
_8A7F06343C0914C5	caapd4	Baldusa indompté	un	le	Baldusas indomptés	des	les	du	au
_8A7F06343C0908C6	caape1	Baldusa énorme	un	le	Baldusas énormes	des	les	du	au
_C41FF24A7B4AB8BE	caape2	Baldusa insatiable	un	le	Baldusas insatiables	des	les	du	au
_1091125477F2D147	caape3	Baldusa mauvais	un	le	Baldusas mauvais	des	les	du	au
_B0F3D30FA822A6C7	caape4	Baldusa attaquant	un	le	Baldusas attaquants	des	les	du	au
_B0F3D30FA8229AC8	caapf1	Baldusa horrifiant	un	le	Baldusas horrifiants	des	les	du	au
_E02507885501216C	caapf2	Baldusa atroce	un	le	Baldusas atroces	des	les	du	au
_DA3FAA77BE08F17A	caapf3	Baldusa funeste	un	le	Baldusas funestes	des	les	du	au
_99609E7B8019DD79	cabda1	Petit Prakker	un	le	Petits Prakkers	des	les	du	au
_1E82DD6708FB4362	cabda2	Prakker primitif	un	le	Prakkers primitifs	des	les	du	au
_D486061D072C330F	cabda3	Prakker apaisé	un	le	Prakkers apaisés	des	les	du	au
_422EAE4FBD2A40B3	cabda4	Prakker rapide	un	le	Prakkers rapides	des	les	du	au
_422EAE4FBD2A34B4	cabdb1	Prakker gluant	un	le	Prakkers gluants	des	les	du	au
_5796D22B861C4B04	cabdb2	Prakker ordinaire	un	le	Prakkers ordinaires	des	les	du	au
_5C353E2C040E1310	cabdb3	Prakker en chasse	un	le	Prakkers en chasse	des	les	du	au
_7B77390964D60416	cabdb4	Prakker adulte	un	le	Prakkers adultes	des	les	du	au
_7B77390964D6F817	cabdc1	Prakker très vigoureux	un	le	Prakkers très vigoureux	des	les	du	au
_07BFAE673BAA6CAE	cabdc2	Prakker défensif	un	le	Prakkers défensifs	des	les	du	au
_0590765F3B2A78BB	cabdc3	Prakker fouilleur	un	le	Prakkers fouilleurs	des	les	du	au
_9B60B26C8219FD6C	cabdc4	Prakker pétrifiant	un	le	Prakkers pétrifiants	des	les	du	au
_9B60B26C8219F16D	cabdd1	Prakker embusqué	un	le	Prakkers embusqués	des	les	du	au
_85FEBE58BD1A5CB9	cabdd2	Prakker rôdeur	un	le	Prakkers rôdeurs	des	les	du	au
_5DE55F8A9DAF393E	cabdd3	Prakker furieux	un	le	Prakkers furieux	des	les	du	au
_96B09E747D69E975	cabdd4	Prakker indompté	un	le	Prakkers indomptés	des	les	du	au
_96B09E747D69DD76	cabde1	Prakker énorme	un	le	Prakkers énormes	des	les	du	au
_5671DA7F3D2A1D81	cabde2	Prakker insatiable	un	le	Prakkers insatiables	des	les	du	au
_5935562A838D231D	cabde3	Prakker mauvais	un	le	Prakkers mauvais	des	les	du	au
_995627A559D1155D	cabde4	Prakker attaquant	un	le	Prakkers attaquants	des	les	du	au
_995627A559D1095E	cabdf1	Prakker horrifiant	un	le	Prakkers horrifiants	des	les	du	au
_59C1827A407AC57D	cabdf2	Prakker atroce	un	le	Prakkers atroces	des	les	du	au
_9BB1CE71826A1574	cabdf3	Prakker funeste	un	le	Prakkers funestes	des	les	du	au
_9444D26305F4B934	cabfa1	Petit Prakker	un	le	Petits Prakkers	des	les	du	au
_F3201503B98E44B8	cabfa2	Prakker primitif	un	le	Prakkers primitifs	des	les	du	au
_853FC2683CAA3CB3	cabfa3	Prakker apaisé	un	le	Prakkers apaisés	des	les	du	au
_FB77E1096E760415	cabfa4	Prakker rapide	un	le	Prakkers rapides	des	les	du	au
_FB77E1096E76F816	cabfb1	Prakker gluant	un	le	Prakkers gluants	des	les	du	au
_FB7739056814FC16	cabfb2	Prakker ordinaire	un	le	Prakkers ordinaires	des	les	du	au
_EECF21143B1E48B9	cabfb3	Prakker en chasse	un	le	Prakkers en chasse	des	les	du	au
_FB77A90B6A140416	cabfb4	Prakker adulte	un	le	Prakkers adultes	des	les	du	au
_FB77A90B6A14F817	cabfc1	Prakker très vigoureux	un	le	Prakkers très vigoureux	des	les	du	au
_87BFAE673BAA6CAE	cabfc2	Prakker défensif	un	le	Prakkers défensifs	des	les	du	au
_FB77390B6A560017	cabfc3	Prakker fouilleur	un	le	Prakkers fouilleurs	des	les	du	au
_DD70CE6C44290D6D	cabfd1	Prakker embusqué	un	le	Prakkers embusqués	des	les	du	au
_FB77E111ECD6FC18	cabfd2	Prakker rôdeur	un	le	Prakkers rôdeurs	des	les	du	au
_5776DE2088AC230C	cabfd3	Prakker furieux	un	le	Prakkers furieux	des	les	du	au
_D9A1F27E405A3D7F	cabfd4	Prakker indompté	un	le	Prakkers indomptés	des	les	du	au
_D9A1F27E405A3180	cabfe1	Prakker énorme	un	le	Prakkers énormes	des	les	du	au
_3000611AF88D44BC	cabfe2	Prakker insatiable	un	le	Prakkers insatiables	des	les	du	au
_898FDE5CBD0B78BE	cabfe3	Prakker mauvais	un	le	Prakkers mauvais	des	les	du	au
_C5A0A6693ABA40BD	cabfe4	Prakker attaquant	un	le	Prakkers attaquants	des	les	du	au
_C5A0A6693ABA34BE	cabff1	Prakker horrifiant	un	le	Prakkers horrifiants	des	les	du	au
_AD832BD31C40FCFE	cabff2	Prakker atroce	un	le	Prakkers atroces	des	les	du	au
_B200E110F88D48BD	cabff3	Prakker funeste	un	le	Prakkers funestes	des	les	du	au
_36E563D1A42012E7	cabja1	Petit Prakker	un	le	Petits Prakkers	des	les	du	au
_5B563389DE514D6D	cabja2	Prakker primitif	un	le	Prakkers primitifs	des	les	du	au
_FC7771F766140015	cabja3	Prakker apaisé	un	le	Prakkers apaisés	des	les	du	au
_C32EAE4FBD2A40B3	cabja4	Prakker rapide	un	le	Prakkers rapides	des	les	du	au
_C32EAE4FBD2A34B4	cabjb1	Prakker gluant	un	le	Prakkers gluants	des	les	du	au
_FC77810564D4FC16	cabjb2	Prakker ordinaire	un	le	Prakkers ordinaires	des	les	du	au
_1AC0A68A8079ED89	cabjb3	Prakker en chasse	un	le	Prakkers en chasse	des	les	du	au
_DA81F284403A3D83	cabjb4	Prakker adulte	un	le	Prakkers adultes	des	les	du	au
_DA81F284403A3184	cabjc1	Prakker très vigoureux	un	le	Prakkers très vigoureux	des	les	du	au
_B28001113C4E44BA	cabjc2	Prakker défensif	un	le	Prakkers défensifs	des	les	du	au
_42DEBE603F8A3CB5	cabjc3	Prakker fouilleur	un	le	Prakkers fouilleurs	des	les	du	au
_5840DE77BEF92977	cabjc4	Prakker pétrifiant	un	le	Prakkers pétrifiants	des	les	du	au
_5840DE77BEF91D78	cabjd1	Prakker embusqué	un	le	Prakkers embusqués	des	les	du	au
_5A652F9A1A0F055C	cabjd2	Prakker rôdeur	un	le	Prakkers rôdeurs	des	les	du	au
_FC77410568360018	cabjd3	Prakker furieux	un	le	Prakkers furieux	des	les	du	au
_C91EB24CFD1A90B7	cabjd4	Prakker indompté	un	le	Prakkers indomptés	des	les	du	au
_C91EB24CFD1A84B8	cabje1	Prakker énorme	un	le	Prakkers énormes	des	les	du	au
_1A655E30C31D2B1A	cabje2	Prakker insatiable	un	le	Prakkers insatiables	des	les	du	au
_C10F56713A1B3CB2	cabje3	Prakker mauvais	un	le	Prakkers mauvais	des	les	du	au
_438E76613A0B48B9	cabje4	Prakker attaquant	un	le	Prakkers attaquants	des	les	du	au
_438E76613A0B3CBA	cabjf1	Prakker horrifiant	un	le	Prakkers horrifiants	des	les	du	au
_D775166D42650D38	cabjf2	Prakker atroce	un	le	Prakkers atroces	des	les	du	au
_59BFC27ABF78097D	cabjf3	Prakker funeste	un	le	Prakkers funestes	des	les	du	au
_7D7789076EF4F815	cabla1	Petit Prakker	un	le	Petits Prakkers	des	les	du	au
_1F71D26C042A156A	cabla2	Prakker primitif	un	le	Prakkers primitifs	des	les	du	au
_7D77810564D40015	cabla3	Prakker apaisé	un	le	Prakkers apaisés	des	les	du	au
_442EAE4FBD2A40B3	cabla4	Prakker rapide	un	le	Prakkers rapides	des	les	du	au
_76F03D203BED40B8	cabpa1	Petit Prakker	un	le	Petits Prakkers	des	les	du	au
_DC55266749C5813C	cabpa2	Prakker primitif	un	le	Prakkers primitifs	des	les	du	au
_484ED2673F1B60AC	cabpa3	Prakker apaisé	un	le	Prakkers apaisés	des	les	du	au
_1E454F876320A55B	cabpa4	Prakker rapide	un	le	Prakkers rapides	des	les	du	au
_1E454F876320995C	cabpb1	Prakker gluant	un	le	Prakkers gluants	des	les	du	au
_5C9F9E7C4058E17B	cabpb2	Prakker ordinaire	un	le	Prakkers ordinaires	des	les	du	au
_9EE5EA28483D1710	cabpb3	Prakker en chasse	un	le	Prakkers en chasse	des	les	du	au
_43EF9267BDBA3CB1	cabpb4	Prakker adulte	un	le	Prakkers adultes	des	les	du	au
_43EF9267BDBA30B2	cabpc1	Prakker très vigoureux	un	le	Prakkers très vigoureux	des	les	du	au
_1A753E21844C1F19	cabpc2	Prakker défensif	un	le	Prakkers défensifs	des	les	du	au
_8A04E68CE1209944	cabpc3	Prakker fouilleur	un	le	Prakkers fouilleurs	des	les	du	au
_1DD0BE8501890985	cabpc4	Prakker pétrifiant	un	le	Prakkers pétrifiants	des	les	du	au
_1DD0BE850189FD86	cabpd1	Prakker embusqué	un	le	Prakkers embusqués	des	les	du	au
_9E151633060C1F14	cabpd2	Prakker rôdeur	un	le	Prakkers rôdeurs	des	les	du	au
_9D44C66C4285DD24	cabpd3	Prakker furieux	un	le	Prakkers furieux	des	les	du	au
_4B1EB24CFD1A90B7	cabpd4	Prakker indompté	un	le	Prakkers indomptés	des	les	du	au
_4B1EB24CFD1A84B8	cabpe1	Prakker énorme	un	le	Prakkers énormes	des	les	du	au
_85BE9E623C5B34B0	cabpe2	Prakker insatiable	un	le	Prakkers insatiables	des	les	du	au
_15102E69B414D13D	cabpe3	Prakker mauvais	un	le	Prakkers mauvais	des	les	du	au
_B8035BF3A2024EE9	cabpe4	Prakker attaquant	un	le	Prakkers attaquants	des	les	du	au
_B8035BF3A20242EA	cabpf1	Prakker horrifiant	un	le	Prakkers horrifiants	des	les	du	au
_9AB613991D203D65	cabpf2	Prakker atroce	un	le	Prakkers atroces	des	les	du	au
_DBBFC27ABF78097D	cabpf3	Prakker funeste	un	le	Prakkers funestes	des	les	du	au
_4010F219394A7CFA	cbada1	Igara novice	un	l'	Igaras novices	des	les	de l'	à l'
_02FE9126F19B7BFA	cbada2	Igara secondaire	un	l'	Igaras secondaires	des	les	de l'	à l'
_7DFF11FEF0A64F11	cbada3	Igara tempéré	un	l'	Igaras tempérés	des	les	de l'	à l'
_05EFDD0D66744471	cbada4	Igara grandissant	un	l'	Igaras grandissants	des	les	de l'	à l'
_05EFDD0D66743872	cbadb1	Igara repu	un	l'	Igaras repus	des	les	de l'	à l'
_3FB019062F964B12	cbadb2	Igara commun	un	l'	Igaras communs	des	les	de l'	à l'
_3F6F490071975322	cbadb3	Igara gavé	un	l'	Igaras gavés	des	les	de l'	à l'
_1C14A5BAE6795F8E	cbadb4	Igara intimidant	un	l'	Igaras intimidants	des	les	de l'	à l'
_1C14A5BAE679538F	cbadc1	Igara vigilant	un	l'	Igaras vigilants	des	les	de l'	à l'
_8B0F2D2D62743C73	cbadc2	Igara vorace	un	l'	Igaras voraces	des	les	de l'	à l'
_8DB1BD2D62744073	cbadc3	Igara pilleur	un	l'	Igaras pilleurs	des	les	de l'	à l'
_7E3F56083E2A58FE	cbadc4	Igara pénétrant	un	l'	Igaras pénétrants	des	les	de l'	à l'
_7E3F56083E2A4CFF	cbadd1	Igara brutal	un	l'	Igaras brutaux	des	les	de l'	à l'
_894FFD2166543C74	cbadd2	Igara malveillant	un	l'	Igaras malveillants	des	les	de l'	à l'
_9CA37E26836CC127	cbadd3	Igara moqueur	un	l'	Igaras moqueurs	des	les	de l'	à l'
_3DC0F2053979580F	cbadd4	Igara charognard	un	l'	Igaras charognards	des	les	de l'	à l'
_3DC0F20539794C10	cbade1	Igara pourchassant	un	l'	Igaras pourchassants	des	les	de l'	à l'
_80D02A1479DA6018	cbade2	Igara instable	un	l'	Igaras instables	des	les	de l'	à l'
_BE3061FAF0775B21	cbade3	Igara terrorisant	un	l'	Igaras terrorisants	des	les	de l'	à l'
_DA352A36C1FE7138	cbade4	Igara avide	un	l'	Igaras avides	des	les	de l'	à l'
_DC14A9BE2B8AA38A	cbaga1	Igara impur	un	l'	Igaras impurs	des	les	de l'	à l'
_D605AA3443A1008E	cbaga2	Igara tuméfié	un	l'	Igaras tuméfiés	des	les	de l'	à l'
_02D1690C2FA68F2C	cbaga3	Igara contaminé	un	l'	Igaras contaminés	des	les	de l'	à l'
_D2C02B80A3E42147	cbaga4	Igara infecté	un	l'	Igaras infectés	des	les	de l'	à l'
_D2C02B80A3E41548	cbagb1	Igara  écœurant	un	l'	Igaras écœurants	des	les	de l'	à l'
_C043E96D3C3A68EE	cbagb2	Igara puant	un	l'	Igaras puants	des	les	de l'	à l'
_FF8035F5F1B74F12	cbagb3	Igara morbide	un	l'	Igaras morbides	des	les	de l'	à l'
_DC14C5C16B199781	cbagb4	Igara empoisonné	un	l'	Igaras empoisonnés	des	les	de l'	à l'
_DC14C5C16B198B82	cbagc1	Igara souffrant	un	l'	Igaras souffrants	des	les	de l'	à l'
_3CAF390CB5A74B13	cbagc2	Igara fiévreux	un	l'	Igaras fiévreux	des	les	de l'	à l'
_7FCF16FDFC398403	cbagc3	Igara putréfié	un	l'	Igaras putréfiés	des	les	de l'	à l'
_003F520BBC1A700A	cbagc4	Igara venimeux	un	l'	Igaras venimeux	des	les	de l'	à l'
_003F520BBC1A640B	cbagd1	Igara ravagé	un	l'	Igaras ravagés	des	les	de l'	à l'
_CFEFED0D64563C74	cbagd2	Igara poisseux	un	l'	Igaras poisseux	des	les	de l'	à l'
_A67C951E2DF80779	cbagd3	Igara pestilentiel	un	l'	Igaras pestilentiels	des	les	de l'	à l'
_92E4958A13E0CD77	cbagd4	Igara délirant	un	l'	Igaras délirants	des	les	de l'	à l'
_92E4958A13E0C178	cbage1	Igara pustuleux	un	l'	Igaras pustuleux	des	les	de l'	à l'
_BBDF350270974B15	cbage2	Igara suintant	un	l'	Igaras suintants	des	les	de l'	à l'
_18D0AA6A2D20600B	cbage3	Igara écumant	un	l'	Igaras écumants	des	les	de l'	à l'
_C17F310773D78F34	cbage4	Igara répugnant	un	l'	Igaras répugnants	des	les	de l'	à l'
_C17F310773D78335	cbagf1	Igara dément	un	l'	Igaras déments	des	les	de l'	à l'
_FF6FF2033A59800C	cbagf2	Igara frénétique	un	l'	Igaras frénétiques	des	les	de l'	à l'
_7E4F26FD3C5A6810	cbagf3	Igara démoniaque	un	l'	Igaras démoniaques	des	les	de l'	à l'
_92E10B91DFE4E948	cbaja1	Igara novice	un	l'	Igaras novices	des	les	de l'	à l'
_A1F5223207BE6130	cbaja2	Igara secondaire	un	l'	Igaras secondaires	des	les	de l'	à l'
_9D14C1B1A8886B87	cbaja3	Igara tempéré	un	l'	Igaras tempérés	des	les	de l'	à l'
_86EFDD0D66744471	cbaja4	Igara grandissant	un	l'	Igaras grandissants	des	les	de l'	à l'
_86EFDD0D66743872	cbajb1	Igara repu	un	l'	Igaras repus	des	les	de l'	à l'
_9D14C9B82858577E	cbajb2	Igara commun	un	l'	Igaras communs	des	les	de l'	à l'
_7D80161AFD2B680F	cbajb3	Igara gavé	un	l'	Igaras gavés	des	les	de l'	à l'
_00B02A13FE5BB01C	cbajb4	Igara intimidant	un	l'	Igaras intimidants	des	les	de l'	à l'
_00B02A13FE5BA41D	cbajc1	Igara vigilant	un	l'	Igaras vigilants	des	les	de l'	à l'
_67EC550529E93778	cbajc2	Igara vorace	un	l'	Igaras voraces	des	les	de l'	à l'
_86EFCD236A344073	cbajc3	Igara pilleur	un	l'	Igaras pilleurs	des	les	de l'	à l'
_FDEF120F3F0A8C10	cbajc4	Igara pénétrant	un	l'	Igaras pénétrants	des	les	de l'	à l'
_FDEF120F3F0A8011	cbajd1	Igara brutal	un	l'	Igaras brutaux	des	les	de l'	à l'
_1B632E38812C6D39	cbajd2	Igara malveillant	un	l'	Igaras malveillants	des	les	de l'	à l'
_9D14A9B828897B93	cbajd3	Igara moqueur	un	l'	Igaras moqueurs	des	les	de l'	à l'
_900FFD09E6544474	cbajd4	Igara charognard	un	l'	Igaras charognards	des	les	de l'	à l'
_900FFD09E6543875	cbaje1	Igara pourchassant	un	l'	Igaras pourchassants	des	les	de l'	à l'
_BE60790070974B15	cbaje2	Igara instable	un	l'	Igaras instables	des	les	de l'	à l'
_864F9D3360564075	cbaje3	Igara terrorisant	un	l'	Igaras terrorisants	des	les	de l'	à l'
_862FDD1560364475	cbaje4	Igara avide	un	l'	Igaras avides	des	les	de l'	à l'
_64598FB32542EFA3	cbajf5	Kim-kol	un	le	Kim-kols	des	les	du	au
_41BE6DFBDF595C21	cbbda1	Izam novice	un	l'	Izams novices	des	les	de l'	à l'
_829F211960361B12	cbbda2	Izam secondaire	un	l'	Izams secondaires	des	les	de l'	à l'
_051F5DE77490F6F9	cbbda3	Izam tempéré	un	l'	Izams tempérés	des	les	de l'	à l'
_ED0F350F66F7EF2F	cbbda4	Izam grandissant	un	l'	Izams grandissants	des	les	de l'	à l'
_ED0F350F66F7E330	cbbdb1	Izam repu	un	l'	Izams repus	des	les	de l'	à l'
_0501FD037270F2FA	cbbdb2	Izam commun	un	l'	Izams communs	des	les	de l'	à l'
_8D1F5505EE72F6FC	cbbdb3	Izam gavé	un	l'	Izams gavés	des	les	de l'	à l'
_9A94A48E11D7DFB0	cbbdb4	Izam intimidant	un	l'	Izams intimidants	des	les	de l'	à l'
_9A94A48E11D7D3B1	cbbdc1	Izam vigilant	un	l'	Izams vigilants	des	les	de l'	à l'
_30704129E8D70731	cbbdc2	Izam vorace	un	l'	Izams voraces	des	les	de l'	à l'
_B1613D1BE857EB31	cbbdc3	Izam pilleur	un	l'	Izams pilleurs	des	les	de l'	à l'
_BE2E450064396817	cbbdc4	Izam pénétrant	un	l'	Izams pénétrants	des	les	de l'	à l'
_C2DF51F49C885C19	cbbde1	Izam pourchassant	un	l'	Izams pourchassants	des	les	de l'	à l'
_C29089F85F899023	cbbde2	Izam instable	un	l'	Izams instables	des	les	de l'	à l'
_899F9501EC32F603	cbbde3	Izam terrorisant	un	l'	Izams terrorisants	des	les	de l'	à l'
_09564236FF5EB8F1	cbbde4	Izam avide	un	l'	Izams avides	des	les	de l'	à l'
_6BE694AA2FB6A3A8	cbbde5	Dylion	un	le	Dylions	des	les	du	au
_CD01DE668D52F19A	cbbja1	Izam novice	un	l'	Izams novices	des	les	de l'	à l'
_C7965A26073080F7	cbbja2	Izam secondaire	un	l'	Izams secondaires	des	les	de l'	à l'
_9A94C08512E6B7B3	cbbja3	Izam tempéré	un	l'	Izams tempérés	des	les	de l'	à l'
_6E0F350F66F7EF2F	cbbja4	Izam grandissant	un	l'	Izams grandissants	des	les	de l'	à l'
_6E0F350F66F7E330	cbbjb1	Izam repu	un	l'	Izams repus	des	les	de l'	à l'
_1794C88C1166CFB0	cbbjb2	Izam commun	un	l'	Izams communs	des	les	de l'	à l'
_80FE6907A299AC25	cbbjb3	Izam gavé	un	l'	Izams gavés	des	les	de l'	à l'
_C42F69FC225AE42D	cbbjb4	Izam intimidant	un	l'	Izams intimidants	des	les	de l'	à l'
_C42F69FC225AD82E	cbbjc1	Izam vigilant	un	l'	Izams vigilants	des	les	de l'	à l'
_994724FDB0984360	cbbjc2	Izam vorace	un	l'	Izams voraces		les	de l'	à l'
_6E0F2D18ABB80331	cbbjc3	Izam pilleur	un	l'	Izams pilleurs	des	les	de l'	à l'
_C16E39F6A28ACC1D	cbbjc4	Izam pénétrant	un	l'	Izams pénétrants	des	les	de l'	à l'
_7360491126B7DF33	cbbje1	Izam pourchassant	un	l'	Izams pourchassants	des	les	de l'	à l'
_86FF950DEC72F2FD	cbbje2	Izam instable	un	l'	Izams instables	des	les	de l'	à l'
_6EBF011AA8082733	cbbje3	Izam terrorisant	un	l'	Izams terrorisants	des	les	de l'	à l'
_EE4F3D13E4F82733	cbbje4	Izam avide	un	l'	Izams avides	des	les	de l'	à l'
_EE4F3D13E4F81B34	cbbjf1	Izam agressif	un	l'	Izams agressifs	des	les	de l'	à l'
_C82DD93F344EC8FA	cbbjf2	Izam furieux	un	l'	Izams furieux	des	les	de l'	à l'
_C03E45F49EC8AC29	cbbjf3	Izam colossal	un	l'	Izams colossaux	des	les	de l'	à l'
_D994CC8D1686CFC3	cbbla1	Izam novice	un	l'	Izams novices	des	les	de l'	à l'
_870F35F964E99026	cbbla2	Izam secondaire	un	l'	Izams secondaires	des	les	de l'	à l'
_9894C88C1166D3AF	cbbla3	Izam tempéré	un	l'	Izams tempérés	des	les	de l'	à l'
_EF0F350F66F7EF2F	cbbla4	Izam grandissant	un	l'	Izams grandissants	des	les	de l'	à l'
_EF0F350F66F7E330	cbblb1	Izam repu	un	l'	Izams repus	des	les	de l'	à l'
_C90C9D40713ED0F2	cbblb2	Izam commun	un	l'	Izams communs	des	les	de l'	à l'
_C79C952F713DBCFC	cbblb3	Izam gavé	un	l'	Izams gavés	des	les	de l'	à l'
_5C94A48512C7BBB4	cbblb4	Izam intimidant	un	l'	Izams intimidants	des	les	de l'	à l'
_5C94A48512C7AFB5	cbblc1	Izam vigilant	un	l'	Izams vigilants	des	les	de l'	à l'
_1A672C0CAD070B5A	cbblc2	Izam vorace	un	l'	Izams voraces	des	les	de l'	à l'
_1A6704122909EF64	cbblc3	Izam pilleur	un	l'	Izams pilleurs	des	les	de l'	à l'
_CD4DE533722DE0F3	cbblc4	Izam pénétrant	un	l'	Izams pénétrants	des	les	de l'	à l'
_CD4DE533722DD4F4	cbbld1	Izam brutal	un	l'	Izams brutaux	des	les	de l'	à l'
_8DED2533762DE4FE	cbbld2	Izam malveillant	un	l'	Izams malveillants	des	les	de l'	à l'
_C49089F85F899422	cbbld3	Izam moqueur	un	l'	Izams moqueurs	des	les	de l'	à l'
_028E2DFBA4899822	cbbld4	Izam charognard	un	l'	Izams charognards	des	les	de l'	à l'
_1BD71C17AF483758	cbbpa1	Izam novice	un	l'	Izams novices	des	les	de l'	à l'
_CE5D1531B14D9C06	cbbpa2	Izam secondaire	un	l'	Izams secondaires	des	les	de l'	à l'
_322F251B2B49272F	cbbpa3	Izam tempéré	un	l'	Izams tempérés	des	les	de l'	à l'
_4A075A31089F84F5	cbbpa4	Izam grandissant	un	l'	Izams grandissants	des	les	de l'	à l'
_4A075A31089F78F6	cbbpb1	Izam repu	un	l'	Izams repus	des	les	de l'	à l'
_816E11FD60E8C024	cbbpb2	Izam commun	un	l'	Izams communs	des	les	de l'	à l'
_103F1DFDF2B0F60A	cbbpb3	Izam gavé	un	l'	Izams gavés	des	les	de l'	à l'
_B0CF0D172A871330	cbbpb4	Izam intimidant	un	l'	Izams intimidants	des	les	de l'	à l'
_B0CF0D172A870731	cbbpc1	Izam vigilant	un	l'	Izams vigilants	des	les	de l'	à l'
_8C9F85EFEEB0F201	cbbpc2	Izam vorace	un	l'	Izams voraces	des	les	de l'	à l'
_37173233C25A8CD8	cbbpc3	Izam pilleur	un	l'	Izams pilleurs	des	les	de l'	à l'
_463F850D20C89821	cbbpc4	Izam pénétrant	un	l'	Izams pénétrants	des	les	de l'	à l'
_463F850D20C88C22	cbbpd1	Izam brutal	un	l'	Izams brutaux	des	les	de l'	à l'
_8C9F5513F230F202	cbbpd2	Izam malveillant	un	l'	Izams malveillants	des	les	de l'	à l'
_0A0CB14171EEC4EE	cbbpd3	Izam moqueur	un	l'	Izams moqueurs	des	les	de l'	à l'
