*HASH_VALUE	sbrick ID	name	description	description2
_317C7AE56A9D7215	BFMC11	Прицельный удар 11	Сокращает вероятность того, что противнику удастся увернуться от вашего удара - максимальная эффективность для оружия, уровень которого не превышает 275.	Прицельный удар 11 - Максимальный бонус к навыку: +$1ATT_SKILL_MOD
_BB2D99222769E2C3	BFMD01	Кровотечение 1	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 25.	Кровотечение 1 - Максимальный фактор: $2BLEED_FACTOR
_BB2D9922A769EAC3	BFMD02	Кровотечение 2	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 35.	Кровотечение 2 - Максимальный фактор: $2BLEED_FACTOR
_BB2D991D6869F2C3	BFMD03	Кровотечение 3	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 50.	Кровотечение 3 - Максимальный фактор: $2BLEED_FACTOR
_BB2D9922E969FAC3	BFMD04	Кровотечение 4	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 65.	Кровотечение 4 - Максимальный фактор: $2BLEED_FACTOR
_BB2D991DEA6902C3	BFMD05	Кровотечение 5	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 90.	Кровотечение 5 - Максимальный фактор: $2BLEED_FACTOR
_D9A604BEB1BB0CC5	BFMD06	Кровотечение 6	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 115.	Кровотечение 6 - Максимальный фактор: $2BLEED_FACTOR
_D9A6F0C1F1CB10C5	BFMD07	Кровотечение 7	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 140.	Кровотечение 7 - Максимальный фактор: $2BLEED_FACTOR
_D9A604C332DB14C5	BFMD08	Кровотечение 8	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 165.	Кровотечение 8 - Максимальный фактор: $2BLEED_FACTOR
_D9A6F0BDB2EB18C5	BFMD09	Кровотечение 9	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 200.	Кровотечение 9 - Максимальный фактор: $2BLEED_FACTOR
_F94EC548C8D1F16F	BFMD10	Кровотечение 10	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 235.	Кровотечение 10 - Максимальный фактор: $2BLEED_FACTOR
_F94ED54AC8D1F56F	BFMD11	Кровотечение 11	Вызывает эффект кровотечения; периодическое повреждение, зависящее от урона, нанесенного ударом - максимальная эффективность для оружия, уровень которого не превышает 275.	Кровотечение 11 - Максимальный фактор: $2BLEED_FACTOR
_FB23D9FEEEB2F0F1	BFCA01	Штраф на стойкость 1	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 6 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA1191CCDA	BFCA02	Штраф на стойкость 2	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 10 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA1101D0DB	BFCA03	Штраф на стойкость 3	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 16 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA11B1D8DC	BFCA04	Штраф на стойкость 4	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 20 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA1121DCDD	BFCA05	Штраф на стойкость 5	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 26 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA11D1E4DE	BFCA06	Штраф на стойкость 6	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 30 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA11E1ECDF	BFCA07	Штраф на стойкость 7	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 40 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA11F1F4E0	BFCA08	Штраф на стойкость 8	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 50 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_8E9224BA1161FCE1	BFCA09	Штраф на стойкость 9	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 66 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_736A4DC80A3C7E15	BFCA10	Штраф на стойкость 10	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 80 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C383325EE8	BFCA11	Штраф на стойкость 11	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 100 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C5C34262E8	BFCA12	Штраф на стойкость 12	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 120 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C7035266E8	BFCA13	Штраф на стойкость 13	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 140 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C944626AE8	BFCA14	Штраф на стойкость 14	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 160 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200CB84726EE8	BFCA15	Штраф на стойкость 15	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 180 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C3048272E8	BFCA16	Штраф на стойкость 16	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 200 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613218C5449276E8	BFCA17	Штраф на стойкость 17	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 226 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_613200C885A27AE8	BFCA18	Штраф на стойкость 18	"Расходует '$0STA_WEIGHT_FACTOR * вес оружия"" стойкости - обеспечивает 250 очков балансировки."	Фактор использования: $0STA_WEIGHT_FACTOR
_19E43C71CB935350	BFCB01	Штраф на здоровье 1	Расходует $|HP единиц здоровья - обеспечивает  10 очков балансировки.	Расходует $|HP единиц здоровья
_19E43C71CBB35750	BFCB02	Штраф на здоровье 2	Расходует $|HP единиц здоровья - обеспечивает  20 очков балансировки.	Расходует $|HP единиц здоровья
_19E43C710CD35B50	BFCB03	Штраф на здоровье 3	Расходует $|HP единиц здоровья - обеспечивает  35 очков балансировки.	Расходует $|HP единиц здоровья
_19E43C71CB035F50	BFCB04	Штраф на здоровье 4	Расходует $|HP единиц здоровья - обеспечивает  50 очков балансировки.	Расходует $|HP единиц здоровья
_19E43C710C336350	BFCB05	Штраф на здоровье 5	Расходует $|HP единиц здоровья - обеспечивает  75 очков балансировки.	Расходует $|HP единиц здоровья
_A9ACCA5B0C310C44	BFCB06	Штраф на здоровье 6	Расходует $|HP единиц здоровья - обеспечивает  100 очков балансировки.	Расходует $|HP единиц здоровья
_A9ACCA608C411044	BFCB07	Штраф на здоровье 7	Расходует $|HP единиц здоровья - обеспечивает  125 очков балансировки.	Расходует $|HP единиц здоровья
_A9ACCA5B4D511444	BFCB08	Штраф на здоровье 8	Расходует $|HP единиц здоровья - обеспечивает  150 очков балансировки.	Расходует $|HP единиц здоровья
_A9ACCA60CD611844	BFCB09	Штраф на здоровье 9	Расходует $|HP единиц здоровья - обеспечивает  175 очков балансировки.	Расходует $|HP единиц здоровья
_77C891279775C79F	BFCB10	Штраф на здоровье 10	Расходует $|HP единиц здоровья - обеспечивает  200 очков балансировки.	Расходует $|HP единиц здоровья
_FBD166D630AAB50C	BFCC01	Действие после уклонения 1	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 10 очков балансировки.	Действие после уклонения 1
_FBE166D770AAB90C	BFCC02	Действие после уклонения 2	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 20 очков балансировки.	Действие после уклонения 2
_FBF17AD8B0AABD0C	BFCC03	Действие после уклонения 3	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 35 очков балансировки.	Действие после уклонения 3
_FB0166DAF1AAC10C	BFCC04	Действие после уклонения 4	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 50 очков балансировки.	Действие после уклонения 4
_FB117ADC31AAC50C	BFCC05	Действие после уклонения 5	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 75 очков балансировки.	Действие после уклонения 5
_553B754EA96FF9D4	BFCC06	Действие после уклонения 6	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 100 очков балансировки.	Действие после уклонения 6
_559B7D4FA96FFDD4	BFCC07	Действие после уклонения 7	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 125 очков балансировки.	Действие после уклонения 7
_555B8950A96F01D4	BFCC08	Действие после уклонения 8	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 150 очков балансировки.	Действие после уклонения 8
_556B9551A96F05D4	BFCC09	Действие после уклонения 9	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 180 очков балансировки.	Действие после уклонения 9
_666B19F81300ED7B	BFCC10	Действие после уклонения 10	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 215 очков балансировки.	Действие после уклонения 10
_65BB19F81300F17B	BFCC11	Действие после уклонения 11	Действие может быть использовано только после того, как вам удалось уклониться от удара противника - обеспечивает 250 очков балансировки.	Действие после уклонения 11
_3CB296EAF3CCF931	BFCD01	Действие после парирования 1	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 10 очков балансировки.	Действие после парирования 1
_3CC296EB33CCFD31	BFCD02	Действие после парирования 2	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 20 очков балансировки.	Действие после парирования 2
_3CD2AAEC73CC0131	BFCD03	Действие после парирования 3	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 35 очков балансировки.	Действие после парирования 3
_3CE296EEB4CC0531	BFCD04	Действие после парирования 4	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 50 очков балансировки.	Действие после парирования 4
_3CF2AAF0F4CC0931	BFCD05	Действие после парирования 5	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 75 очков балансировки.	Действие после парирования 5
_90BD75626CD219FC	BFCD06	Действие после парирования 6	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 100 очков балансировки.	Действие после парирования 6
_901D7D636CD21DFC	BFCD07	Действие после парирования 7	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 125 очков балансировки.	Действие после парирования 7
_90DD89646CD221FC	BFCD08	Действие после парирования 8	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 150 очков балансировки.	Действие после парирования 8
_90ED95656CD225FC	BFCD09	Действие после парирования 9	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 180 очков балансировки.	Действие после парирования 9
_AD6B190CE043256B	BFCD10	Действие после парирования 10	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 215 очков балансировки.	Действие после парирования 10
_ACBB190CE043296B	BFCD11	Действие после парирования 11	Действие может быть использовано только после того, как вам удалось парировать удар противника - обеспечивает 250 очков балансировки.	Действие после парирования 11
_2620283E907F0041	BFCE01	Действие после критического попадания 1	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 10 очков балансировки.	Действие после критического попадания 1
_6620303E907F0441	BFCE02	Действие после критического попадания 2	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 20 очков балансировки.	Действие после критического попадания 2
_A620383E907F0846	BFCE03	Действие после критического попадания 3	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 35 очков балансировки.	Действие после критического попадания 3
_2720403E907F0C41	BFCE04	Действие после критического попадания 4	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 50 очков балансировки.	Действие после критического попадания 4
_A720483E907F1046	BFCE05	Действие после критического попадания 5	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 75 очков балансировки.	Действие после критического попадания 5
_F3D22CA7BCA62952	BFCE06	Действие после критического попадания 6	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 100 очков балансировки.	Действие после критического попадания 6
_F3E230A7BCA64154	BFCE07	Действие после критического попадания 7	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 125 очков балансировки.	Действие после критического попадания 7
_F3F234A7BCA63157	BFCE08	Действие после критического попадания 8	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 150 очков балансировки.	Действие после критического попадания 8
_F30238A7BCA6355A	BFCE09	Действие после критического попадания 9	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 180 очков балансировки.	Действие после критического попадания 9
_07A7CFEAB83F97CB	BFCE10	Действие после критического попадания 10	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 215 очков балансировки.	Действие после критического попадания 10
_07B7CFEAB8EFABCC	BFCE11	Действие после критического попадания 11	Действие может быть использовано только после того, как вам удалось нанести противнику критический удар - обеспечивает 250 очков балансировки.	Действие после критического попадания 11
_7CAAB8240F2852AF	BCPA01	Оружие ближнего боя файросов	Базовая станза для изготовления оружия ближнего боя файросов.	
_7CCAC020D04846B4	BCPA02	Оружие дальнего боя файросов	Базовая станза для изготовления оружия дальнего боя файросов.	
_FA21B3A084126C07	BCPA03	Заряды файросов	Базовая станза для изготовления зарядов файросов.	
_25196EB206B0AE60	BCPA04	Доспехи файросов	Базовая станза для изготовления доспехов файросов.	
_D035D75A6F679DD2	BCPA05	Щиты файросов	Базовая станза для изготовления щитов файросов.	
_A3BA3AB584518263	BCPA06	Украшения файросов	Базовая станза для изготовления украшений файросов.	
_FD29BC2609986AA9	BCPA07	Оружие ближнего боя матисов	Базовая станза для изготовления оружия ближнего боя матисов.	
_FD49C422CAB85EAE	BCPA08	Оружие дальнего боя матисов	Базовая станза для изготовления оружия дальнего боя матисов.	
_3C90679E7E828407	BCPA09	Матисские заряды	Базовая станза для изготовления матисских зарядов	
_1F8956B400208663	BCPA10	Доспехи матисов	Базовая станза для изготовления доспехов матисов.	
_9235BF5C697795BB	BCPA11	Щиты матисов	Базовая станза для изготовления щитов матисов.	
_9D2A22B77EC15A66	BCPA12	Украшения матисов	Базовая станза для изготовления украшений матисов.	
_EFA2E45EC839A0ED	BCPA13	 Оружие ближнего боя трайкеров	Базовая станза для изготовления оружия ближнего боя трайкеров.	
_6F62F86048F9B8EF	BCPA14	Оружие дальнего боя трайкеров	Базовая станза для изготовления оружия дальнего боя трайкеров.	
_1F7CA72E11F2FCDE	BCPA15	Заряды трайкеров	Базовая станза для изготовления зарядов трайкеров.	
_2AE232B62C7AAD81	BCPA16	Доспехи трайкеров	Базовая станза для изготовления доспехов трайкеров.	
_8C676CECB2765E46	BCPA17	Щиты трайкеров	Базовая станза для изготовления щитов трайкеров.	
_E7721AACAE48B18B	BCPA18	Украшения трайкеров	Базовая станза для изготовления украшений трайкеров.	
_7CD0D0248C694AA2	BCPA19	Оружие ближнего боя Зораи	Базовая станза для изготовления оружия ближнего боя Зораи.	
_7CF0D8204D8916A8	BCPA20	Оружие дальнего боя Зораи	Базовая станза для изготовления оружия дальнего боя Зораи.	
_77E853B4015364FF	BCPA21	Заряды Зораи	Базовая станза для изготовления зарядов Зораи.	
_A22136B283506E62	BCPA22	Доспехи Зораи	Базовая станза для изготовления доспехов Зораи.	
_D5FC9F5A6AC895CA	BCPA23	Щиты Зораи	Базовая станза для изготовления щитов Зораи.	
_20C202B501F14265	BCPA24	Украшения Зораи	Базовая станза для изготовления украшений Зораи.	
_F2BD00EFAB473B2A	BIF01	%comp		
_F2BD00EFAB473B2B	BIF02	%comp		
_F2BD00EFAB473B2C	BIF03	%comp		
_F2BD00EFAB473B2D	BIF04	%comp		
_F2BD00EFAB473B2E	BIF05	%comp		
_F2BD00EFAB473B2F	BIF06	%comp		
_4414D1D754F87749	BIF07	%comp с одноручной палицей		
_F2BD00EFAB473B31	BIF08	%comp		
_1310C067D555CE38	BIF09	%comp с посохом		
_32BD00EFAB473B29	BIF10	%comp		
_32BD00EFAB473B2A	BIF11	%comp		
_32BD00EFAB473B2B	BIF12	%comp		
_32BD00EFAB473B2C	BIF13	%comp		
_1250B067D555BA40	BIF14	%comp с копьем		
_32BD00EFAB473B2E	BIF15	%comp		
_32BD00EFAB473B2F	BIF16	%comp		
_32BD00EFAB473B30	BIF17	%comp		
_81BEC5CB19B87F61	BIF18	%comp с одноручным топором		
_32BD00EFAB473B32	BIF19	%comp		
_9E4401C415C9A758	BIF20	%comp с одноручным мечом		
_72BD00EFAB473B2A	BIF21	%comp с одноручным мечом		
_72BD00EFAB473B2B	BIF22	%comp		
_72BD00EFAB473B2C	BIF23	%comp		
_72BD00EFAB473B2D	BIF24	%comp		
_72BD00EFAB473B2E	BIF25	%comp		
_C4B4F5DC54F87748	BIF26	%comp с двуручной палицей		
_72BD00EFAB473B30	BIF27	%comp		
_72BD00EFAB473B31	BIF28	%comp		
_72BD00EFAB473B32	BIF29	%comp		
_CE80B0411778CA2A	BIF30	%comp с пикой		
_B2BD00EFAB473B2A	BIF31	%comp		
_B2BD00EFAB473B2B	BIF32	%comp		
_B2BD00EFAB473B2C	BIF33	%comp		
_015EE9D019B87F5D	BIF34	%comp с двуручным топором		
_B2BD00EFAB473B2E	BIF35	%comp		
_B2BD00EFAB473B2F	BIF36	%comp		
_B2BD00EFAB473B30	BIF37	%comp		
_DEE425C915C9A760	BIF38	%comp с двуручным мечом		
_B2BD00EFAB473B32	BIF39	%comp с двуручным мечом		
_F3BD00EFAB473B29	BIF40	%comp		
_F3BD00EFAB473B2A	BIF41	%comp		
_F3BD00EFAB473B2B	BIF42	%comp		
_F3BD00EFAB473B2C	BIF43	%comp		
_1500005B4915FE48	BIF44	%comp с кинжалом		
_F3BD00EFAB473B2E	BIF45	%comp с кинжалом		
_F3BD00EFAB473B2F	BIF46	%comp		
_747975A146FE6454	BIF47	%comp с навыками рукопашного боя		
_F3BD00EFAB473B31	BIF48	%comp		
_F3BD00EFAB473B32	BIF49	%comp		
_33BD00EFAB473B29	BIF50	%comp		
_33BD00EFAB473B2A	BIF51	%comp		
_6024285D4F973B69	BIF52	%comp с самострелом		
_33BD00EFAB473B2C	BIF53	%comp		
_33BD00EFAB473B2D	BIF54	%comp		
_33BD00EFAB473B2E	BIF55	%comp		
_99C120674935EA54	BIF56	%comp с пистолетом		
_33BD00EFAB473B30	BIF57	%comp		
_33BD00EFAB473B31	BIF58	%comp		
_33BD00EFAB473B32	BIF59	%comp		
_73BD00EFAB473B29	BIF60	%comp		
_E1035C53D799BB67	BIF61	%comp с автометателем		
_73BD00EFAB473B2B	BIF62	%comp		
_73BD00EFAB473B2C	BIF63	%comp		
_5F637452C9E62348	BIF64	%comp с арбалетом		
_73BD00EFAB473B2E	BIF65	%comp		
_73BD00EFAB473B2F	BIF66	%comp		
_73BD00EFAB473B30	BIF67	%comp		
_5E433C5C0C762B46	BIF68	%comp с метателем		
_73BD00EFAB473B32	BIF69	%comp		
_B3BD00EFAB473B29	BIF70	%comp		
_56609466D555AE36	BIF71	%comp с ружьем		
_B3BD00EFAB473B2B	BIF72	%comp		
_B3BD00EFAB473B2C	BIF73	%comp		
_B3BD00EFAB473B2D	BIF74	%comp		
_B3BD00EFAB473B2E	BIF75	%comp		
_B3BD00EFAB473B2F	BIF76	%comp		
_B3BD00EFAB473B30	BIF77	%comp		
_B3BD00EFAB473B31	BIF78	%comp		
_B3BD00EFAB473B32	BIF79	%comp		
_F4BD00EFAB473B29	BIF80	%comp		
_F4BD00EFAB473B2A	BIF81	%comp		
_F4BD00EFAB473B2B	BIF82	%comp		
_F4BD00EFAB473B2C	BIF83	%comp		
_F4BD00EFAB473B2D	BIF84	%comp		
_F4BD00EFAB473B2E	BIF85	%comp		
_F4BD00EFAB473B2F	BIF86	%comp		
_F4BD00EFAB473B30	BIF87	%comp		
_F4BD00EFAB473B31	BIF88	%comp		
_F4BD00EFAB473B32	BIF89	%comp		
_34BD00EFAB473B29	BIF90	%comp		
_34BD00EFAB473B2A	BIF91	%comp		
_34BD00EFAB473B2B	BIF92	%comp		
_34BD00EFAB473B2C	BIF93	%comp		
_34BD00EFAB473B2D	BIF94	%comp		
_34BD00EFAB473B2E	BIF95	%comp		
_34BD00EFAB473B2F	BIF96	%comp		
_34BD00EFAB473B30	BIF97	%comp		
_34BD00EFAB473B31	BIF98	%comp		
_34BD00EFAB473B32	BIF99	%comp		
_B8DBDDF723F4A6CE	BIF100	%comp		
_B8DBDDF723F4AACE	BIF101	%comp		
_B8DBDDF723F4AECE	BIF102	%comp		
_B8DBDDF723F4B2CE	BIF103	%comp		
_B8DBDDF723F4B6CE	BIF104	%comp		
_B8DBDDF723F4BACE	BIF105	%comp		
_B8DBDDF723F4BECE	BIF106	%comp		
_B8DBDDF723F4C2CE	BIF107	%comp		
