// HASH_VALUE 48835A17757D34E5
// INDEX 0
abandon_mission	[&TSK&Вы прервали выполнение задания.]
avalae_city_welcomer_1_p_bc_answer_f_11	[Бойцов в нашем городе бойцов тренирует $trainer_f_1$. Я отметил его местонахождение на вашей карте.]

// HASH_VALUE 17D336E0B502A063
// INDEX 21
avalae_city_welcomer_1_p_bc_answer_h_11	[Добытчиков в нашем городе обучает $trainer_h_1$. Я отметил его местонахождение на вашей карте.]

// HASH_VALUE AEB41AFC02194B87
// INDEX 22
avalae_city_welcomer_1_p_bc_answer_m_11	[Магов в нашем городе обучает $trainer_m_1$. Я отметил его местонахождение на вашей карте.]

// HASH_VALUE FEDDC1FE03FA52D5
// INDEX 23
avalae_city_welcomer_1_p_t2_welcomer	[Я хочу найти здесь кое-кого]

// HASH_VALUE FEDDC1FE03FA52D5
// INDEX 24
avendale_city_welcomer_1_p_t2_welcomer	[Я хочу найти здесь кое-кого]

// HASH_VALUE F06437AAAFD6D17B
// INDEX 25
bag_full	[&CHK&Ваш инвентарь переполнен, в нем $qty$ предметов.]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 26
boss_mainland_craftpart1a_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 27
boss_mainland_craftpart1a_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 417E20DE871D19A4
// INDEX 28
boss_mainland_craftpart1a_mission_intro	[Восстановите чертежи ботинок]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 29
boss_mainland_craftpart1a_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 30
boss_mainland_craftpart1a_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 31
boss_mainland_craftpart1b_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 32
boss_mainland_craftpart1b_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 417E20DE871D19A4
// INDEX 33
boss_mainland_craftpart1b_mission_intro	[Восстановите чертежи ботинок]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 34
boss_mainland_craftpart1b_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 35
boss_mainland_craftpart1b_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 36
boss_mainland_craftpart1c_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 37
boss_mainland_craftpart1c_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 417E20DE871D19A4
// INDEX 38
boss_mainland_craftpart1c_mission_intro	[Восстановите чертежи ботинок]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 39
boss_mainland_craftpart1c_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 40
boss_mainland_craftpart1c_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 41
boss_mainland_craftpart1d_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 42
boss_mainland_craftpart1d_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 417E20DE871D19A4
// INDEX 43
boss_mainland_craftpart1d_mission_intro	[Восстановите чертежи ботинок]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 44
boss_mainland_craftpart1d_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 45
boss_mainland_craftpart1d_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 46
boss_mainland_craftpart2a_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 47
boss_mainland_craftpart2a_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 441EF4D6856E56A4
// INDEX 48
boss_mainland_craftpart2a_mission_intro	[Восстановите чертежи рукавиц]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 49
boss_mainland_craftpart2a_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 50
boss_mainland_craftpart2a_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 51
boss_mainland_craftpart2b_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 52
boss_mainland_craftpart2b_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 441EF4D6856E56A4
// INDEX 53
boss_mainland_craftpart2b_mission_intro	[Восстановите чертежи рукавиц]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 54
boss_mainland_craftpart2b_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 55
boss_mainland_craftpart2b_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 56
boss_mainland_craftpart2c_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 57
boss_mainland_craftpart2c_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 441EF4D6856E56A4
// INDEX 58
boss_mainland_craftpart2c_mission_intro	[Восстановите чертежи рукавиц]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 59
boss_mainland_craftpart2c_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 60
boss_mainland_craftpart2c_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 61
boss_mainland_craftpart2d_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 62
boss_mainland_craftpart2d_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 441EF4D6856E56A4
// INDEX 63
boss_mainland_craftpart2d_mission_intro	[Восстановите чертежи рукавиц]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 64
boss_mainland_craftpart2d_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 65
boss_mainland_craftpart2d_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 66
boss_mainland_craftpart3a_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 67
boss_mainland_craftpart3a_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 42BCECE200FD83D3
// INDEX 68
boss_mainland_craftpart3a_mission_intro	[Восстановите чертежи шлема]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 69
boss_mainland_craftpart3a_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 70
boss_mainland_craftpart3a_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 71
boss_mainland_craftpart3b_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 72
boss_mainland_craftpart3b_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 42BCECE200FD83D3
// INDEX 73
boss_mainland_craftpart3b_mission_intro	[Восстановите чертежи шлема]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 74
boss_mainland_craftpart3b_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 75
boss_mainland_craftpart3b_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 76
boss_mainland_craftpart3c_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 77
boss_mainland_craftpart3c_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 42BCECE200FD83D3
// INDEX 78
boss_mainland_craftpart3c_mission_intro	[Восстановите чертежи шлема]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 79
boss_mainland_craftpart3c_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 80
boss_mainland_craftpart3c_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 81
boss_mainland_craftpart3d_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 82
boss_mainland_craftpart3d_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 42BCECE200FD83D3
// INDEX 83
boss_mainland_craftpart3d_mission_intro	[Восстановите чертежи шлема]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 84
boss_mainland_craftpart3d_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 85
boss_mainland_craftpart3d_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 86
boss_mainland_craftpart4a_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 87
boss_mainland_craftpart4a_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 01EE04E4461D51A4
// INDEX 88
boss_mainland_craftpart4a_mission_intro	[Восстановите чертежи поножей]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 89
boss_mainland_craftpart4a_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 90
boss_mainland_craftpart4a_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 91
boss_mainland_craftpart4b_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 92
boss_mainland_craftpart4b_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 01EE04E4461D51A4
// INDEX 93
boss_mainland_craftpart4b_mission_intro	[Восстановите чертежи поножей]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 94
boss_mainland_craftpart4b_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 95
boss_mainland_craftpart4b_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 96
boss_mainland_craftpart4c_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 97
boss_mainland_craftpart4c_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 01EE04E4461D51A4
// INDEX 98
boss_mainland_craftpart4c_mission_intro	[Восстановите чертежи поножей]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 99
boss_mainland_craftpart4c_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 100
boss_mainland_craftpart4c_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 101
boss_mainland_craftpart4d_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 102
boss_mainland_craftpart4d_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 01EE04E4461D51A4
// INDEX 103
boss_mainland_craftpart4d_mission_intro	[Восстановите чертежи поножей]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 104
boss_mainland_craftpart4d_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 105
boss_mainland_craftpart4d_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 106
boss_mainland_craftpart5a_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 107
boss_mainland_craftpart5a_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 01EE49E9073D49A4
// INDEX 108
boss_mainland_craftpart5a_mission_intro	[Восстановите чертежи наручей]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 109
boss_mainland_craftpart5a_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 110
boss_mainland_craftpart5a_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 111
boss_mainland_craftpart5b_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 112
boss_mainland_craftpart5b_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 01EE49E9073D49A4
// INDEX 113
boss_mainland_craftpart5b_mission_intro	[Восстановите чертежи наручей]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 114
boss_mainland_craftpart5b_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 115
boss_mainland_craftpart5b_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 116
boss_mainland_craftpart5c_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 117
boss_mainland_craftpart5c_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 01EE49E9073D49A4
// INDEX 118
boss_mainland_craftpart5c_mission_intro	[Восстановите чертежи наручей]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 119
boss_mainland_craftpart5c_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 120
boss_mainland_craftpart5c_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 121
boss_mainland_craftpart5d_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 122
boss_mainland_craftpart5d_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 01EE49E9073D49A4
// INDEX 123
boss_mainland_craftpart5d_mission_intro	[Восстановите чертежи наручей]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 124
boss_mainland_craftpart5d_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 125
boss_mainland_craftpart5d_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 126
boss_mainland_craftpart6a_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 127
boss_mainland_craftpart6a_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 02DE39E6F72C39CA
// INDEX 128
boss_mainland_craftpart6a_mission_intro	[Восстановите чертежи нагрудника]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 129
boss_mainland_craftpart6a_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 130
boss_mainland_craftpart6a_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 131
boss_mainland_craftpart6b_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 132
boss_mainland_craftpart6b_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 02DE39E6F72C39CA
// INDEX 133
boss_mainland_craftpart6b_mission_intro	[Восстановите чертежи нагрудника]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 134
boss_mainland_craftpart6b_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 135
boss_mainland_craftpart6b_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 136
boss_mainland_craftpart6c_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 137
boss_mainland_craftpart6c_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 02DE39E6F72C39CA
// INDEX 138
boss_mainland_craftpart6c_mission_intro	[Восстановите чертежи нагрудника]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 139
boss_mainland_craftpart6c_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 140
boss_mainland_craftpart6c_p_mis_title	[Восстановление]

// HASH_VALUE 0B373916DAB8FD18
// INDEX 141
boss_mainland_craftpart6d_diag1	[Если вы предоставите мне все необходимое и оплатите мои услуги, я готов немедленно приступить к работе.]

// HASH_VALUE 408EEF0FB55FC8D0
// INDEX 142
boss_mainland_craftpart6d_diag2	[Посмотрим... Я и раньше встречал подобное, но это было слишком давно...\n
	Это ремесленные чертежи Мародеров... Редкие... и чрезвычайно ценные!\n
	Теперь чертежи восстановлены! Хотите, я научу вас работать по ним?]

// HASH_VALUE 02DE39E6F72C39CA
// INDEX 143
boss_mainland_craftpart6d_mission_intro	[Восстановите чертежи нагрудника]

// HASH_VALUE 76BA79E6425D31FA
// INDEX 144
boss_mainland_craftpart6d_p_mis_desc	[Заплатите]

// HASH_VALUE 000E5DDA442B04E9
// INDEX 145
boss_mainland_craftpart6d_p_mis_title	[Восстановление]

// HASH_VALUE 04BCC4DCC8ED9B26
// INDEX 146
boss_mainland_fyros_engage	[Смерть неприятелю!]

// HASH_VALUE BB4A1FC7352D680F
// INDEX 147
boss_mainland_fyros_finalfight	[Остались только ты... и Я!]

// HASH_VALUE B735D3DC7ED235A8
// INDEX 148
boss_mainland_fyros_realagro	[Ты обнаружил мою истинную сущность... Готовься к расплате!]

// HASH_VALUE F28C8DE0F80BFA00
// INDEX 149
boss_mainland_fyros_word1	[Так ты]

// HASH_VALUE 48CC0000380CA0E0
// INDEX 150
boss_mainland_fyros_word2	[и правда]

// HASH_VALUE 869D110300FEAF1D
// INDEX 151
boss_mainland_fyros_word3	[думаешь]

// HASH_VALUE C95EA72E88EF9629
// INDEX 152
boss_mainland_fyros_word4	[что]

// HASH_VALUE 488C7024444C9018
// INDEX 153
boss_mainland_fyros_word5	[способен]

// HASH_VALUE C60D080B01CD8221
// INDEX 154
boss_mainland_fyros_word6	[одолеть]

// HASH_VALUE 544CD010544CD010
// INDEX 155
boss_mainland_fyros_word7	[меня]

// HASH_VALUE 8E9C3A0F422CE1D3
// INDEX 156
boss_mainland_matis_trick1_01	[Прощу пощады! Умоляю!]

// HASH_VALUE 78FD3ADF75DDB1E1
// INDEX 157
boss_mainland_matis_trick1_02	[Подожди! Разойдемся друзьями!]

// HASH_VALUE 8E7DF63D406D41C3
// INDEX 158
boss_mainland_matis_trick1_03	[Ты слишком силен для меня! Я сдаюсь!]

// HASH_VALUE A151B15635C0E686
// INDEX 159
boss_mainland_matis_trick1_04	[Ха-ха-ха! Какое благородство... умрите, глупцы!]

// HASH_VALUE E0176CE1F1B3169E
// INDEX 160
boss_mainland_matis_trick1_05	[Что?! Как ты смеешь нанести удар поверженному противнику?]

// HASH_VALUE C0CF1204B62908D5
// INDEX 161
boss_mainland_matis_trick2_01	[Нет-нет, ты понял все совершенно неправильно! Двойка по хореографии!]

// HASH_VALUE B85C0C0F3A3EBEE6
// INDEX 162
boss_mainland_matis_trick2_02	[Потрясающе! Вечеринка начинаеся!]

// HASH_VALUE 48CC90E432AA3208
// INDEX 163
boss_mainland_matis_trick2_03	[Файрос повержен!]

// HASH_VALUE 400E1ED3362934EB
// INDEX 164
boss_mainland_matis_trick2_04	[Матис повержен!]

// HASH_VALUE FC6E4EDC77D934E2
// INDEX 165
boss_mainland_matis_trick2_05	[Зораи повержен!]

// HASH_VALUE 3B0DFDB2BA0D1508
// INDEX 166
boss_mainland_matis_trick2_06	[Трайкер повержен!]

// HASH_VALUE 84F2653ACA7F2127
// INDEX 167
boss_mainland_matis_trick2_07	[Тебе не наскучил поединок? Давай прервемся.]

// HASH_VALUE 985BE510888AC34E
// INDEX 168
boss_mainland_matis_trick3_01	[Раз меня удостоили аудиенции, думаю, самое время рассказать мою историю. Рассаживайтесь поудобнее, я начинаю!]

// HASH_VALUE BD743C1756C88128
// INDEX 169
boss_mainland_matis_trick3_02	[Давным-давно, на просторах Атиса, горстка злосчастных авантюристов решила покончить с самой свирепой бандой, которую только носила земля.]

// HASH_VALUE 20924D2ECA0E4831
// INDEX 170
boss_mainland_matis_trick3_03	[Берегись! Перед тобой... Аэн, Клинок пустыни!]

// HASH_VALUE 43AD74A6B59B800D
// INDEX 171
boss_mainland_matis_trick3_04	[Свирепая Ликси!]

// HASH_VALUE 3DACA5BEFF5D41DE
// INDEX 172
