// HASH_VALUE 7C0DD08E0B74B048
// INDEX 0
abandon_mission	[&TSK&Vous avez abandonné une mission.]
avalae_city_welcomer_1_p_bc_answer_c_1_f	[$trainer_c_1$ entraîne les artisans de notre ville, je vous indique où la trouver sur votre carte.]

// HASH_VALUE 31B53E28471B1C77
// INDEX 21
avalae_city_welcomer_1_p_bc_answer_c_1_m	[$trainer_c_1$ entraîne les artisans de notre ville, je vous indique où le trouver sur votre carte.]

// HASH_VALUE 694C026DE9B25E81
// INDEX 22
avalae_city_welcomer_1_p_bc_answer_f_11_f	[$trainer_f_1$ entraîne les combattants de notre ville, je vous indique où la trouver sur votre carte.]

// HASH_VALUE 6A4C026DE9B25E81
// INDEX 23
avalae_city_welcomer_1_p_bc_answer_f_11_m	[$trainer_f_1$ entraîne les combattants de notre ville, je vous indique où le trouver sur votre carte.]

// HASH_VALUE FE2E595B92710E19
// INDEX 24
avalae_city_welcomer_1_p_bc_answer_h_11_f	[$trainer_h_1$ entraîne les récolteurs de notre ville, je vous indique où la trouver sur votre carte.]

// HASH_VALUE FE6E595B92710E19
// INDEX 25
avalae_city_welcomer_1_p_bc_answer_h_11_m	[$trainer_h_1$ entraîne les récolteurs de notre ville, je vous indique où le trouver sur votre carte.]

// HASH_VALUE C47255328B4B9A48
// INDEX 26
avalae_city_welcomer_1_p_bc_answer_m_11_f	[$trainer_m_1$ entraîne les magiciens de notre ville, je vous indique où la trouver sur votre carte.]

// HASH_VALUE C47265328B4B9A48
// INDEX 27
avalae_city_welcomer_1_p_bc_answer_m_11_m	[$trainer_m_1$ entraîne les magiciens de notre ville, je vous indique où le trouver sur votre carte.]

// HASH_VALUE E051EA7D1A4C9CEB
// INDEX 28
avalae_city_welcomer_1_p_t2_welcomer	[Je recherche d'autres personnes dans la ville.]

// HASH_VALUE E051EA7D1A4C9CEB
// INDEX 29
avendale_city_welcomer_1_p_t2_welcomer	[Je recherche d'autres personnes dans la ville.]

// HASH_VALUE B0AE5F8F58EAE81B
// INDEX 30
bag_full	[&CHK&Votre inventaire est plein, il y a $qty$ objets dedans.]

// HASH_VALUE 65885A08E7941714
// INDEX 31
boss_mainland_craftpart1a_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 32
boss_mainland_craftpart1a_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 33
boss_mainland_craftpart1a_mission_intro	[Restaurer le plan des bottes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 34
boss_mainland_craftpart1a_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 35
boss_mainland_craftpart1a_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 36
boss_mainland_craftpart1b_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 37
boss_mainland_craftpart1b_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 38
boss_mainland_craftpart1b_mission_intro	[Restaurer le plan des bottes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 39
boss_mainland_craftpart1b_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 40
boss_mainland_craftpart1b_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 41
boss_mainland_craftpart1c_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 42
boss_mainland_craftpart1c_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 43
boss_mainland_craftpart1c_mission_intro	[Restaurer le plan des bottes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 44
boss_mainland_craftpart1c_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 45
boss_mainland_craftpart1c_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 46
boss_mainland_craftpart1d_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 47
boss_mainland_craftpart1d_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AB9966A6A94AAB46
// INDEX 48
boss_mainland_craftpart1d_mission_intro	[Restaurer le plan des bottes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 49
boss_mainland_craftpart1d_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 50
boss_mainland_craftpart1d_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 51
boss_mainland_craftpart2a_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 52
boss_mainland_craftpart2a_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 637A66A061AAE359
// INDEX 53
boss_mainland_craftpart2a_mission_intro	[Restaurer le plan des gants]

// HASH_VALUE AAC95B8967D5905C
// INDEX 54
boss_mainland_craftpart2a_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 55
boss_mainland_craftpart2a_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 56
boss_mainland_craftpart2b_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 57
boss_mainland_craftpart2b_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 637A66A061AAE359
// INDEX 58
boss_mainland_craftpart2b_mission_intro	[Restaurer le plan des gants]

// HASH_VALUE AAC95B8967D5905C
// INDEX 59
boss_mainland_craftpart2b_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 60
boss_mainland_craftpart2b_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 61
boss_mainland_craftpart2c_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 62
boss_mainland_craftpart2c_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 637A66A061AAE359
// INDEX 63
boss_mainland_craftpart2c_mission_intro	[Restaurer le plan des gants]

// HASH_VALUE AAC95B8967D5905C
// INDEX 64
boss_mainland_craftpart2c_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 65
boss_mainland_craftpart2c_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 66
boss_mainland_craftpart2d_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 67
boss_mainland_craftpart2d_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 637A66A061AAE359
// INDEX 68
boss_mainland_craftpart2d_mission_intro	[Restaurer le plan des gants]

// HASH_VALUE AAC95B8967D5905C
// INDEX 69
boss_mainland_craftpart2d_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 70
boss_mainland_craftpart2d_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 71
boss_mainland_craftpart3a_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 72
boss_mainland_craftpart3a_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 67996AA3E54AF006
// INDEX 73
boss_mainland_craftpart3a_mission_intro	[Restaurer le plan du casque]

// HASH_VALUE AAC95B8967D5905C
// INDEX 74
boss_mainland_craftpart3a_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 75
boss_mainland_craftpart3a_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 76
boss_mainland_craftpart3b_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 77
boss_mainland_craftpart3b_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 67996AA3E54AF006
// INDEX 78
boss_mainland_craftpart3b_mission_intro	[Restaurer le plan du casque]

// HASH_VALUE AAC95B8967D5905C
// INDEX 79
boss_mainland_craftpart3b_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 80
boss_mainland_craftpart3b_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 81
boss_mainland_craftpart3c_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 82
boss_mainland_craftpart3c_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 67996AA3E54AF006
// INDEX 83
boss_mainland_craftpart3c_mission_intro	[Restaurer le plan du casque]

// HASH_VALUE AAC95B8967D5905C
// INDEX 84
boss_mainland_craftpart3c_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 85
boss_mainland_craftpart3c_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 86
boss_mainland_craftpart3d_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 87
boss_mainland_craftpart3d_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 67996AA3E54AF006
// INDEX 88
boss_mainland_craftpart3d_mission_intro	[Restaurer le plan du casque]

// HASH_VALUE AAC95B8967D5905C
// INDEX 89
boss_mainland_craftpart3d_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 90
boss_mainland_craftpart3d_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 91
boss_mainland_craftpart4a_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 92
boss_mainland_craftpart4a_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AE091AA62859A00F
// INDEX 93
boss_mainland_craftpart4a_mission_intro	[Restaurer le plan du pantalon]

// HASH_VALUE AAC95B8967D5905C
// INDEX 94
boss_mainland_craftpart4a_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 95
boss_mainland_craftpart4a_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 96
boss_mainland_craftpart4b_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 97
boss_mainland_craftpart4b_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AE091AA62859A00F
// INDEX 98
boss_mainland_craftpart4b_mission_intro	[Restaurer le plan du pantalon]

// HASH_VALUE AAC95B8967D5905C
// INDEX 99
boss_mainland_craftpart4b_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 100
boss_mainland_craftpart4b_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 101
boss_mainland_craftpart4c_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 102
boss_mainland_craftpart4c_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AE091AA62859A00F
// INDEX 103
boss_mainland_craftpart4c_mission_intro	[Restaurer le plan du pantalon]

// HASH_VALUE AAC95B8967D5905C
// INDEX 104
boss_mainland_craftpart4c_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 105
boss_mainland_craftpart4c_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 106
boss_mainland_craftpart4d_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 107
boss_mainland_craftpart4d_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE AE091AA62859A00F
// INDEX 108
boss_mainland_craftpart4d_mission_intro	[Restaurer le plan du pantalon]

// HASH_VALUE AAC95B8967D5905C
// INDEX 109
boss_mainland_craftpart4d_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 110
boss_mainland_craftpart4d_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 111
boss_mainland_craftpart5a_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 112
boss_mainland_craftpart5a_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 28C922A0E5195F67
// INDEX 113
boss_mainland_craftpart5a_mission_intro	[Restaurer le plan des manches]

// HASH_VALUE AAC95B8967D5905C
// INDEX 114
boss_mainland_craftpart5a_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 115
boss_mainland_craftpart5a_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 116
boss_mainland_craftpart5b_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 117
boss_mainland_craftpart5b_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 28C922A0E5195F67
// INDEX 118
boss_mainland_craftpart5b_mission_intro	[Restaurer le plan des manches]

// HASH_VALUE AAC95B8967D5905C
// INDEX 119
boss_mainland_craftpart5b_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 120
boss_mainland_craftpart5b_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 121
boss_mainland_craftpart5c_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 122
boss_mainland_craftpart5c_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 28C922A0E5195F67
// INDEX 123
boss_mainland_craftpart5c_mission_intro	[Restaurer le plan des manches]

// HASH_VALUE AAC95B8967D5905C
// INDEX 124
boss_mainland_craftpart5c_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 125
boss_mainland_craftpart5c_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 126
boss_mainland_craftpart5d_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 127
boss_mainland_craftpart5d_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE 28C922A0E5195F67
// INDEX 128
boss_mainland_craftpart5d_mission_intro	[Restaurer le plan des manches]

// HASH_VALUE AAC95B8967D5905C
// INDEX 129
boss_mainland_craftpart5d_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 130
boss_mainland_craftpart5d_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 131
boss_mainland_craftpart6a_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 132
boss_mainland_craftpart6a_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE EC7A2AA895599006
// INDEX 133
boss_mainland_craftpart6a_mission_intro	[Restaurer le plan de la veste]

// HASH_VALUE AAC95B8967D5905C
// INDEX 134
boss_mainland_craftpart6a_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 135
boss_mainland_craftpart6a_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 136
boss_mainland_craftpart6b_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 137
boss_mainland_craftpart6b_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE EC7A2AA895599006
// INDEX 138
boss_mainland_craftpart6b_mission_intro	[Restaurer le plan de la veste]

// HASH_VALUE AAC95B8967D5905C
// INDEX 139
boss_mainland_craftpart6b_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 140
boss_mainland_craftpart6b_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 141
boss_mainland_craftpart6c_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 142
boss_mainland_craftpart6c_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE EC7A2AA895599006
// INDEX 143
boss_mainland_craftpart6c_mission_intro	[Restaurer le plan de la veste]

// HASH_VALUE AAC95B8967D5905C
// INDEX 144
boss_mainland_craftpart6c_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 145
boss_mainland_craftpart6c_p_mis_title	[Restauration]

// HASH_VALUE 65885A08E7941714
// INDEX 146
boss_mainland_craftpart6d_diag1	[Très bien.\n
	Donnez-moi les morceaux de l'ouvrage à restaurer ainsi que mon paiement et je me mettrai au travail immédiatement.]

// HASH_VALUE 431F17AD55892CC7
// INDEX 147
boss_mainland_craftpart6d_diag2	[Laissez-moi voir... J'ai déjà vu un exemplaire semblable il y a peu de temps.\n
	C'est un plan d'armure du Maraudeur ! Rare... D'une grande valeur...\n
	Le voici restauré ! Je peux maintenant vous apprendre à fabriquer cette armure.]

// HASH_VALUE EC7A2AA895599006
// INDEX 148
boss_mainland_craftpart6d_mission_intro	[Restaurer le plan de la veste]

// HASH_VALUE AAC95B8967D5905C
// INDEX 149
boss_mainland_craftpart6d_p_mis_desc	[Effectuez le paiement]

// HASH_VALUE 2D8BA479687BE488
// INDEX 150
boss_mainland_craftpart6d_p_mis_title	[Restauration]

// HASH_VALUE 89C6AC9D4C7A6C48
// INDEX 151
boss_mainland_fyros_engage	[Occupez-vous de ces intrus !]

// HASH_VALUE F7B8701B0FF642D9
// INDEX 152
boss_mainland_fyros_finalfight	[Cette fois, c'est entre vous... et moi ! ]

// HASH_VALUE E0100F7762BD6A0B
// INDEX 153
boss_mainland_fyros_realagro	[Bravo, guerriers, car vous m'avez trouvée. Mais préparez-vous à connaître ma vraie fureur.]

// HASH_VALUE 705CF458705CF458
// INDEX 154
boss_mainland_fyros_word1	[Vous]

// HASH_VALUE AF29E0B32C4A34A8
// INDEX 155
boss_mainland_fyros_word2	[pensez]

// HASH_VALUE 685824D8749854B4
// INDEX 156
boss_mainland_fyros_word3	[vraiment]

// HASH_VALUE 6E4A28CAF17BECBA
// INDEX 157
boss_mainland_fyros_word4	[pouvoir]

// HASH_VALUE 645854B4645854B4
// INDEX 158
boss_mainland_fyros_word5	[me]

// HASH_VALUE EBDB70AA26BA80BA
// INDEX 159
boss_mainland_fyros_word6	[battre]

// HASH_VALUE 120E0E31D2222AE9
// INDEX 160
boss_mainland_fyros_word7	[Ha ha ha !]

// HASH_VALUE EB55BCB5C81E76DF
// INDEX 161
boss_mainland_matis_trick1_01	[Oh non, pitié ! Épargnez-moi !]

// HASH_VALUE AD8537B19985A0E2
// INDEX 162
boss_mainland_matis_trick1_02	[Attendez ! Nous pourrions être amis !]

