*HASH_VALUE	item ID	name	named	nameda	p	pd	pia	pda	ia	da	description
_676AABEFD822E194	iccp2rs	Zerschneidende Gewehr-Munition	Zerschneidende Gewehr-Munition	Zerschneidende Gewehr-Munition	Zerschneidende Gewehr-Munition	Zerschneidende Gewehr-Munition	eine	die	eine	die	Gewehr-Munition in Basis-Qualität
_2318C0C7E677F487	iccr1b	Bogenpistole	Bogenpistole	Bogenpistole	Bogenpistolen	Bogenpistolen	eine	die	eine	die	Bogenpistole in Basis-Qualität
_ACF99894ECD50C64	iccr1p	Pistole	Pistole	Pistole	Pistolen	Pistolen	eine	die	eine	die	Pistole in Basis-Qualität
_860F991BEE9421EC	iccr2a	Automatikgewehr	Automatikgewehr	Automatikgewehr	Automatikgewehr	Automatikgewehr	einen	die	ein	der	Automatikgewehr in Basis-Qualität
_2D2780B469667C7D	iccr2b	Bogengewehr	Bogengewehr	Bogengewehr	Bogengewehre	Bogengewehre	ein	die	ein	das	Bogengewehr in Basis-Qualität
_2B67A4AB67A6C874	iccr2l	Granatenwerfer	Granatenwerfer	Granatenwerfer	Granatenwerfer	Granatenwerfer	einen	die	ein	der	Granatenwerfer in Basis-Qualität
_E98864A1A126044B	iccr2r	Gewehr	Gewehr	Gewehr	Gewehre	Gewehre	ein	die	ein	das	Gewehr in Basis-Qualität
_AC18B48AA53BFC92	iccsb	Beschützer	Beschützer	Beschützer	Beschützer	Beschützer	einen	die	ein	der	Beschützer in Basis-Qualität
_2708889B625888BE	iccss	Schild	Schild	Schild	Schilde	Schilde	ein	die	ein	das	Schild in Basis-Qualität
_00B44957BFFF3E82	icfahb	Kostom-Stiefel	Kostom-Stiefel	Kostom-Stiefel	Kostom-Stiefel	Kostom-Stiefel	eine	die		die	Schwere Fyros-Stiefel in Basis-Qualität
_CA11CCD4D4D5962B	icfahg	Kostom-Handschuhe	Kostom-Handschuhe	Kostom-Handschuhe	Kostom-Handschuhe	Kostom-Handschuhe	eine	die		die	Schwere Fyros-Handschuhe in Basis-Qualität
_C6F145D818C57A28	icfahh	Kostom-Helm	Kostom-Helm	Kostom-Helm	Kostom-Helme	Kostom-Helme	einen	die	ein	der	Schwerer Fyros-Helm in Basis-Qualität
_7D95454943FF7681	icfahp	Kostom-Hose	Kostom-Hose	Kostom-Hose	Kostom-Hosen	Kostom-Hosen	eine	die	eine	die	Schwere Fyros-Hose in Basis-Qualität
_00370ACA2A356E44	icfahs	Kostom-Armschützer	Kostom-Armschützer	Kostom-Armschützer	Kostom-Armschützer	Kostom-Armschützer	eine	die		die	Schwere Fyros-Armschützer in Basis-Qualität
_D1B3C577792C1176	icfahv	Kostom-Weste	Kostom-Weste	Kostom-Weste	Kostom-Westen	Kostom-Westen	eine	die	eine	die	Schwere Fyros-Weste in Basis-Qualität
_81F459523C5F3A7C	icfalb	Hoben-Stiefel	Hoben-Stiefel	Hoben-Stiefel	Hoben-Stiefel	Hoben-Stiefel	eine	die		die	Leichter Fyros-Stiefel in Basis-Qualität
_CB51CCCF51E56E39	icfalg	Hoben-Handschuhe	Hoben-Handschuhe	Hoben-Handschuhe	Hoben-Handschuhe	Hoben-Handschuhe	eine	die		die	Leichte Fyros-Handschuhe in Basis-Qualität
_FED55544C05F727B	icfalp	Hoben-Hose	Hoben-Hose	Hoben-Hose	Hoben-Hosen	Hoben-Hosen	eine	die	eine	die	Leichte Fyros-Hose in Basis-Qualität
_01370AC566B49650	icfals	Hoben-Armschützer	Hoben-Armschützer	Hoben-Armschützer	Hoben-Armschützer	Hoben-Armschützer	eine	die		die	Leichte Fyros-Armschützer in Basis-Qualität
_4E13D576F68C2179	icfalv	Hoben-Weste	Hoben-Weste	Hoben-Weste	Hoben-Westen	Hoben-Westen	eine	die	eine	die	Leichte Fyros-Weste in Basis-Qualität
_7DEF59A9E4B63247	icfamb	Rilon-Stiefel	Rilon-Stiefel	Rilon-Stiefel	Rilon-Stiefel	Rilon-Stiefel	eine	die		die	Mittelschwere Fyros-Stiefel in Basis-Qualität
_B9B27213E694725F	icfamg	Rilon-Handschuhe	Rilon-Handschuhe	Rilon-Handschuhe	Rilon-Handschuhe	Rilon-Handschuhe	eine	die		die	Mittelschwere Fyros-Handschuhe in Basis-Qualität
_C10F91A9E4B66639	icfamp	Rilon-Hose	Rilon-Hose	Rilon-Hose	Rilon-Hosen	Rilon-Hosen	eine	die	eine	die	Mittelschwere Fyros-Hose in Basis-Qualität
_47350B01AA00B6AC	icfams	Rilon-Armschützer	Rilon-Armschützer	Rilon-Armschützer	Rilon-Armschützer	Rilon-Armschützer	eine	die		die	Mittelschwere Fyros-Armschützer in Basis-Qualität
_BC826A3A4D43AA74	icfamv	Rilon-Weste	Rilon-Weste	Rilon-Weste	Rilon-Westen	Rilon-Westen	eine	die	eine	die	Mittelschwere Fyros-Weste in Basis-Qualität
_6EF8792FEABA8C07	icfja	Fyros-Fußring	Fyros-Fußring	Fyros-Fußring	Fyros-Fußringe	Fyros-Fußringe	einen	die	ein	der	Fußring in Basis-Qualität
_B76B4D85F89115DC	icfjb	Fyros-Armband	Fyros-Armband	Fyros-Armband	Fyros-Armbänder	Fyros-Armbänder	ein	die	ein	das	Armband in Basis-Qualität
_F0F87921EABA3C00	icfjd	Fyros-Diadem	Fyros-Diadem	Fyros-Diadem	Fyros-Diademe	Fyros-Diademe	ein	die	ein	das	Diadem in Basis-Qualität
_EC2B6D21F09F9DE7	icfje	Fyros-Ohrring	Fyros-Ohrring	Fyros-Ohrring	Fyros-Ohrringe	Fyros-Ohrringe	einen	die	ein	der	Ohrring in Basis-Qualität
_AFFCA1196B7D9D01	icfjp	Fyros-Anhänger	Fyros-Anhänger	Fyros-Anhänger	Fyros-Anhänger	Fyros-Anhänger	einen	die	ein	der	Anhänger in Basis-Qualität
_5A5444D1EA4A68BB	icfjr	Fyros-Ring	Fyros-Ring	Fyros-Ring	Fyros-Ringe	Fyros-Ringe	einen	die	ein	der	Ring in Basis-Qualität
_A4FB492AE1D96417	icfm1bm	Masson	Masson	Masson	Masson	Masson	einen	die	ein	der	Einhand-Streitkolben in Basis-Qualität
_76F07920E0F83C71	icfm1bs	Talus	Talus	Talus	Talus	Talus	einen	die	ein	der	Einhand-Stab in Basis-Qualität
_47A04929D41E2559	icfm1pd	Jab	Jab	Jab	Jab	Jab	einen	die	ein	der	Einhand-Dolch in Basis-Qualität
_76F0751C62970C6A	icfm1ps	Kronk	Kronk	Kronk	Kronk	Kronk	eine	die	eine	die	Einhand-Lanzen in Basis-Qualität
_AEF6A71BDF0B84FC	icfm1sa	Cleven	Cleven	Cleven	Cleven	Cleven	eine	die	eine	die	Einhand-Axt in Basis-Qualität
_C500A1D980E459E4	icfm1sab	Brennende Cleven	Brennende Cleven	Brennende Cleven	Brennende Cleven	Brennende Cleven	eine	die	eine	die	Einhand-Axt in hoher Qualität
_76F0712A66088C71	icfm1ss	Blam	Blam	Blam	Blam	Blam	ein	die	ein	das	Einhand-Schwert in Basis-Qualität
_E0C1F562292F41AC	icfm2bm	Hamp	Hamp	Hamp	Hamp	Hamp	einen	die	ein	der	Zweihand-Streitkolben in Basis-Qualität
_65FB492AE38AC820	icfm2pp	Punnel	Punnel	Punnel	Punnel	Punnel	eine	die	eine	die	Zweihand-Pike in Basis-Qualität
_F9D3499135AB3167	icfm2sa	Retch	Retch	Retch	Retch	Retch	eine	die	eine	die	Zweihand-Axt in Basis-Qualität
_89F6AEE1C6A6EEBC	icfm2sab	Brennende Retch	Brennende Retch	Brennende Retch	Brennende Retch	Brennende Retch	eine	die	eine	die	Zweihand-Axt in hoher Qualität
_1C23714C3DF4B115	icfm2ss	Stavon	Stavon	Stavon	Stavon	Stavon	ein	die	ein	das	Zweihand-Schwert in Basis-Qualität
_B4A7D7BCCC33A501	icfm2ssb	Brennendes Stavon	Brennendes Stavon	Brennendes Stavon	Brennende Stavon	Brennende Stavon	ein	die	ein	das	Zweihand-Schwert in hoher Qualität
_BA39E11E74708054	icfp1bb	Zertrümmernde Kolton-Munition	Zertrümmernde Kolton-Munition	Zertrümmernde Kolton-Munition	Zertrümmernde Kolton-Munition	Zertrümmernde Kolton-Munition	eine	die	eine	die	Zertrümmernde Bogenpistolen-Munition in Basis-Qualität
_76799529F8518043	icfp1bp	Durchbohrende Kolton-Munition	Durchbohrende Kolton-Munition	Durchbohrende Kolton-Munition	Durchbohrende Kolton-Munition	Durchbohrende Kolton-Munition	eine	die	eine	die	Durchbohrende Bogenpistolen-Munition in Basis-Qualität
_F849912FB8818048	icfp1bs	Zerschneidende Kolton-Munition	Zerschneidende Kolton-Munition	Zerschneidende Kolton-Munition	Zerschneidende Kolton-Munition	Zerschneidende Kolton-Munition	eine	die	eine	die	Zerschneidende Bogenpistolen-Munition in Basis-Qualität
_4B472DE1910E57E9	icfp1gb	Zertrümmernde Fyros-Granate	Zertrümmernde Fyros-Granate	Zertrümmernde Fyros-Granate	Zertrümmernde Fyros-Granaten	Zertrümmernden Fyros-Granaten	eine	die	eine	die	Zertrümmernde Fyros-Granaten in Basis-Qualität
_4B47E9D48EBE83F7	icfp1gp	Durchbohrende Fyros-Granate	Durchbohrende Fyros-Granate	Durchbohrende Fyros-Granate	Durchbohrende Fyros-Granaten	Durchbohrenden Fyros-Granaten	eine	die	eine	die	Durchbohrende Fyros-Granaten in Basis-Qualität
_4B47FDDACDDE9BFA	icfp1gs	Zerschneidende Fyros-Granate	Zerschneidende Fyros-Granate	Zerschneidende Fyros-Granate	Zerschneidende Fyros-Granaten	Zerschneidenden Fyros-Granaten	eine	die	eine	die	Zerschneidende Fyros-Granaten in Basis-Qualität
_7277BCEA51040C63	icfp1pb	Zertrümmernde Rimel-Munition	Zertrümmernde Rimel-Munition	Zertrümmernde Rimel-Munition	Zertrümmernde Rimel-Munition	Zertrümmernde Rimel-Munition	eine	die	eine	die	Zertrümmernde Pistolen-Munition in Basis-Qualität
_B158BCD952D31061	icfp1pp	Durchbohrende Rimel-Munition	Durchbohrende Rimel-Munition	Durchbohrende Rimel-Munition	Durchbohrende Rimel-Munition	Durchbohrende Rimel-Munition	eine	die	eine	die	Durchbohrende Pistolen-Munition in Basis-Qualität
_7288BCDE92132060	icfp1ps	Zerschneidende Rimel-Munition	Zerschneidende Rimel-Munition	Zerschneidende Rimel-Munition	Zerschneidende Rimel-Munition	Zerschneidende Rimel-Munition	eine	die	eine	die	Zerschneidende Pistolen-Munition in Basis-Qualität
_3E08C5155D72B1D2	icfp2ab	Zertrümmernde Fraser-Munition	Zertrümmernde Fraser-Munition	Zertrümmernde Fraser-Munition	Zertrümmernde Fraser-Munition	Zertrümmernde Fraser-Munition	eine	die	eine	die	Zertrümmernde Automatikgewehr-Munition in Basis-Qualität
_7DD8D5059C23C1C2	icfp2ap	Durchbohrende Fraser-Munition	Durchbohrende Fraser-Munition	Durchbohrende Fraser-Munition	Durchbohrende Fraser-Munition	Durchbohrende Fraser-Munition	eine	die	eine	die	Durchbohrende Automatikgewehr-Munition in Basis-Qualität
_3E58D9015DD3C5BE	icfp2as	Zerschneidende Fraser-Munition	Zerschneidende Fraser-Munition	Zerschneidende Fraser-Munition	Zerschneidende Fraser-Munition	Zerschneidende Fraser-Munition	eine	die	eine	die	Zerschneidende Automatikgewehr-Munition in Basis-Qualität
_33984503B2B40BF4	icfp2bb	Zertrümmernde Strabus-Munition	Zertrümmernde Strabus-Munition	Zertrümmernde Strabus-Munition	Zertrümmernde Strabus-Munition	Zertrümmernde Strabus-Munition	eine	die	eine	die	Zertrümmernde Bogengewehr-Munition in Basis-Qualität
_337665E330570BF4	icfp2bp	Durchbohrende Strabus-Munition	Durchbohrende Strabus-Munition	Durchbohrende Strabus-Munition	Durchbohrende Strabus-Munition	Durchbohrende Strabus-Munition	eine	die	eine	die	Durchbohrende Bogengewehr-Munition in Basis-Qualität
_33166DDBB2E70BF4	icfp2bs	Zerschneidende Strabus-Munition	Zerschneidende Strabus-Munition	Zerschneidende Strabus-Munition	Zerschneidende Strabus-Munition	Zerschneidende Strabus-Munition	eine	die	eine	die	Zerschneidende Bogengewehr-Munition in Basis-Qualität
_AFD815FBB2F4830E	icfp2lb	Zertrümmernde Brazer-Munition	Zertrümmernde Brazer-Munition	Zertrümmernde Brazer-Munition	Zertrümmernde Brazer-Munition	Zertrümmernde Brazer-Munition	eine	die	eine	die	Zertrümmernde Granatenwerfer-Munition in Basis-Qualität
_AFB635DB3097830E	icfp2lp	Durchbohrende Brazer-Munition	Durchbohrende Brazer-Munition	Durchbohrende Brazer-Munition	Durchbohrende Brazer-Munition	Durchbohrende Brazer-Munition	eine	die	eine	die	Durchbohrende Granatenwerfer-Munition in Basis-Qualität
_AF563DD3B227830E	icfp2ls	Zerschneidende Brazer-Munition	Zerschneidende Brazer-Munition	Zerschneidende Brazer-Munition	Zerschneidende Brazer-Munition	Zerschneidende Brazer-Munition	eine	die	eine	die	Zerschneidende Granatenwerfer-Munition in Basis-Qualität
_39ACABED3761A88E	icfp2rb	Zertrümmernde Strammel-Munition	Zertrümmernde Strammel-Munition	Zertrümmernde Strammel-Munition	Zertrümmernde Strammel-Munition	Zertrümmernde Strammel-Munition	eine	die	eine	die	Zertrümmernde Gewehr-Munition in Basis-Qualität
_BEAB9FFBF283687A	icfp2rp	Durchbohrende Strammel-Munition	Durchbohrende Strammel-Munition	Durchbohrende Strammel-Munition	Durchbohrende Strammel-Munition	Durchbohrende Strammel-Munition	eine	die	eine	die	Durchbohrende Gewehr-Munition in Basis-Qualität
_BE6BABFE34C35882	icfp2rs	Zerschneidende Strammel-Munition	Zerschneidende Strammel-Munition	Zerschneidende Strammel-Munition	Zerschneidende Strammel-Munition	Zerschneidende Strammel-Munition	eine	die	eine	die	Zerschneidende Gewehr-Munition in Basis-Qualität
_CE08DE8B3F1A69C1	icfr1b	Kolton	Kolton	Kolton	Kolton	Kolton	eine	die	eine	die	Bogenpistole in Basis-Qualität
_E621692BF63635A1	icfr1p	Rimel	Rimel	Rimel	Rimel	Rimel	eine	die	eine	die	Pistole in Basis-Qualität
_0FC46EF8252566F5	icfr2a	Fraser	Fraser	Fraser	Fraser	Fraser	ein	die	ein	das	Automatikgewehr in Basis-Qualität
_712026694BBC2CB4	icfr2b	Strabus	Strabus	Strabus	Strabus	Strabus	ein	die	ein	das	Bogengewehr in Basis-Qualität
_35501E61C73C50B7	icfr2l	Brazer	Brazer	Brazer	Brazer	Brazer	einen	die	ein	der	Granatenwerfer in Basis-Qualität
