*HASH_VALUE	item ID	name	p	description	somgen	twogen	onegen
-	botanist_letter	Письмо ботаника	Письма ботаника		Писем ботаника	Письма ботаника	Письмо ботаника
-	botanist_vial	Сосуд ботаника	Сосуды ботаника		Сосудов ботаника	Сосуда ботаника	Сосуд ботаника
-	bottle	Бутылка	Бутылки		Бутылок	Бутылки	Бутылку
-	brush	Щетка	Щетки		Щеток	Щетки	Щетку
-	brush_2	Щетка	Щетки		Щеток	Щетки	Щетку
-	brush_3	Щетка	Щетки		Щеток	Щетки	Щетку
-	bucket	Ведро	Ведро		Ведер	Ведра	Ведро
-	butcher_knife	Нож мясника	Ножи мясника		Ножей мясника	Ножа мясника	Нож мясника
-	cartographier_kitiniere_parchemin_full	Карточка наблюдения за китинами	Карточки наблюдения за китинами		Карточек наблюдения за китинами	Карточки наблюдения за китинами	Карточка наблюдения за китинами
-	cartographier_kitiniere_parchemin_vierge	Незаполненная карточка наблюдения за китинами	Незаполненные карточки наблюдения за китинами		Незаполненных карточек наблюдения за китинами	Незаполненных карточки наблюдения за китинами	Незаполненную карточка наблюдения за китинами
-	casinoshield_pre_order	Щит престижа					Щит престижа
-	casino_ticket	Выигрышный билет					Выигрышный билет
-	casino_title1	Талон на получение титула (Счастливый)					Талон на получение титула (Счастливый)
-	casino_title2	Талон на получение титула (Несчастливый)					Талон на получение титула (Несчастливый)
-	casino_token	Фишка	Фишка		Фишек	Фишка	Фишка
-	casket	Бочонок	Бочонки		Бочонков	Бочонка	Бочонок
-	cattlestick	Хлыст для скота	Хлысты для скота		Хлыстов для скота	Хлыста для скота	Хлыст для скота
-	cattlestick_2	Хлыст для скота	Хлысты для скота		Хлыстов для скота	Хлыста для скота	Хлыст для скота
-	cattlestick_3	Хлыст для скота	Хлысты для скота		Хлыстов для скота	Хлыста для скота	Хлыст для скота
-	chopper	Колун	Колуны		Колунов	Колуна	Колун
-	chopper_2	Колун	Колуны		Колунов	Колуна	Колун
-	chopper_3	Колун	Колуны		Колунов	Колуна	Колун
-	citizenship_bothaya_fire	Пламя Ботайя	Пламя Ботайя		Пламени Ботайя	Пламени Ботайя	Пламя Ботайя
-	citizenship_cold_pearl	Холодная жемчужина Верности	Холодная жемчужина Верности		Холодных жемчужин Верности	Холодных жемчужиныа Верности	Холодную жемчужину Верности
-	citizenship_lacustre_beer	Озерное пиво Эвендейла	Озерное пиво Эвендейла		Озерного пива Эвендейла	Озерного пиво Эвендейла	Озерное пиво Эвендейла
-	citizenship_purified_sap	Освященный сэп	Освященный сэп		Освященных сэп	Освященных сэп	Освященный сэп
-	citizenship_rotoa_flower	Цветок Бравичи Ротоа	Цветов Бравичи Ротоа		Цветов Бравичи Ротоа	Цветка Бравичи Ротоа	Цветок Бравичи Ротоа
-	citizenship_sac_veilleur	Мешок стража	Мешок стража		Мешков стража	Мешка стража	Мешок стража
-	citizenship_shining_pearl	Сияющая жемчужина Верности	Сияющая жемчужина Верности		Сияющих жемчужин Верности	Сияющих жемчужины Верности	Сияющую жемчужину Верности
-	citizenship_stolen_offerings	Похищенные приношения	Похищенные приношения		Похищенных приношений	Похищенных приношения	Похищенные приношения
-	citizenship_stolen_ressources	Похищенные ресурсы Ками	Похищенные ресурсы Ками		Похищенных ресурсов Ками	Похищенных ресурса Ками	Похищенные ресурсы Ками
-	conso_constit_mineskitins	Fleur de résistance de la kitinière	Fleur de résistance de la kitinière		Fleur de résistance de la kitinière	Fleur de résistance de la kitinière	Fleur de résistance de la kitinière
-	conso_fireworks_a	Фейерверк типа A	Фейерверков типа A	Красивые огоньки!	Фейерверков типа A	Фейерверка типа A	Фейерверк типа A
-	conso_fireworks_b	Фейерверк типа B	Фейерверков типа B	Красивые огоньки!	Фейерверков типа B	Фейерверка типа B	Фейерверк типа B
-	conso_fireworks_c	Фейерверк типа C	Фейерверков типа C	Красивые огоньки!	Фейерверков типа C	Фейерверка типа C	Фейерверк типа C
-	conso_fireworks_d	Фейерверк типа D	Фейерверков типа D	Красивые огоньки!	Фейерверков типа D	Фейерверка типа D	Фейерверк типа D
-	conso_fireworks_e	Фейерверк типа E	Фейерверков типа E	Красивые огоньки!	Фейерверков типа E	Фейерверка типа E	Фейерверк типа E
-	conso_fireworks_f	Фейерверк типа F	Фейерверков типа F	Красивые огоньки!	Фейерверков типа F	Фейерверка типа F	Фейерверк типа F
-	conso_fireworks_g	Фейерверк типа G	Фейерверков типа G	Красивые огоньки!	Фейерверков типа G	Фейерверка типа G	Фейерверк типа G
-	conso_fireworks_h	Фейерверк типа H	Фейерверков типа H	Красивые огоньки!	Фейерверков типа H	Фейерверка типа H	Фейерверк типа H
-	conso_fireworks_i	Фейерверк типа I	Фейерверков типа I	Красивые огоньки!	Фейерверков типа I	Фейерверка типа I	Фейерверк типа I
-	conso_fireworks_j	Фейерверк типа J	Фейерверков типа J	Красивые огоньки!	Фейерверков типа J	Фейерверка типа J	Фейерверк типа J
-	conso_fireworks_k	Фейерверк типа K	Фейерверков типа K	Красивые огоньки!	Фейерверков типа K	Фейерверка типа K	Фейерверк типа K
-	conso_fireworks_l	Фейерверк типа L	Фейерверков типа L	Красивые огоньки!	Фейерверков типа L	Фейерверка типа L	Фейерверк типа L
-	conso_fireworks_m	Фейерверк типа M	Фейерверков типа M	Красивые огоньки!	Фейерверков типа M	Фейерверка типа M	Фейерверк типа M
-	conso_fireworks_n	Фейерверк типа N	Фейерверков типа N	Красивые огоньки!	Фейерверков типа N	Фейерверка типа N	Фейерверк типа N
-	conso_fireworks_o	Фейерверк типа O	Фейерверков типа O	Красивые огоньки!	Фейерверков типа O	Фейерверка типа O	Фейерверк типа O
-	conso_fireworks_p	Фейерверк типа P	Фейерверков типа P	Красивые огоньки!	Фейерверков типа P	Фейерверка типа P	Фейерверк типа P
-	conso_fireworks_q	Фейерверк типа Q	Фейерверков типа Q	Красивые огоньки!	Фейерверков типа Q	Фейерверка типа Q	Фейерверк типа Q
-	conso_fireworks_r	Фейерверк типа R	Фейерверков типа R	Красивые огоньки!	Фейерверков типа R	Фейерверка типа R	Фейерверк типа R
-	conso_fireworks_s	Фейерверк типа S	Фейерверков типа S	Красивые огоньки!	Фейерверков типа S	Фейерверка типа S	Фейерверк типа S
-	conso_focus_mineskitins	Fleur de concentration de la kitinière	Fleur de concentration de la kitinière		Fleur de concentration de la kitinière	Fleur de concentration de la kitinière	Fleur de concentration de la kitinière
-	conso_sap_mineskitins	Fleur de sève de la kitinière	Fleur de sève de la kitinière		Fleur de sève de la kitinière	Fleur de sève de la kitinière	Fleur de sève de la kitinière
-	conso_strength_mineskitins	Fleur de puissance de la kitinière	Fleur de puissance de la kitinière		Fleur de puissance de la kitinière	Fleur de puissance de la kitinière	Fleur de puissance de la kitinière
-	conso_strength_substance_royale	Эликсир мощи китинов	Эликсиры мощи китинов		Эликсиров мощи китинов	Эликсира мощи китинов	Эликсир мощи китинов
-	crystalized_spell	Кристаллизованное заклинание	Кристаллизованные заклинания		Кристаллизованных заклинаний	Кристаллизованных заклинания	Кристаллизованное заклинание
-	ct_gmisland_aniro	<CS> Aniro GM Island Teleport		This is a GM Item.			<CS> Aniro GM Island Teleport
-	ct_gmisland_arispotle	<CS> Arispotle GM Island Teleport		This is a GM Item.			<CS> Arispotle GM Island Teleport
-	ct_gmisland_cho	<CS> Cho GM Island Teleport		This is a GM Item.			<CS> Cho GM Island Teleport
-	ct_gmisland_leanon	<CS> Leanon GM Island Teleport		This is a GM Item.			<CS> Leanon GM Island Teleport
-	cure_expert_letter	Письмо опытного врача	Письма опытного врача		Писем опытного врача	Письма опытного врача	Письмо опытного врача
-	cwff03_egg	Яйцо гоари	Яйца гоари		Яиц гоари	Яйца гоари	Яйцо гоари
-	cwmf03_bag	Сверток для передачи	Свертков для передачи		Свертков для передачи	Свертка для передачи	Сверток для передачи
-	cwmf03_purse	Маленький кошелек	Маленькие кошельки		Маленьких кошельков	Маленьких кошелька	Маленький кошелек
-	cwtf03_pearl	Жемчужина корсаров	Жемчужины корсаров		Жемчужин корсаров	Жемчужины корсаров	Жемчужину корсаров
-	drill	Сверло	Сверла		Сверел	Сверла	Сверло
-	drill_2	Сверло	Сверла		Сверел	Сверла	Сверло
-	drill_3	Сверло	Сверла		Сверел	Сверла	Сверло
-	ep2_high_brick	Высокая кирпичная стена	Высокая кирпичная стена		Высокая кирпичных стен	Высоких кирпичных стены	Высокую кирпичную стена
-	ep2_large_bark_splinter	Большой фрагмент Коры	Большие фрагменты Коры		Больших фрагментов Коры	Больших фрагмента Коры	Большой фрагмент Коры
-	ep2_large_bud	Большой резной Бутон	Большие резной Бутон		Больших резных Бутонов	Больших резной Бутон	Большой резной Бутон
-	ep2_large_conglomerate	Большой Чердак	Большие Чердак		Больших Чердаков	Больших Чердака	Большой Чердак
-	ep2_large_fibers	Большой фрагмент Волокна	Большие фрагменты Волокна		Больших фрагментов Волокна	Больших фрагмента Волокна	Большой фрагмент Волокна
-	ep2_large_moss_patch	Большой фрагмент Мха	Большие фрагменты Мха		Больших фрагментов Мха	Больших фрагмента Мха	Большой фрагмент Мха
-	ep2_large_patch_cover	Основная часть Плиты	Основная часть Плиты		Основных частей Плит	Основная части Плит	Основную часть Плиты
-	ep2_large_root_piece	Большой фрагмент Корня	Большие фрагменты Корня		Больших фрагментов Корня	Больших фрагмента Корня	Большой фрагмент Корня
-	ep2_large_trunk	Длинный фрагмент Ствола	Длинный фрагменты Ствола		Длинных фрагментов Ствола	Длинных фрагмента Ствола	Длинный фрагмент Ствола
-	ep2_low_brick	Низкая кирпичная стена	Низкая кирпичная стена		Низких кирпичных стен	Низких кирпичных стены	Низкую кирпичную стена
-	ep2_major_column	Основная часть Колонны	Основная часть Колонны		Основных частей Колонны	Основная части Колонны	Основную часть Колонны
-	ep2_major_justice_column	Основная часть Колонны Справедливости	Основная часть Колонны Справедливости		Основных частей Колонн Справедливости	Основная части Колонны Справедливости	Основную часть Колонны Справедливости
-	ep2_major_maduk_core	Большая часть Сердцевины Ма-Дука	Большие часть Сердцевины Ма-Дука		Большая часть Сердцевин Ма-Дука	Большая части Сердцевины Ма-Дука	Большую часть Сердцевины Ма-Дука
-	ep2_major_ornament	Основная часть Орнамента	Основная часть Орнамента		Основных частей Орнамента	Основная части Орнамента	Основную часть Орнамента
-	ep2_major_pedestal	Основная часть Пьедестала	Основная часть Пьедестала		Основных частей Пьедестала	Основная части Пьедесталов	Основную часть Пьедестала
-	ep2_major_statue_part	Основная часть Статуи	Основная часть Статуи		Основных частей Статуи	Основная части Статуи	Основную часть Статуи
-	ep2_major_symbol_part	Основная часть Символа	Основная часть Символа		Основных частей Символа	Основная части Символа	Основную часть Символа
-	ep2_minor_column	Меньшая часть Колонны	Меньшая часть Колонны		Меньших частей Колонны	Меньших части Колонны	Меньшую часть Колонны
-	ep2_minor_justice_column	Меньшая часть Колонны Справедливости	Меньшая часть Колонны Справедливости		Меньших частей Колонн Справедливости	Меньших части Колонны Справедливости	Меньшую часть Колонны Справедливости
-	ep2_minor_maduk_core	Меньшая часть Сердцевины Ма-Дука	Меньшая часть Сердцевины Ма-Дука		Меньших частей Сердцевин Ма-Дука	Меньших части Сердцевины Ма-Дука	Меньшую часть Сердцевины Ма-Дука
-	ep2_minor_ornament	Меньшая часть Орнамента	Меньшая часть Орнамента		Меньших частей Орнамента	Меньших части Орнамента	Меньшую часть Орнамента
-	ep2_minor_pedestal	Меньшая часть Пьедестала	Меньшая часть Пьедестала		Меньших частей Пьедестала	Меньших части Пьедесталов	Меньшую часть Пьедестала
-	ep2_minor_statue_part	Меньшая часть Статуи	Меньшая часть Статуи		Меньших частей Статуи	Меньших части Статуи	Меньшую часть Статуи
-	ep2_minor_symbol_part	Меньшая часть Символа	Меньшая часть Символа		Меньших частей Символа	Меньших части Символа	Меньшую часть Символа
-	ep2_small_bark_splinter	Маленький фрагмент Коры	Маленькие фрагменты Коры		Маленьких фрагментов Коры	Маленьких фрагмента Коры	Маленький фрагмент Коры
-	ep2_small_bud	Маленький резной Бутон	Маленькие резной Бутон		Маленьких резных Бутонов	Маленьких резной Бутон	Маленький резной Бутон
-	ep2_small_conglomerate	Малый Чердак	Малые Чердаки		Малых Чердакови	Малых Чердака	Малый Чердак
-	ep2_small_fibers	Маленький фрагмент Волокна	Маленькие фрагменты Волокна		Маленьких фрагментов Волокна	Маленьких фрагмента Волокна	Маленький фрагмент Волокна
-	ep2_small_moss_patch	Маленький фрагмент Мха	Маленькие фрагменты Мха		Маленьких фрагментов Мха	Маленьких фрагмента Мха	Маленький фрагмент Мха
-	ep2_small_patch_cover	Меньшая часть Плиты	Меньшая часть Плиты		Меньших частей Плит	Меньших части Плит	Меньшую часть Плиты
-	ep2_small_root_piece	Маленький фрагмент Корня	Маленькие фрагменты Корня		Маленьких фрагментов Корня	Маленьких фрагмента Корня	Маленький фрагмент Корня
-	ep2_small_trunk	Маленький фрагмент Ствола	Маленькие фрагменты Ствола		Маленьких фрагментов Ствола	Маленьких фрагмента Ствола	Маленький фрагмент Ствола
-	event_barrel_of_beer	Бочонок пива Озер	Бочонки пива Озер		Бочонков пива Озер	Бочонка пива Озер	Бочонок пива Озер
-	event_barrel_of_shooki_liquor	Бочонок настойки Шукки	Бочонки настойки Шукки		Бочонков настойки Шукки	Бочонка настойки Шукки	Бочонок настойки Шукки
-	event_barrel_of_water	Бочка с озерной водой	Бочки с озерной водой		Бочек с озерной водой	Бочки с озерной водой	Бочка с озерной водой
-	event_blood	Кровь	Кровь		Крови	Крови	Кровь
-	event_goo	Гуу	Гуу		Гуу	Гуу	Гуу
-	event_incandescent_wood	Тлеющее дерево	Тлеющее дерево		Тлеющего дерева	Тлеющего дерева	Тлеющее дерево
-	event_lakes_beer	Пиво Озер	Пиво Озер		Пива Озер	Пива Озер	Пиво Озер
-	event_magnetized_amber	Намагниченное дерево	Намагниченное дерево		Намагниченного дерева	Намагниченного дерева	Намагниченное дерево
-	event_magnetized_amber_sphere	Намагниченная янтарная сфера	Намагниченные янтарные сферы		Намагниченных янтарных сфер	Намагниченных янтарных сферы	Намагниченную янтарную сферу
-	event_meat	Мясо	Мясо		Мяса	Мяса	Мясо
-	event_missive	Послание	Послания		Посланий	Посланий	Послание
-	event_missive_fyros	Послание файросов	Послания файросов		Посланий файросов	Посланий файросов	Послание файросов
-	event_missive_kami	Послание Ками	Послания Ками		Посланий Ками	Посланий Ками	Послание Ками
-	event_missive_kara	Послание Каравана	Послания Каравана		Посланий Каравана	Посланий Каравана	Послание Каравана
-	event_missive_matis	Послание матисов	Послания матисов		Посланий матисов	Посланий матисов	Послание матисов
-	event_missive_tryker	Послание трайкеров	Послания трайкеров		Посланий трайкеров	Посланий трайкеров	Послание трайкеров
-	event_missive_zorai	Послание Зораи	Послания Зораи		Посланий Зораи	Посланий Зораи	Послание Зораи
-	event_purified_sap	Очищенный сэп	Очищенный сэп		Очищенного сэпа	Очищенного сэпа	Очищенный сэп
-	event_sheet_music	Sheet	Sheet
-	event_shooki_liquor	Настойка Шукки	Настойка Шукки		Настойки Шукки	Настойки Шукки	Настойка Шукки
-	event_taliari_pearl_black	Черная жемчужина Тальяри	Черные жемчужины Тальяри		Черных жемчужин Тальяри	Черных жемчужины Тальяри	Черную жемчужину Тальяри
-	event_taliari_pearl_blue	Синяя жемчужина Тальяри	Синие жемчужины Тальяри		Синих жемчужин Тальяри	Синих жемчужины Тальяри	Синяя жемчужину Тальяри
-	event_taliari_pearl_violet	Фиолетовая жемчужина Тальяри	Фиолетовые жемчужины Тальяри		Фиолетовых жемчужин Тальяри	Фиолетовых жемчужины Тальяри	Фиолетовую жемчужину Тальяри
-	extrait_substance_question_de_force	Экстракт мощной субстанции китинов	Экстракт мощной субстанции китинов		Экстрактов мощной субстанции китинов	Экстракта мощной субстанции китинов	Экстракт мощной субстанции китинов
-	extrait_substance_royale	Экстракт королевской субстанции китинов	Экстракт королевской субстанции китинов		Экстрактов королевской субстанции китинов	Экстракта королевской субстанции китинов	Экстракт королевской субстанции китинов
-	fbt_conso	Сюрприз	Сюрпризы		Сюрпризов	Сюрприза	Сюрприз
-	fc60_fiole	Сосуд аромата	Сосуды аромата		Сосудов аромата	Сосуда аромата	Сосуд аромата
-	fc60_morceau	Кусок сонной шукки	Кусков сонной шукки		Кусков сонной шукки	Куска сонной шукки	Кусок сонной шукки
-	fc60_plumes	Перья обыкновенного изама	Перья обыкновенного изама		Перьев обыкновенного изама	Пера обыкновенного изама	Перья обыкновенного изама
-	fc70_petales	Малые лепестков шукки	Малые лепестков шукки		Малых лепестков шукки	Малых лепестка шукки	Малые лепестков шукки
-	fc70_plumes	Перья важного изама	Перья важного изама		Перьев важного изама	Пера важного изама	Перья важного изама
-	fc80_ambre	Янтарь для инструментов	Янтарь для инструментов		Янтарь для инструментов	Янтарь для инструмента	Янтарь для инструментов
-	fc80_carapaces	Ракушка для обмена	Ракушек для обмена		Ракушек для обмена	Ракушки для обмена	Ракушку для обмена
-	fc80_outil	Особый инструмент	Особые инструменты		Особых инструментов	Особых инструмента	Особый инструмент
-	fc80_pince	Коготь сердитого гоари	Когти сердитого гоари		Когтей сердитого гоари	Когтя сердитого гоари	Коготь сердитого гоари
-	fc90_ailes	Крыло бдительного кизоара	Крыло бдительного кизоара		Крыльев бдительного кизоара	Крыло бдительного кизоара	Крыло бдительного кизоара
-	fc90_carapace	Средний панцирь киппи	Средние панцири киппи		Средний панцирей киппи	Средний панциря киппи	Средний панцирь киппи
-	fc90_feuilles	Лист из оазиса	Листья из оазиса		Листьев из оазиса	Листа из оазиса	Лист из оазиса
-	fc100_bois	Сохраненное дерево	Сохраненное дерево		Сохраненного дерева	Сохраненного дерева	Сохраненное дерево
-	fc100_coffre	Chest Book	Chest Book		Chest Book	Chest Book	Chest Book
-	ff60_graisse	Жир прожорливой армы	Жир прожорливой армы		Жира прожорливой армы	Жира прожорливой армы	Жир прожорливой армы
-	ff60_message	Послание	Послания		Послания	Послания	Послание
-	ff90_insigne	Медаль чести фрахаров	Медали чести фрахаров		Медали чести фрахаров	Медаали чести фрахаров	Медаль чести фрахаров
-	ff100_bague	Кольцо	Кольца		Колец	Кольца	Кольцо
-	ff100_boisson	Экзотический напиток	Экзотические напитки		Экзотических напитки	Экзотических напитка	Экзотический напиток
-	fh60_bijoux	Драгоценность для передачи	Драгоценности для передачи		Драгоценностей для передачи	Драгоценностей для передачи	Драгоценность для передачи
-	fh60_chair	Среднее мясо киппи	Среднее мясо киппи		Средних мяса киппи	Средних мяса киппи	Среднее мясо киппи
-	fh60_parchemin	Загадочный свиток	Загадочные свитки		Загадочных свитков	Загадочных свитка	Загадочный свиток
-	fh60_pendentif	Драгоценный кулон	Драгоценные кулоны		Драгоценных кулонов	Драгоценных кулона	Драгоценный кулон
-	fh70_pince	Коготь жуткого клоппера	Когти жуткого клоппера		Когтей жуткого клоппера	Когтя жуткого клоппера	Коготь жуткого клоппера
-	fh80_echantillon	Образец для анализа	Образцы для анализа		Образцов для анализа	Образца для анализа	Образец для анализа
-	fh80_lettre	Письмо	Письма		Писем	Письма	Письмо
-	fh80_tendons	Сухожилие игривого каприни	Сухожилия игривого каприни		Сухожилий игривого каприни	Сухожилия игривого каприни	Сухожилий игривого каприни
-	fh90_cendre	Чистая зола	Чистая зола		Чистой золы	Чистой золы	Чистую золу
-	fh100_sac	Мешок с материалами	Мешков с материалами		Мешков с материалами	Мешка с материалами	Мешок с материалами
-	fm50_pinces	Когти преследующего гоари	Когти преследующего гоари		Когтей преследующего гоари	Когтя преследующего гоари	Когти преследующего гоари
-	fm60_plumes	Перья бдительной игары	Перья бдительной игары		Перьев бдительной игары	Пера бдительной игары	Перья бдительной игары
-	fm70_bracelet	Флоральный браслет	Флоральные браслеты		Флоральных браслетов	Флоральных браслета	Флоральный браслет
-	fm70_cristal	Специальный кристалл	Специальные кристаллы		Специальных кристаллов	Специальных кристалла	Специальный кристалл
-	fm70_feuilles	Цветов распустившейся шукки	Цветов распустившейся шукки		Цветов распустившейся шукки	Цветка распустившейся шукки	Цветок распустившейся шукки
-	fm80_ailettes	Плавников грубого распала	Плавников грубого распала		Плавников грубого распала	Плавника грубого распала	Плавников грубого распала
-	fm90_ailes	Крылья злобного кизоара	Крылья злобного кизоара		Крыльев злобного кизоара	Крыла злобного кизоара	Крылья злобного кизоара
-	fm90_cristal	Кристалл Истины	Кристаллы Истины		Кристаллов Истины	Кристалла Истины	Кристалл Истины
-	fm100_cristal	Кристалл Откровения	Кристаллы Откровения		Кристаллов Откровений	Кристалла Откровений	Кристалл Откровения
-	fragment_carapace_kitin_encore_plus_solide	Фрагмент панциря китинов	Фрагменты панциря китинов		Фрагментов панциря китинов	Фрагмента панциря китинов	Фрагмент панциря китинов
-	fv_arrowhead	Странный наконечник стрелы	Странный наконечник стрел		Странных наконечников стрел	Странных наконечника стрел	Странный наконечник стрелы
-	fv_seal1	Печать шахтера	Печати шахтера		Печати шахтера	Печати шахтера	Печать шахтера
-	fyler_dagger_crate	Кинжал Файлер Порабощенных Гуу	Кинжалы Файлер Порабощенных Гуу		Кинжалов Файлер Порабощенных Гуу	Кинжала Файлер Порабощенных Гуу	Кинжал Файлер Порабощенных Гуу
-	fy_banner_gm	Вымпел гейм-мастера файросов	Вымпелы гейм-мастера файросов		Вымпелов гейм-мастера файросов	Вымпела гейм-мастера файросов	Вымпел гейм-мастера файросов
-	fy_banner_gu	Вымпел проводника файросов	Вымпелы проводника файросов		Вымпелов проводника файросов	Вымпела проводника файросов	Вымпел проводника файросов
-	fy_banner_sgm	Вымпел старшего гейм-мастера файросов	Вымпелы старшего гейм-мастера файросов		Вымпелов старшего гейм-мастера файросов	Вымпела старшего гейм-мастера файросов	Вымпел старшего гейм-мастера файросов
-	fy_banner_sgu	Вымпел старшего проводника файросов	Вымпелы старшего проводника файросов		Вымпелов старшего проводника файросов	Вымпела старшего проводника файросов	Вымпел старшего проводника файросов
-	fy_cheveux_long01	Длинный волос файроса	Длинные волосы файроса		Длинных волос файроса	Длинных волоса файроса	Длинный волос файроса
-	fy_cheveux_medium01	Средний волос файроса	Средние волосы файроса		Средних волос файроса	Средних волоса файроса	Средний волос файроса
-	fy_cheveux_shave01	Щетина файроса	Щетина файроса		Щетины файроса	Щетины файроса	Щетину файроса
-	fy_cheveux_short01	Короткий волос файроса	Короткие волосы файроса		Коротких волос файроса	Коротких волоса файроса	Короткий волос файроса
-	fy_hof_haircolor0	Седой
-	fy_hof_haircolor1	Блондин
-	fy_hof_haircolor2	Рыжий
-	fy_hof_haircolor3	Красный
-	fy_hof_haircolor4	Коричневый
-	fy_hof_haircolor5	Черный
-	fy_hof_hair_artistic01	Артистичная стрижка с прямым затылком
-	fy_hof_hair_artistic02	Артистичная стрижка с челкой и хвостиками
-	fy_hof_hair_artistic03	Артистичная стрижка с волосами, забранными в узел
-	fy_hof_hair_artistic04	Артистичная грубоватая стрижка
-	fy_hof_hair_artistic05	Артистичная стрижка - высокий шиньон
-	fy_hof_hair_basic01	Обыкновенная стрижка под ноль
