*HASH_VALUE	outpost ID	name	description
_D8762257F536008A	tryker_outpost_22.outpost	Zwillingsgipfel-Werkstatt	Dieser Außenposten wurde 2487 gegründet\n Herausforderung für Gilden mit einem Expertenrang\n Hier wurde einst eine Werkstatt gegründet, die unter dem Einfluss eines reichen Tryker-Handwerkers wuchs. Ein Skandal brach aus, als bekannt wurde, dass er seinen Reichtum einer engen Zusammenarbeit mit dem Stamm der Sklaventreiber zu verdanken hatte. Der Handwerker wurde festgenommen und der Außenposten wurde ab da von einer föderalen Gilde geführt. 
_B11ACD519839AD43	tryker_outpost_24.outpost	Weg der Winde - Werkstatt	Dieser Außenposten wurde 2484 gegründet\n Herausforderung für Gilden mit einem bestätigten Rang\n Der Außenposten hier wurde um den ersten großen Trepan herum errichtet, den der Karavan in den Neuen Landen installierte. Dank jener von Jena gesegneten Maschine waren die Handwerker der Lehmbildhauer unter den ersten, die mit den neuen Materialien aus den Tiefen von Atys experimentierten. Sie waren die Vorläufer für den Handwerks-Markt mit Außenposten-Ressourcen. 
_D35FE6C01736C84C	tryker_outpost_29.outpost	Lorias Festung	Dieser Außenposten wurde 2490 gegründet\n Herausforderung für Gilden mit einem Meisterrang\n Nachdem hier ein großer Trepan installiert worden war, wurde dieser Außenposten von den Lagunenbrüdern angegriffen, die die wertvollen Ressourcen an sich nahmen, welche der Bohrer abgebaut hatte. Ein Regiment der föderalen Armee wurde entsandt, um den Außenposten zurückzuerobern. Die Soldaten besiegten die Piraten und errichteten danach an diesem Ort eine Festung, die sie Loria widmeten, der berühmten Tryker-Heldin.
_14719DD3A0341BBF	tryker_outpost_31.outpost	Wirbelwind-Festung	Dieser Außenposten wurde 2489 gegründet\n Herausforderung für Gilden mit einem Meisterrang\n Durch seine strategische Lage in der Nähe des Wirbels zu den Seen der Freiheit war dieser Außenposten lange ein beliebtes Angriffsziel von Banditen und Piraten, die in den Lagunen von Loria herumlungerten. Es kam oft zu Auseinandersetzungen vor den Befestigungen. 
_A8E93FA99BDB4436	zorai_outpost_02.outpost	Gu-Qin-Werkstatt	Dieser Außenposten wurde 2490 gegründet\n Herausforderung für Gilden mit Expertenrang\n Hier entstand einst eine Werkstatt, die sich unter dem Einfluss eines Zoraï-Handwerkers namens Gu-Qin entwickelte, der beschlossen hatte, dem Goo die Stirn zu bieten. Doch unglücklicherweise wurde er von der violetten Seuche infiziert. Trotz der Fürsorge seiner Lehrlinge verfiel er dem Wahnsinn. Eines Nachts im Winter verschwand er. Bis zum Verlassen des Außenpostens ein paar Jahre später schworen die Handwerker dort, der Dschungelwind hätte ihnen zuweilen das verrückte Gelächter von Gu-Qin zu Ohren getragen. 
_CAD14424711A6CBD	zorai_outpost_08.outpost	Qai-Du-Werkstatt	Dieser Außenposten wurde 2490 gegründet\n Herausforderung für Gilden mit Lehrlingsrang\n Hier wurde einst eine Werkstatt vom Meisterjuwelier Qai-Du gegründet, einem gefeierten Mitglied des Stammes der Ikonenschnitzer. Sein Wissen und seine Frömmigkeit trugen viel zur Anerkennung der Zoraï-Handwerkstätigkeiten bei den Traditionalisten bei, die das Anfertigen von profanen Gegenständen lange als reine Zeitverschwendung angesehen hatten. 
_9AF53CB170CAA29D	zorai_outpost_10.outpost	Sai-Shun-Festung	Dieser Außenposten wurde 2490 gegründet\n Herausforderung für Gilden mit bestätigtem Rang\n Inmitten des jungfräulichen Wäldchens errichtet, war die Festung Sai-Shun an vorderster Front im Kitinbekämpfungs-Feldzug, der 2490 begann. General Sai-Shun ließ sich auf dem Außenposten nieder und schwor, die Gegend nicht zu verlassen, ehe die Bedrohung durch den Großen Schwarm nachgelassen habe. Er hielt Wort und kämpfte zwei Jahre lang an der Seite des Ordens der Bruderschaft, zusammengesetzt aus Homins aller Länder. 
_E344209D01FD73B5	zorai_outpost_15.outpost	Zo-Kian Ruinen - Werkstatt	Dieser Außenposten wurde 2492 gegründet\n Herausforderung für Gilden mit Meisterrang\n Südwestlich von hier liegen die Ruinen von Zo-Kian; einst ein kleines Dorf, das von Zoraï-Jägern errichtet worden war. Die Jäger verfolgten Gibbaïs, die es zu jener Zeit in diesem Teil des Dschungels in großer Zahl gab, und sie machten sich über ihr Volk lustig, das glaubte, es würde Unglück bringen, diese Wesen zu töten, die Homins so ähnelten. Eines Nachts wurde das Dorf von unbekannten Horden angegriffen und vollständig zerstört. Jahre später fanden Entdecker weiterentwickelte Gibbaïs in der Region. Viele nahmen nun an, dass diese für das Ende von Zo-Kian verantwortlich waren und damit auf Angriffe der Jäger reagiert hatten. 
_A9B1E17037E0BF79	zorai_outpost_16.outpost	Vergessenes Tal - Festung	Dieser Außenposten wurde 2491 gegründet\n Herausforderung für Gilden mit einem Meisterrang\n Dieser Posten wurde nach wiederholten Attacken Goo-infizierter Tiere befestigt. Infektionsherde wurden im Nordwesten, im Verlorenen Tal, entdeckt. Es wurden mehrere Expeditionen entsandt, um diese zu zerstören, doch ohne Erfolg. Als der Baumbohrer des Außenpostens durch eine Infektion mit der violetten Seuche zu verwelken begann, läutete dies den Verfall der einst so starken Festung ein.
_E897424AD4725452	zorai_outpost_22.outpost	Diplomatischer Außenposten der Dämonenkreuzung	Dieser Außenposten wurde 2492 gegründet\n Herausforderung für Gilden mit fortgeschrittenem Rang\n Kurz nach der Installation eines Baumbohrers auf diesem Außenposten zogen die kamistischen Aktivitäten einen Dschungeldämon an, der in der Umgebung umherzog. Er schäumte vor Zorn, denn er war siech vom Goo. Ein Zoraï-Weiser, Mitglied der Gemeinschaft des Ewigen Baumes, fand ihn und heilte seine Krankheit. Der Dämon verwandelte sich in ein leuchtendes Wesen, der den Zoraï segnete, der zu einem Erleuchteten unter Erleuchteten wurde. Nach diesem Wunder entwickelte sich der Außenposten zu einem Treffpunkt für Kamisten der ganzen Region.
_0F508D96CC6A8DA7	zorai_outpost_29.outpost	Werkstatt des Großen Buschlandes	Dieser Außenposten wurde 2491 gegründet\n Herausforderung für Gilden mit Expertenrang\n Die Nutzung dieses Außenpostens in der Wüstenregion des Knoten der Demenz wurde von Cardarus Vekian begonnen, einem Fyros-Feuerwaffenschmied. Dank der nur spärlichen Vegetation konnte der Handwerker die auf Feuer beruhenden Techniken seines Volkes anwenden, ohne eine Feuersbrunst zu entfachen. Obwohl die Händler aus Zora anfangs besorgt waren, interessierten sie sich bald doch für die Arbeit des Fyros. Vekian wurde ein bekannter Handwerker in den verdorrenden Landen und viele Zoraï-Krieger waren stolz, Waffen aus seiner Schmiede zu tragen.
_6FE48772D9E253F3	matis_outpost_03.outpost	Hof am Gefürchteten Sumpf	Dieser Außenposten wurde 2492 gegründet\n Herausforderung für Gilden mit Expertenrang\n In der Nähe des gefürchteten Sumpfes gegründet, konzentrierte sich der Außenposten auf den Rohstoffabbau und auf das Säubern der Goo-infizierten Sümpfe. Es kam zu Auseinandersetzungen mit dem Stamm der Ökokrieger, als diese herausfanden, dass das verseuchte Material nicht zerstört, sondern nach Yrkanis oder in den Südosten gesandt wurde, um verschiedene Experimente damit durchzuführen. Daraufhin beschuldigten sie die Matis, Goo zu verbreiten. Die königlichen Forscher dementierten diese Beschuldigungen kategorisch und beteuerten, es werde alles daran gesetzt, um Infektionen zu vermeiden.
_640FA7D9C6414BD7	matis_outpost_07.outpost	Hof des Entdeckers	Dieser Außenposten wurde 2491 gegründet\n Herausforderung für Gilden mit einem bestätigten Rang\n Ein Matis-Gelehrter, der auf der Suche nach göttlicher Eingebung war, beschloss, sich auf dem Außenposten niederzulassen, um vom großen Trepan zu profitieren und sich Zugang zu den seltenen Materialien zu verschaffen, die der Göttin heilig sind. Er führte zahlreiche Experimente durch und entdeckte dabei ein neues Bohrpulver, durch das mehrere Quellen gleichzeitig aus dem Boden geschossen kamen. Der Außenposten wurde zum Treffpunkt für Rohstoffabbauer, die dieses Wunderpulver ausprobieren wollten. 
_D6CD5001FB9E622C	matis_outpost_15.outpost	Handelsposten am Psykopla-Hügel	Dieser Außenposten wurde 2491 gegründet\n Herausforderung für Gilden mit einem Lehrlingsrang\n Durch eine kleine Händlergilde entstand ein Handelsplatz auf diesem Außenposten. Anfangs betrieben viele Rohstoffabbauer Tauschhandel mit ihrem Material an diesem Ort, wo der Karavan einen großen Trepan errichtete. Ein Tryker-Hausierer hatte die Idee, dort eine Struktur einzurichten, um den Tauschhandel zu vereinfachen, und das gegen eine geringe Kommission. Er gründete eine Gilde mit Matis-Händlern, deren Geschäft dort florierte. 
_DCD910ED7E62A2C2	matis_outpost_17.outpost	Wooky-Werkstatt	Dieser Außenposten wurde 2490 gegründet\n Herausforderung für Gilden mit einem fortgeschrittenen Rang\n Hier neben einem Portal zu den Tiefen der Urwurzeln war eine Werkstatt errichtet worden. Dies war der erste Außenposten der grünen Anhöhen. Der Name ("Wooky" heißt "Erwachen") spielt auf eine Zeit an, in der das Matis-Volk begann, intensiven Tätigkeiten nachzugehen, wie der Errichtung von Außenposten, dem Führen von Schlachten gegen die Kitins und dem Anlegen neuer Handelsstraßen. 
_34B4FC4C6451CC84	matis_outpost_24.outpost	Westwald-Festung	Dieser Außenposten wurde 2492 gegründet\n Herausforderung für Gilden mit einem Meisterrang\n Hier in den bewaldeten Tiefen des Kapwaldes war ein alter Außenposten errichtet worden. Er wurde befestigt, um den Stamm der Dryaden zu bekämpfen, fanatische Homins, die sich als Beschützer der Pflanzen ansehen. Viele Matis-Botaniker, die von den Dryaden beschuldigt wurden, die Atysianische Flora zu quälen, fanden durch die Hände der Dryaden ihr Ende. 
_0C19BCC74DB35B36	matis_outpost_27.outpost	Ginti-Werkstatt	Dieser Außenposten wurde 2491 gegründet\n Herausforderung für Gilden mit einem Meisterrang\n Sevalda Ginti, Bravichi Lenardis Schülerin, war eine der renommiertesten Matis-Botaniker des 25. Jahrhunderts. Als der Karavan große Trepane im Kapwald errichtete, verließ Sevalda Ginti das Gewächshaus von Yrkanis, um im dichten Wald zu arbeiten. Sie stellte viele Nachforschungen an und perfektionierte die Rüstungsherstellung dank ihrer Entdeckungen in Bezug auf Harze. Schließlich verschwand sie unter mysteriösen Umständen. 
_F1B1343B89EF309D	matis_outpost_30.outpost	Berello-Schlucht-Grenzposten	Dieser Außenposten wurde 2491 gegründet\n Herausforderung für Gilden mit einem Expertenrang\n Unter dem Kommando des Matis-Hauptmanns Arcando Berello wurde dieser Grenzposten befestigt. Er war der Schauplatz zahlreicher Auseinandersetzungen mit dem Stamm der Wüstenplünderer. Es stand viel auf dem Spiel, denn wer auch immer die Kontrolle über den Außenposten übernehmen würde, besäße damit auch die Kontrolle über den Durchgang zwischen den Oasen im Norden und den Plateaus im Süden der Region. Berello bewies Hartnäckigkeit und taktische Fähigkeit, sodass sogar die barbarischen Fyros ihren Feind zu respektieren lernten.
_431F0D331FF1DD57	marauder_light_melee_fighter_b.outpost_squad	Marodeur-Kriegertruppe	
_431F0D331FF1E157	marauder_light_melee_fighter_c.outpost_squad	Marodeur-Kriegertruppe	
_431F0D331FF1E557	marauder_light_melee_fighter_d.outpost_squad	Marodeur-Kriegertruppe	
_431F0D331FF1E957	marauder_light_melee_fighter_e.outpost_squad	Marodeur-Kriegertruppe	
_431F0D331FF1ED57	marauder_light_melee_fighter_f.outpost_squad	Marodeur-Kriegertruppe	
_243AE24310D10D5D	marauder_light_range_fighter_b.outpost_squad	Marodeur-Fernkampftruppe	
_243AE24310D1115D	marauder_light_range_fighter_c.outpost_squad	Marodeur-Fernkampftruppe	
_243AE24310D1155D	marauder_light_range_fighter_d.outpost_squad	Marodeur-Fernkampftruppe	
_243AE24310D1195D	marauder_light_range_fighter_e.outpost_squad	Marodeur-Fernkampftruppe	
_243AE24310D11D5D	marauder_light_range_fighter_f.outpost_squad	Marodeur-Fernkampftruppe	
_302F323E1AB2D6B3	marauder_light_mixed_fighter_b.outpost_squad	Marodeur-Kampftruppe	
_302F323E1AB2DAB3	marauder_light_mixed_fighter_c.outpost_squad	Marodeur-Kampftruppe	
_302F323E1AB2DEB3	marauder_light_mixed_fighter_d.outpost_squad	Marodeur-Kampftruppe	
_302F323E1AB2E2B3	marauder_light_mixed_fighter_e.outpost_squad	Marodeur-Kampftruppe	
_302F323E1AB2E6B3	marauder_light_mixed_fighter_f.outpost_squad	Marodeur-Kampftruppe	
_CA7E8470D81A655E	free_squad_light_melee_fighter_b.outpost_squad	Milizentruppe	Eine Truppe von acht Söldnern, die aus Kämpfern und Heilern besteht, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_EA0D947415F96160	free_squad_light_melee_fighter_c.outpost_squad	Milizentruppe	Eine Truppe von acht Söldnern, die aus Kämpfern und Heilern besteht, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_0EDB1B3AD99DEBE8	free_squad_light_melee_fighter_d.outpost_squad	Milizentruppe	Eine Truppe von acht Söldnern, die aus Kämpfern und Heilern besteht, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_0EDB4543550E13E4	free_squad_light_melee_fighter_e.outpost_squad	Milizentruppe	Eine Truppe von acht Söldnern, die aus Kämpfern und Heilern besteht, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_0EDB094359F5B7EC	free_squad_light_melee_fighter_f.outpost_squad	Milizentruppe	Eine Truppe von acht Söldnern, die aus Kämpfern und Heilern besteht, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_AEFD62A80D8439DC	outpost_squad_light_melee_fighter_b.outpost_squad	Kampftruppe	Eine Truppe von acht Lehrlingssöldnern mit Kämpfern und zwei Heilern, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_2E1546AC0EC331DB	outpost_squad_light_melee_fighter_c.outpost_squad	Kampftruppe	Eine Truppe von acht bestätigten Söldnern mit Kämpfern und zwei Heilern, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_916FBA4FBDE5DA3D	outpost_squad_light_melee_fighter_d.outpost_squad	Kampftruppe	Eine Truppe von acht erfahrenen Söldnern mit Kämpfern und zwei Heilern, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_907FBADAFFF4F647	outpost_squad_light_melee_fighter_e.outpost_squad	Kampftruppe	Eine Truppe von acht Expertensöldnern mit Kämpfern und zwei Heilern, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_928FBACBFFE5F030	outpost_squad_light_melee_fighter_f.outpost_squad	Kampftruppe	Eine Truppe von acht Meistersöldnern mit Kämpfern und zwei Heilern, die mit schnellen Waffen und leichten Rüstungen ausgerüstet sind. 
_DA9562D33825667D	outpost_squad_medium_melee_fighter_b.outpost_squad	Kampftruppe	Eine Truppe von acht Lehrlingssöldnern bestehend aus Kämpfern in mittleren Rüstungen, die mit leichten Waffen und teilweise mit einem Schild ausgerüstet sind, sowie einem Heiler.
_99846A5376667671	outpost_squad_medium_melee_fighter_c.outpost_squad	Kampftruppe	Eine Truppe von acht bestätigten Söldnern bestehend aus Kämpfern in mittleren Rüstungen, die mit leichten Waffen und teilweise mit einem Schild ausgerüstet sind, sowie einem Heiler.
_C8A275AF3AE0C006	outpost_squad_medium_melee_fighter_d.outpost_squad	Kampftruppe	Eine Truppe von acht erfahrenen Söldnern bestehend aus Kämpfern in mittleren Rüstungen, die mit leichten Waffen und teilweise mit einem Schild ausgerüstet sind, sowie einem Heiler.
_CA4365AF3A89E4F7	outpost_squad_medium_melee_fighter_e.outpost_squad	Kampftruppe	Eine Truppe von acht Expertensöldnern bestehend aus Kämpfern in mittleren Rüstungen, die mit leichten Waffen und teilweise mit einem Schild ausgerüstet sind, sowie einem Heiler.
_A9D285AF3A98E406	outpost_squad_medium_melee_fighter_f.outpost_squad	Kampftruppe	Eine Truppe von acht Meistersöldnern bestehend aus Kämpfern in mittleren Rüstungen, die mit leichten Waffen und teilweise mit einem Schild ausgerüstet sind, sowie einem Heiler.
_31917ACDA8B6D507	outpost_squad_heavy_melee_fighter_b.outpost_squad	Truppe von schweren Kämpfern	Eine Truppe von acht Lehrlingssöldnern, die aus Kämpfern mit schweren Rüstungen und Zweihandwaffen, sowie einem Heiler besteht. 
_74E072CC28BEB902	outpost_squad_heavy_melee_fighter_c.outpost_squad	Truppe von schweren Kämpfern	Eine Truppe von acht bestätigten Söldnern, die aus Kämpfern mit schweren Rüstungen und Zweihandwaffen, sowie einem Heiler besteht. 
_5F9729077C762AA3	outpost_squad_heavy_melee_fighter_d.outpost_squad	Truppe von schweren Kämpfern	Eine Truppe von acht erfahrenen Söldnern, die aus Kämpfern mit schweren Rüstungen und Zweihandwaffen, sowie einem Heiler besteht. 
_A1B645117B762A2E	outpost_squad_heavy_melee_fighter_e.outpost_squad	Truppe von schweren Kämpfern	Eine Truppe von acht Expertensöldnern, die aus Kämpfern mit schweren Rüstungen und Zweihandwaffen, sowie einem Heiler besteht. 
_A1B73FFA7D762A1F	outpost_squad_heavy_melee_fighter_f.outpost_squad	Truppe von schweren Kämpfern	Eine Truppe von acht Meistersöldnern, die aus Kämpfern mit schweren Rüstungen und Zweihandwaffen, sowie einem Heiler besteht. 
_2B09BFC50EF80C5E	outpost_squad_tank_b.outpost_squad	Truppe von Beschützern	Eine Truppe von acht Lehrlingssöldnern, die aus Kämpfern mit schweren Rüstungen und leichten Waffen und Schilden, sowie einem Heiler besteht. 
_2A29C1BE0F38DC5C	outpost_squad_tank_c.outpost_squad	Truppe von Beschützern	Eine Truppe von acht bestätigten Söldnern, die aus Kämpfern mit schweren Rüstungen und leichten Waffen und Schilden, sowie einem Heiler besteht. 
_F8B55F7529227DE0	outpost_squad_tank_d.outpost_squad	Truppe von Beschützern	Eine Truppe von acht erfahrenen Söldnern, die aus Kämpfern mit schweren Rüstungen und leichten Waffen und Schilden, sowie einem Heiler besteht. 
_BB755F75CCB341E7	outpost_squad_tank_e.outpost_squad	Truppe von Beschützern	Eine Truppe von acht Expertensöldnern, die aus Kämpfern mit schweren Rüstungen und leichten Waffen und Schilden, sowie einem Heiler besteht. 
_35F55F7508B37D65	outpost_squad_tank_f.outpost_squad	Truppe von Beschützern	Eine Truppe von acht Meistersöldnern, die aus Kämpfern mit schweren Rüstungen und leichten Waffen und Schilden, sowie einem Heiler besteht. 
_5601C36FA8D20761	outpost_squad_light_range_fighter_b.outpost_squad	Truppe von Waffenkämpfern	Eine Truppe von acht Lehrlingssöldnern, die aus Schützen in mittleren Rüstungen mit Pistolen, sowie einem Heiler besteht. 
_76A0D373A5B10363	outpost_squad_light_range_fighter_c.outpost_squad	Truppe von Waffenkämpfern	Eine Truppe von acht bestätigten Söldnern, die aus Schützen in mittleren Rüstungen mit Pistolen, sowie einem Heiler besteht. 
_A5F22FBC0B41E9D0	outpost_squad_light_range_fighter_d.outpost_squad	Truppe von Waffenkämpfern	Eine Truppe von acht erfahrenen Söldnern, die aus Schützen in mittleren Rüstungen mit Pistolen, sowie einem Heiler besteht. 
_A50259C547B211CC	outpost_squad_light_range_fighter_e.outpost_squad	Truppe von Waffenkämpfern	Eine Truppe von acht Expertensöldnern, die aus Schützen in mittleren Rüstungen mit Pistolen, sowie einem Heiler besteht. 
_A5121DC50B99B5D4	outpost_squad_light_range_fighter_f.outpost_squad	Truppe von Waffenkämpfern	Eine Truppe von acht Meistersöldnern, die aus Schützen in mittleren Rüstungen mit Pistolen, sowie einem Heiler besteht. 
_C403E2D6AEC519C7	outpost_squad_medium_range_fighter_b.outpost_squad	Truppe von Pistolenschützen	Eine Truppe von acht Lehrlingssöldnern bestehend aus Schützen in mittleren Rüstungen mit Gewehren, sowie einem Heiler. 
_C323E4CFAF05E9C5	outpost_squad_medium_range_fighter_c.outpost_squad	Truppe von Pistolenschützen	Eine Truppe von acht bestätigten Söldnern bestehend aus Schützen in mittleren Rüstungen mit Gewehren, sowie einem Heiler. 
_89DC33F311346898	outpost_squad_medium_range_fighter_d.outpost_squad	Truppe von Pistolenschützen	Eine Truppe von acht erfahrenen Söldnern bestehend aus Schützen in mittleren Rüstungen mit Gewehren, sowie einem Heiler. 
_4C9C33F3B4C52C9F	outpost_squad_medium_range_fighter_e.outpost_squad	Truppe von Pistolenschützen	Eine Truppe von acht Expertensöldnern bestehend aus Schützen in mittleren Rüstungen mit Gewehren, sowie einem Heiler. 
_C61C33F3F0C5681D	outpost_squad_medium_range_fighter_f.outpost_squad	Truppe von Pistolenschützen	Eine Truppe von acht Meistersöldnern bestehend aus Schützen in mittleren Rüstungen mit Gewehren, sowie einem Heiler. 
_1043FDD2C7CB4EF4	outpost_squad_heavy_range_fighter_b.outpost_squad	Truppe von Artillerieschützen	Eine Truppe von acht Lehrlingssöldnern bestehend aus Schützen mit Maschinengewehren und Granatenwerfern, sowie einem Heiler. 
_1192F5D147D332F8	outpost_squad_heavy_range_fighter_c.outpost_squad	Truppe von Artillerieschützen	Eine Truppe von acht bestätigten Söldnern bestehend aus Schützen mit Maschinengewehren und Granatenwerfern, sowie einem Heiler. 
_99F2301FEE875442	outpost_squad_heavy_range_fighter_d.outpost_squad	Truppe von Artillerieschützen	Eine Truppe von acht erfahrenen Söldnern bestehend aus Schützen mit Maschinengewehren und Granatenwerfern, sowie einem Heiler. 
_DB114C29ED8754CD	outpost_squad_heavy_range_fighter_e.outpost_squad	Truppe von Artillerieschützen	Eine Truppe von acht Expertensöldnern bestehend aus Schützen mit Maschinengewehren und Granatenwerfern, sowie einem Heiler. 
_DB124612EF8754BE	outpost_squad_heavy_range_fighter_f.outpost_squad	Truppe von Artillerieschützen	Eine Truppe von acht Meistersöldnern bestehend aus Schützen mit Maschinengewehren und Granatenwerfern, sowie einem Heiler. 
_70CFDE9FE7F12A5B	outpost_squad_light_mixed_fighter_b.outpost_squad	Truppe von Geländeläufern	Eine Truppe von acht Lehrlingssöldnern bestehend aus Kämpfern und Schützen mit schnellen Waffen und Pistolen, sowie einem Heiler.
_6DBEDAA107803A5F	outpost_squad_light_mixed_fighter_c.outpost_squad	Truppe von Geländeläufern	Eine Truppe von acht bestätigten Söldnern bestehend aus Kämpfern und Schützen mit schnellen Waffen und Pistolen, sowie einem Heiler.
_BBDA84BDC96B2A68	outpost_squad_light_mixed_fighter_d.outpost_squad	Truppe von Geländeläufern	Eine Truppe von acht erfahrenen Söldnern bestehend aus Kämpfern und Schützen mit schnellen Waffen und Pistolen, sowie einem Heiler.
_F75BACB9C96B5471	outpost_squad_light_mixed_fighter_e.outpost_squad	Truppe von Geländeläufern	Eine Truppe von acht Expertensöldnern bestehend aus Kämpfern und Schützen mit schnellen Waffen und Pistolen, sowie einem Heiler.
_BB5250C1C96B1871	outpost_squad_light_mixed_fighter_f.outpost_squad	Truppe von Geländeläufern	Eine Truppe von acht Meistersöldnern bestehend aus Kämpfern und Schützen mit schnellen Waffen und Pistolen, sowie einem Heiler.
