*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
_BB2D9922E969FAC3	BFMD04	Bleeding 4	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 65.	Bleeding 4 - Max factor: $2BLEED_FACTOR
_BB2D991DEA6902C3	BFMD05	Bleeding 5	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 90.	Bleeding 5 - Max factor: $2BLEED_FACTOR
_D9A604BEB1BB0CC5	BFMD06	Bleeding 6	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 115.	Bleeding 6 - Max factor: $2BLEED_FACTOR
_D9A6F0C1F1CB10C5	BFMD07	Bleeding 7	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 140.	Bleeding 7 - Max factor: $2BLEED_FACTOR
_D9A604C332DB14C5	BFMD08	Bleeding 8	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 165.	Bleeding 8 - Max factor: $2BLEED_FACTOR
_D9A6F0BDB2EB18C5	BFMD09	Bleeding 9	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 200.	Bleeding 9 - Max factor: $2BLEED_FACTOR
_F94EC548C8D1F16F	BFMD10	Bleeding 10	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 235.	Bleeding 10 - Max factor: $2BLEED_FACTOR
_F94ED54AC8D1F56F	BFMD11	Bleeding 11	a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 275.	Bleeding 11 - Max factor: $2BLEED_FACTOR
_FB23D9FEEEB2F0F1	BFCA01	Stamina Credit 1	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 6 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA1191CCDA	BFCA02	Stamina Credit 2	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 10 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA1101D0DB	BFCA03	Stamina Credit 3	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 16 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA11B1D8DC	BFCA04	Stamina Credit 4	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 20 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA1121DCDD	BFCA05	Stamina Credit 5	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 26 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA11D1E4DE	BFCA06	Stamina Credit 6	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 30 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA11E1ECDF	BFCA07	Stamina Credit 7	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 40 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA11F1F4E0	BFCA08	Stamina Credit 8	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 50 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA1161FCE1	BFCA09	Stamina Credit 9	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 66 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_736A4DC80A3C7E15	BFCA10	Stamina Credit 10	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 80 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C383325EE8	BFCA11	Stamina Credit 11	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 100 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C5C34262E8	BFCA12	Stamina Credit 12	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 120 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C7035266E8	BFCA13	Stamina Credit 13	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 140 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C944626AE8	BFCA14	Stamina Credit 14	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 160 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200CB84726EE8	BFCA15	Stamina Credit 15	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 180 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C3048272E8	BFCA16	Stamina Credit 16	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 200 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613218C5449276E8	BFCA17	Stamina Credit 17	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 226 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C885A27AE8	BFCA18	Stamina Credit 18	a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 250 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_19E43C71CB935350	BFCB01	HP Credit 1	a	the				Consumes $|HP hit points - gives 10 credits.	Consumes $|HP hit points
_19E43C71CBB35750	BFCB02	HP Credit 2	a	the				Consumes $|HP hit points - gives 20 credits.	Consumes $|HP hit points
_19E43C710CD35B50	BFCB03	HP Credit 3	a	the				Consumes $|HP hit points - gives 35 credits.	Consumes $|HP hit points
_19E43C71CB035F50	BFCB04	HP Credit 4	a	the				Consumes $|HP hit points - gives 50 credits.	Consumes $|HP hit points
_19E43C710C336350	BFCB05	HP Credit 5	a	the				Consumes $|HP hit points - gives 75 credits.	Consumes $|HP hit points
_A9ACCA5B0C310C44	BFCB06	HP Credit 6	a	the				Consumes $|HP hit points - gives 100 credits.	Consumes $|HP hit points
_A9ACCA608C411044	BFCB07	HP Credit 7	a	the				Consumes $|HP hit points - gives 125 credits.	Consumes $|HP hit points
_A9ACCA5B4D511444	BFCB08	HP Credit 8	a	the				Consumes $|HP hit points - gives 150 credits.	Consumes $|HP hit points
_A9ACCA60CD611844	BFCB09	HP Credit 9	a	the				Consumes $|HP hit points - gives 175 credits.	Consumes $|HP hit points
_77C891279775C79F	BFCB10	HP Credit 10	a	the				Consumes $|HP hit points - gives 200 credits.	Consumes $|HP hit points
_FBD166D630AAB50C	BFCC01	Opening After Dodge 1	an	the				Makes the action only usable after you dodge successfully- gives 10 credits.	Opening After dodge 1
_FBE166D770AAB90C	BFCC02	Opening After Dodge 2	an	the				Makes the action only usable after you dodge successfully- gives 20 credits.	Opening After dodge 2
_FBF17AD8B0AABD0C	BFCC03	Opening After Dodge 3	an	the				Makes the action only usable after you dodge successfully- gives 35 credits.	Opening After dodge 3
_FB0166DAF1AAC10C	BFCC04	Opening After Dodge 4	an	the				Makes the action only usable after you dodge successfully- gives 50 credits.	Opening After dodge 4
_FB117ADC31AAC50C	BFCC05	Opening After Dodge 5	an	the				Makes the action only usable after you dodge successfully- gives 75 credits.	Opening After dodge 5
_553B754EA96FF9D4	BFCC06	Opening After Dodge 6	an	the				Makes the action only usable after you dodge successfully- gives 100 credits.	Opening After dodge 6
_559B7D4FA96FFDD4	BFCC07	Opening After Dodge 7	an	the				Makes the action only usable after you dodge successfully- gives 125 credits.	Opening After dodge 7
_555B8950A96F01D4	BFCC08	Opening After Dodge 8	an	the				Makes the action only usable after you dodge successfully- gives 150 credits.	Opening After dodge 8
_556B9551A96F05D4	BFCC09	Opening After Dodge 9	an	the				Makes the action only usable after you dodge successfully- gives 180 credits.	Opening After dodge 9
_666B19F81300ED7B	BFCC10	Opening After Dodge 10	an	the				Makes the action only usable after you dodge successfully- gives 215 credits.	Opening After dodge 10
_65BB19F81300F17B	BFCC11	Opening After Dodge 11	an	the				Makes the action only usable after you dodge successfully- gives 250 credits.	Opening After dodge 11
_3CB296EAF3CCF931	BFCD01	Opening After Parry 1	an	the				Makes the action only usable after you parry successfully- gives 10 credits.	Opening After parry 1
_3CC296EB33CCFD31	BFCD02	Opening After Parry 2	an	the				Makes the action only usable after you parry successfully- gives 20 credits.	Opening After parry 2
_3CD2AAEC73CC0131	BFCD03	Opening After Parry 3	an	the				Makes the action only usable after you parry successfully- gives 35 credits.	Opening After parry 3
_3CE296EEB4CC0531	BFCD04	Opening After Parry 4	an	the				Makes the action only usable after you parry successfully- gives 50 credits.	Opening After parry 4
_3CF2AAF0F4CC0931	BFCD05	Opening After Parry 5	an	the				Makes the action only usable after you parry successfully- gives 75 credits.	Opening After parry 5
_90BD75626CD219FC	BFCD06	Opening After Parry 6	an	the				Makes the action only usable after you parry successfully- gives 100 credits.	Opening After parry 6
_901D7D636CD21DFC	BFCD07	Opening After Parry 7	an	the				Makes the action only usable after you parry successfully- gives 125 credits.	Opening After parry 7
_90DD89646CD221FC	BFCD08	Opening After Parry 8	an	the				Makes the action only usable after you parry successfully- gives 150 credits.	Opening After parry 8
_90ED95656CD225FC	BFCD09	Opening After Parry 9	an	the				Makes the action only usable after you parry successfully- gives 180 credits.	Opening After parry 9
_AD6B190CE043256B	BFCD10	Opening After Parry 10	an	the				Makes the action only usable after you parry successfully- gives 215 credits.	Opening After parry 10
_ACBB190CE043296B	BFCD11	Opening After Parry 11	an	the				Makes the action only usable after you parry successfully- gives 250 credits.	Opening After parry 11
_2620283E907F0041	BFCE01	Opening After Critical Hit 1	an	the				Makes the action only usable after you deliver a critical hit - gives 10 credits.	Opening After critical hit 1
_6620303E907F0441	BFCE02	Opening After Critical Hit 2	an	the				Makes the action only usable after you deliver a critical hit - gives 20 credits.	Opening After critical hit 2
_A620383E907F0846	BFCE03	Opening After Critical Hit 3	an	the				Makes the action only usable after you deliver a critical hit - gives 35 credits.	Opening After critical hit 3
_2720403E907F0C41	BFCE04	Opening After Critical Hit 4	an	the				Makes the action only usable after you deliver a critical hit - gives 50 credits.	Opening After critical hit 4
_A720483E907F1046	BFCE05	Opening After Critical Hit 5	an	the				Makes the action only usable after you deliver a critical hit - gives 75 credits.	Opening After critical hit 5
_F3D22CA7BCA62952	BFCE06	Opening After Critical Hit 6	an	the				Makes the action only usable after you deliver a critical hit - gives 100 credits.	Opening After critical hit 6
_F3E230A7BCA64154	BFCE07	Opening After Critical Hit 7	an	the				Makes the action only usable after you deliver a critical hit - gives 125 credits.	Opening After critical hit 7
_F3F234A7BCA63157	BFCE08	Opening After Critical Hit 8	an	the				Makes the action only usable after you deliver a critical hit - gives 150 credits.	Opening After critical hit 8
_F30238A7BCA6355A	BFCE09	Opening After Critical Hit 9	an	the				Makes the action only usable after you deliver a critical hit - gives 180 credits.	Opening After critical hit 9
_07A7CFEAB83F97CB	BFCE10	Opening After Critical Hit 10	an	the				Makes the action only usable after you deliver a critical hit - gives 215 credits.	Opening After critical hit 10
_07B7CFEAB8EFABCC	BFCE11	Opening After Critical Hit 11	an	the				Makes the action only usable after you deliver a critical hit - gives 250 credits.	Opening after critical hit 11
_7CAAB8240F2852AF	BCPA01	Fyros Melee Weapons	a	the				Base stanza for crafting Fyros melee weapons.	
_7CCAC020D04846B4	BCPA02	Fyros Range Weapons	a	the				Base stanza for crafting Fyros range weapons.	
_FA21B3A084126C07	BCPA03	Fyros Ammo	a	the				Base stanza for crafting Fyros ammo.	
_25196EB206B0AE60	BCPA04	Fyros Armor	a	the				Base stanza for crafting Fyros armor.	
_D035D75A6F679DD2	BCPA05	Fyros Shields	a	the				Base stanza for crafting Fyros shields.	
_A3BA3AB584518263	BCPA06	Fyros Jewels	a	the				Base stanza for crafting Fyros jewels.	
_FD29BC2609986AA9	BCPA07	Matis Melee Weapons	a	the				Base stanza for crafting Matis melee weapons.	
_FD49C422CAB85EAE	BCPA08	Matis Range Weapons	a	the				Base stanza for crafting Matis range weapons.	
_3C90679E7E828407	BCPA09	Matis Ammo	a	the				Base stanza for crafting Matis ammo.	
_1F8956B400208663	BCPA10	Matis Armor	a	the				Base stanza for crafting Matis armor.	
_9235BF5C697795BB	BCPA11	Matis Shields	a	the				Base stanza for crafting Matis shields.	
_9D2A22B77EC15A66	BCPA12	Matis Jewels	a	the				Base stanza for crafting Matis jewels.	
_EFA2E45EC839A0ED	BCPA13	Tryker Melee Weapons	a	the				Base stanza for crafting Tryker melee weapons.	
_6F62F86048F9B8EF	BCPA14	Tryker Range Weapons	a	the				Base stanza for crafting Tryker range weapons.	
_1F7CA72E11F2FCDE	BCPA15	Tryker Ammo	a	the				Base stanza for crafting Tryker ammo.	
_2AE232B62C7AAD81	BCPA16	Tryker Armor	a	the				Base stanza for crafting Tryker armor.	
_8C676CECB2765E46	BCPA17	Tryker Shields	a	the				Base stanza for crafting Tryker shields.	
_E7721AACAE48B18B	BCPA18	Tryker Jewels	a	the				Base stanza for crafting Tryker jewels.	
_7CD0D0248C694AA2	BCPA19	Zoraï Melee Weapons	a	the				Base stanza for crafting Zoraï melee weapons.	
_7CF0D8204D8916A8	BCPA20	Zoraï Range Weapons	a	the				Base stanza for crafting Zoraï range weapons.	
_77E853B4015364FF	BCPA21	Zoraï Ammo	a	the				Base stanza for crafting Zoraï ammo.	
_A22136B283506E62	BCPA22	Zoraï Armor	a	the				Base stanza for crafting Zoraï armor.	
_D5FC9F5A6AC895CA	BCPA23	Zoraï Shields	a	the				Base stanza for crafting Zoraï shields.	
_20C202B501F14265	BCPA24	Zoraï Jewels	a	the				Base stanza for crafting Zoraï jewels.	
_F2BD00EFAB473B2A	BIF01	%comp	a	the					
_F2BD00EFAB473B2B	BIF02	%comp	a	the					
_F2BD00EFAB473B2C	BIF03	%comp	a	the					
_F2BD00EFAB473B2D	BIF04	%comp	a	the					
_F2BD00EFAB473B2E	BIF05	%comp	a	the					
_F2BD00EFAB473B2F	BIF06	%comp	a	the					
_4414D1D754F87749	BIF07	%comp with One-handed Mace	a	the					
_F2BD00EFAB473B31	BIF08	%comp	a	the					
_1310C067D555CE38	BIF09	%comp with Staff	a	the					
_32BD00EFAB473B29	BIF10	%comp	a	the					
_32BD00EFAB473B2A	BIF11	%comp	a	the					
_32BD00EFAB473B2B	BIF12	%comp	a	the					
_32BD00EFAB473B2C	BIF13	%comp	a	the					
_1250B067D555BA40	BIF14	%comp with Spear	a	the					
_32BD00EFAB473B2E	BIF15	%comp	a	the					
_32BD00EFAB473B2F	BIF16	%comp	a	the					
_32BD00EFAB473B30	BIF17	%comp	a	the					
_81BEC5CB19B87F61	BIF18	%comp with One-handed Axe	a	the					
_32BD00EFAB473B32	BIF19	%comp	a	the					
_9E4401C415C9A758	BIF20	%comp with One-handed Sword	a	the					
_72BD00EFAB473B2A	BIF21	%comp with One-handed Sword	a	the					
_72BD00EFAB473B2B	BIF22	%comp	a	the					
_72BD00EFAB473B2C	BIF23	%comp	a	the					
_72BD00EFAB473B2D	BIF24	%comp	a	the					
_72BD00EFAB473B2E	BIF25	%comp	a	the					
_C4B4F5DC54F87748	BIF26	%comp with Two-handed Mace	a	the					
_72BD00EFAB473B30	BIF27	%comp	a	the					
_72BD00EFAB473B31	BIF28	%comp	a	the					
_72BD00EFAB473B32	BIF29	%comp	a	the					
_CE80B0411778CA2A	BIF30	%comp with Pike	a	the					
_B2BD00EFAB473B2A	BIF31	%comp	a	the					
_B2BD00EFAB473B2B	BIF32	%comp	a	the					
_B2BD00EFAB473B2C	BIF33	%comp	a	the					
_015EE9D019B87F5D	BIF34	%comp with Two-handed Axe	a	the					
_B2BD00EFAB473B2E	BIF35	%comp	a	the					
_B2BD00EFAB473B2F	BIF36	%comp	a	the					
_B2BD00EFAB473B30	BIF37	%comp	a	the					
_DEE425C915C9A760	BIF38	%comp with Two-handed Sword	a	the					
_B2BD00EFAB473B32	BIF39	%comp with Two-handed Sword	a	the					
_F3BD00EFAB473B29	BIF40	%comp	a	the					
_F3BD00EFAB473B2A	BIF41	%comp	a	the					
_F3BD00EFAB473B2B	BIF42	%comp	a	the					
_F3BD00EFAB473B2C	BIF43	%comp	a	the					
_1500005B4915FE48	BIF44	%comp with Dagger	a	the					
_F3BD00EFAB473B2E	BIF45	%comp with Dagger	a	the					
_F3BD00EFAB473B2F	BIF46	%comp	a	the					
_747975A146FE6454	BIF47	%comp with Hand to Hand Combat	a	the					
_F3BD00EFAB473B31	BIF48	%comp	a	the					
_F3BD00EFAB473B32	BIF49	%comp	a	the					
_33BD00EFAB473B29	BIF50	%comp	a	the					
_33BD00EFAB473B2A	BIF51	%comp	a	the					
_6024285D4F973B69	BIF52	%comp with Bowpistol	a	the					
_33BD00EFAB473B2C	BIF53	%comp	a	the					
_33BD00EFAB473B2D	BIF54	%comp	a	the					
_33BD00EFAB473B2E	BIF55	%comp	a	the					
_99C120674935EA54	BIF56	%comp with Pistol	a	the					
_33BD00EFAB473B30	BIF57	%comp	a	the					
_33BD00EFAB473B31	BIF58	%comp	a	the					
_33BD00EFAB473B32	BIF59	%comp	a	the					
_73BD00EFAB473B29	BIF60	%comp	a	the					
_E1035C53D799BB67	BIF61	%comp with Autolauncher	a	the					
_73BD00EFAB473B2B	BIF62	%comp	a	the					
_73BD00EFAB473B2C	BIF63	%comp	a	the					
_5F637452C9E62348	BIF64	%comp with Bowrifle	a	the					
_73BD00EFAB473B2E	BIF65	%comp	a	the					
_73BD00EFAB473B2F	BIF66	%comp	a	the					
_73BD00EFAB473B30	BIF67	%comp	a	the					
_5E433C5C0C762B46	BIF68	%comp with Launcher	a	the					
_73BD00EFAB473B32	BIF69	%comp	a	the					
_B3BD00EFAB473B29	BIF70	%comp	a	the					
_56609466D555AE36	BIF71	%comp with Rifle	a	the					
_B3BD00EFAB473B2B	BIF72	%comp	a	the					
_B3BD00EFAB473B2C	BIF73	%comp	a	the					
_B3BD00EFAB473B2D	BIF74	%comp	a	the					
_B3BD00EFAB473B2E	BIF75	%comp	a	the					
_B3BD00EFAB473B2F	BIF76	%comp	a	the					
_B3BD00EFAB473B30	BIF77	%comp	a	the					
_B3BD00EFAB473B31	BIF78	%comp	a	the					
_B3BD00EFAB473B32	BIF79	%comp	a	the					
_F4BD00EFAB473B29	BIF80	%comp	a	the					
_F4BD00EFAB473B2A	BIF81	%comp	a	the					
_F4BD00EFAB473B2B	BIF82	%comp	a	the					
_F4BD00EFAB473B2C	BIF83	%comp	a	the					
_F4BD00EFAB473B2D	BIF84	%comp	a	the					
_F4BD00EFAB473B2E	BIF85	%comp	a	the					
_F4BD00EFAB473B2F	BIF86	%comp	a	the					
_F4BD00EFAB473B30	BIF87	%comp	a	the					
_F4BD00EFAB473B31	BIF88	%comp	a	the					
_F4BD00EFAB473B32	BIF89	%comp	a	the					
_34BD00EFAB473B29	BIF90	%comp	a	the					
_34BD00EFAB473B2A	BIF91	%comp	a	the					
_34BD00EFAB473B2B	BIF92	%comp	a	the					
_34BD00EFAB473B2C	BIF93	%comp	a	the					
_34BD00EFAB473B2D	BIF94	%comp	a	the					
_34BD00EFAB473B2E	BIF95	%comp	a	the					
_34BD00EFAB473B2F	BIF96	%comp	a	the					
_34BD00EFAB473B30	BIF97	%comp	a	the					
_34BD00EFAB473B31	BIF98	%comp	a	the					
_34BD00EFAB473B32	BIF99	%comp	a	the					
_B8DBDDF723F4A6CE	BIF100	%comp	a	the					
_B8DBDDF723F4AACE	BIF101	%comp	a	the					
_B8DBDDF723F4AECE	BIF102	%comp	a	the					
_B8DBDDF723F4B2CE	BIF103	%comp	a	the					
_B8DBDDF723F4B6CE	BIF104	%comp	a	the					
_B8DBDDF723F4BACE	BIF105	%comp	a	the					
_B8DBDDF723F4BECE	BIF106	%comp	a	the					
_B8DBDDF723F4C2CE	BIF107	%comp	a	the					
_B8DBDDF723F4C6CE	BIF108	%comp	a	the					
_B8DBDDF723F4CACE	BIF109	%comp	a	the					
_B8DBDDF723F4A6CF	BIF110	%comp	a	the					
_B8DBDDF723F4AACF	BIF111	%comp	a	the					
_B8DBDDF723F4AECF	BIF112	%comp	a	the					
_B8DBDDF723F4B2CF	BIF113	%comp	a	the					
_B8DBDDF723F4B6CF	BIF114	%comp	a	the					
_B8DBDDF723F4BACF	BIF115	%comp	a	the					
_B8DBDDF723F4BECF	BIF116	%comp	a	the					
_B8DBDDF723F4C2CF	BIF117	%comp	a	the					
_B8DBDDF723F4C6CF	BIF118	%comp	a	the					
_B8DBDDF723F4CACF	BIF119	%comp	a	the					
_B8DBDDF723F4A6D0	BIF120	%comp	a	the					
_B8DBDDF723F4AAD0	BIF121	%comp	a	the					
_F17CB99965E9DA08	melee_reduce_latency_1	Reduce Latency 1	a	the				Put here the Stanza Description.	
_C89A16ADDC5721EB	bcfpea13	Bowpistol Smashing Ammo	a	the				Crafting plan for Fyros bowpistol smashing ammo.	
_23881AAB5C38BE48	bcfpea14	Bowpistol Piercing Ammo	a	the				Crafting plan for Fyros bowpistol piercing ammo.	
_63982AAA5D68BE4D	bcfpea15	Bowpistol Slashing Ammo	a	the				Crafting plan for Fyros bowpistol slashing ammo.	
_66785758E8E36ED0	bcfpea07	Grenade Smashing Ammo	a	the				Crafting plan for Fyros grenade smashing ammo.	
_A54804B6C2B37EC0	bcfpea08	Grenade Piercing Ammo	a	the				Crafting plan for Fyros grenade piercing ammo.	
_66C808B2C33382BC	bcfpea09	Grenade Slashing Ammo	a	the				Crafting plan for Fyros grenade slashing ammo.	
_4153BBF465B5A5CB	bcfpea16	Pistol Smashing Ammo	a	the				Crafting plan for Fyros pistol smashing ammo.	
_42526B067A6B82BA	bcfpea17	Pistol Piercing Ammo	a	the				Crafting plan for Fyros pistol piercing ammo.	
_82128B0ABA9B8EBF	bcfpea18	Pistol Slashing Ammo	a	the				Crafting plan for Fyros pistol slashing ammo.	
_830E30FA25DD798A	bcfpea01	Autolauncher Smashing Ammo	a	the				Crafting plan for Fyros autolauncher smashing ammo.	
