*HASH_VALUE	sbrick ID	name	named	p	pd	ia	da	pia	pda	description	description2
-	BFMC08	Präzisionsangriff 8    	Präzisionsangriff 8    	Präzisionsangriffe 8    	Präzisionsangriffe 8    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 170.	Präzisionsangriff 8, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC09	Präzisionsangriff 9    	Präzisionsangriff 9    	Präzisionsangriffe 9    	Präzisionsangriffe 9    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 200.	Präzisionsangriff 9, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC10	Präzisionsangriff 10    	Präzisionsangriff 10    	Präzisionsangriffe 10    	Präzisionsangriffe 10    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 235.	Präzisionsangriff 10, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMC11	Präzisionsangriff 11    	Präzisionsangriff 11    	Präzisionsangriffe 11    	Präzisionsangriffe 11    	eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 275.	Präzisionsangriff 11, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
-	BFMD01	Blutungsangriff 1    	Blutungsangriff 1    	Blutungsangriffe 1    	Blutungsangriffe 1    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 25.	Blutungsangriff 1, max. Faktor: $2BLEED_FACTOR
-	BFMD02	Blutungsangriff 2    	Blutungsangriff 2    	Blutungsangriffe 2    	Blutungsangriffe 2    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 35.	Blutungsangriff 2, max. Faktor: $2BLEED_FACTOR
-	BFMD03	Blutungsangriff 3    	Blutungsangriff 3    	Blutungsangriffe 3    	Blutungsangriffe 3    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 50.	Blutungsangriff 3, max. Faktor: $2BLEED_FACTOR
-	BFMD04	Blutungsangriff 4    	Blutungsangriff 4    	Blutungsangriffe 4    	Blutungsangriffe 4    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 65.	Blutungsangriff 4, max. Faktor: $2BLEED_FACTOR
-	BFMD05	Blutungsangriff 5    	Blutungsangriff 5    	Blutungsangriffe 5    	Blutungsangriffe 5    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 90.	Blutungsangriff 5, max. Faktor: $2BLEED_FACTOR
-	BFMD06	Blutungsangriff 6    	Blutungsangriff 6    	Blutungsangriffe 6    	Blutungsangriffe 6    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 115.	Blutungsangriff 6, max. Faktor: $2BLEED_FACTOR
-	BFMD07	Blutungsangriff 7    	Blutungsangriff 7    	Blutungsangriffe 7    	Blutungsangriffe 7    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 140.	Blutungsangriff 7, max. Faktor: $2BLEED_FACTOR
-	BFMD08	Blutungsangriff 8    	Blutungsangriff 8    	Blutungsangriffe 8    	Blutungsangriffe 8    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 165.	Blutungsangriff 8, max. Faktor: $2BLEED_FACTOR
-	BFMD09	Blutungsangriff 9    	Blutungsangriff 9    	Blutungsangriffe 9    	Blutungsangriffe 9    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 200.	Blutungsangriff 9, max. Faktor: $2BLEED_FACTOR
-	BFMD10	Blutungsangriff 10    	Blutungsangriff 10    	Blutungsangriffe 10    	Blutungsangriffe 10    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 235.	Blutungsangriff 10, max. Faktor: $2BLEED_FACTOR
-	BFMD11	Blutungsangriff 11    	Blutungsangriff 11    	Blutungsangriffe 11    	Blutungsangriffe 11    	eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 275.	Blutungsangriff 11, max. Faktor: $2BLEED_FACTOR
-	BFCA01	Ausdauerabzug 1	Ausdauerabzug 1	Ausdauerabzüge 1	Ausdauerabzüge 1	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 6  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA02	Ausdauerabzug 2	Ausdauerabzug 2	Ausdauerabzüge 2    	Ausdauerabzüge 2    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 10  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA03	Ausdauerabzug 3	Ausdauerabzug 3	Ausdauerabzüge 3	Ausdauerabzüge 3	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 16  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA04	Ausdauerabzug 4	Ausdauerabzug 4	Ausdauerabzüge 4    	Ausdauerabzüge 4    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 20  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA05	Ausdauerabzug 5	Ausdauerabzug 5	Ausdauerabzüge 5	Ausdauerabzüge 5	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 26  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA06	Ausdauerabzug 6	Ausdauerabzug 6	Ausdauerabzüge 6    	Ausdauerabzüge 6    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 30  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA07	Ausdauerabzug 7	Ausdauerabzug 7	Ausdauerabzüge 7    	Ausdauerabzüge 7    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 40  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA08	Ausdauerabzug 8	Ausdauerabzug 8	Ausdauerabzüge 8    	Ausdauerabzüge 8    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 50  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA09	Ausdauerabzug 9	Ausdauerabzug 9	Ausdauerabzüge 9	Ausdauerabzüge 9	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 66  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA10	Ausdauerabzug 10	Ausdauerabzug 10	Ausdauerabzüge 10    	Ausdauerabzüge 10    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 80  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA11	Ausdauerabzug 11	Ausdauerabzug 11	Ausdauerabzüge 11    	Ausdauerabzüge 11    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 100  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA12	Ausdauerabzug 12	Ausdauerabzug 12	Ausdauerabzüge 12    	Ausdauerabzüge 12    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 120  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA13	Ausdauerabzug 13	Ausdauerabzug 13	Ausdauerabzüge 13    	Ausdauerabzüge 13    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 140  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA14	Ausdauerabzug 14	Ausdauerabzug 14	Ausdauerabzüge 14    	Ausdauerabzüge 14    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 160  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA15	Ausdauerabzug 15	Ausdauerabzug 15	Ausdauerabzüge 15    	Ausdauerabzüge 15    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 180  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA16	Ausdauerabzug 16	Ausdauerabzug 16	Ausdauerabzüge 16    	Ausdauerabzüge 16    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 200  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA17	Ausdauerabzug 17	Ausdauerabzug 17	Ausdauerabzüge 17	Ausdauerabzüge 17	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 226  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCA18	Ausdauerabzug 18	Ausdauerabzug 18	Ausdauerabzüge 18    	Ausdauerabzüge 18    	ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 250  	Ausdauer-Abzug zum Ausgleich von Optionen
-	BFCB01	Lebensabzug 1    	Lebensabzug 1    	Lebensabzüge 1    	Lebensabzüge 1    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 10 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB02	Lebensabzug 2    	Lebensabzug 2    	Lebensabzüge 2    	Lebensabzüge 2    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 20 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB03	Lebensabzug 3    	Lebensabzug 3    	Lebensabzüge 3    	Lebensabzüge 3    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 35 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB04	Lebensabzug 4    	Lebensabzug 4    	Lebensabzüge 4    	Lebensabzüge 4    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 50 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB05	Lebensabzug 5    	Lebensabzug 5    	Lebensabzüge 5    	Lebensabzüge 5    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 75 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB06	Lebensabzug 6    	Lebensabzug 6    	Lebensabzüge 6    	Lebensabzüge 6    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 100 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB07	Lebensabzug 7    	Lebensabzug 7    	Lebensabzüge 7    	Lebensabzüge 7    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 125 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB08	Lebensabzug 8    	Lebensabzug 8    	Lebensabzüge 8    	Lebensabzüge 8    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 150 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB09	Lebensabzug 9    	Lebensabzug 9    	Lebensabzüge 9    	Lebensabzüge 9    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 175 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCB10	Lebensabzug 10    	Lebensabzug 10    	Lebensabzüge 10    	Lebensabzüge 10    	ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 200 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
-	BFCC01	Angriff nach Ausweichen 1  	Angriff nach Ausweichen 1  	Angriffe nach Ausweichen 1  	Angriffe nach Ausweichen 1  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 10   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC02	Angriff nach Ausweichen 2  	Angriff nach Ausweichen 2  	Angriffe nach Ausweichen 2  	Angriffe nach Ausweichen 2  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 20   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC03	Angriff nach Ausweichen 3  	Angriff nach Ausweichen 3  	Angriffe nach Ausweichen 3  	Angriffe nach Ausweichen 3  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 35  	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC04	Angriff nach Ausweichen 4  	Angriff nach Ausweichen 4  	Angriffe nach Ausweichen 4  	Angriffe nach Ausweichen 4  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 50   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC05	Angriff nach Ausweichen 5  	Angriff nach Ausweichen 5  	Angriffe nach Ausweichen 5  	Angriffe nach Ausweichen 5  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 75   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC06	Angriff nach Ausweichen 6  	Angriff nach Ausweichen 6  	Angriffe nach Ausweichen 6  	Angriffe nach Ausweichen 6  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 100   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC07	Angriff nach Ausweichen 7  	Angriff nach Ausweichen 7  	Angriffe nach Ausweichen 7  	Angriffe nach Ausweichen 7  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 125   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC08	Angriff nach Ausweichen 8  	Angriff nach Ausweichen 8  	Angriffe nach Ausweichen 8  	Angriffe nach Ausweichen 8  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 150   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC09	Angriff nach Ausweichen 9  	Angriff nach Ausweichen 9  	Angriffe nach Ausweichen 9  	Angriffe nach Ausweichen 9  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 180  	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC10	Angriff nach Ausweichen 10  	Angriff nach Ausweichen 10  	Angriffe nach Ausweichen 10  	Angriffe nach Ausweichen 10  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 215   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCC11	Angriff nach Ausweichen 11  	Angriff nach Ausweichen 11  	Angriffe nach Ausweichen 11  	Angriffe nach Ausweichen 11  	ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 250   	Angriff nur nach Ausweichen zum Ausgleich
-	BFCD01	Angriff nach Abwehren 1  	Angriff nach Abwehren 1  	Angriffe nach Abwehren 1  	Angriffe nach Abwehren 1  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 10  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD02	Angriff nach Abwehren 2  	Angriff nach Abwehren 2  	Angriffe nach Abwehren 2  	Angriffe nach Abwehren 2  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 20  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD03	Angriff nach Abwehren 3  	Angriff nach Abwehren 3  	Angriffe nach Abwehren 3  	Angriffe nach Abwehren 3  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 35  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD04	Angriff nach Abwehren 4  	Angriff nach Abwehren 4  	Angriffe nach Abwehren 4  	Angriffe nach Abwehren 4  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 50  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD05	Angriff nach Abwehren 5  	Angriff nach Abwehren 5  	Angriffe nach Abwehren 5  	Angriffe nach Abwehren 5  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 75  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD06	Angriff nach Abwehren 6  	Angriff nach Abwehren 6  	Angriffe nach Abwehren 6  	Angriffe nach Abwehren 6  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 100  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD07	Angriff nach Abwehren 7  	Angriff nach Abwehren 7  	Angriffe nach Abwehren 7  	Angriffe nach Abwehren 7  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 125  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD08	Angriff nach Abwehren 8  	Angriff nach Abwehren 8  	Angriffe nach Abwehren 8  	Angriffe nach Abwehren 8  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 150  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD09	Angriff nach Abwehren 9  	Angriff nach Abwehren 9  	Angriffe nach Abwehren 9  	Angriffe nach Abwehren 9  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 180  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD10	Angriff nach Abwehren 10  	Angriff nach Abwehren 10  	Angriffe nach Abwehren 10  	Angriffe nach Abwehren 10  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 215  	Angriff nur nach Abwehren zum Ausgleich
-	BFCD11	Angriff nach Abwehren 11  	Angriff nach Abwehren 11  	Angriffe nach Abwehren 11  	Angriffe nach Abwehren 11  	ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 250  	Angriff nur nach Abwehren zum Ausgleich
-	BFCE01	Angriff nach kritischem Treffer 1 	Angriff nach kritischem Treffer 1 	Angriffe nach kritischem Treffer 1 	Angriffe nach kritischem Treffer 1 	ein	der		die	Der Angriff kann nur nach einem kritischen Treffer ausgeführt werden, bringt dafür Ausgleich im Wert von 10  	Angriff nur nach kritischem Treffer zum Ausgleich
-	BFCE02	Angriff nach kritischem Treffer 2 	Angriff nach kritischem Treffer 2 	Angriffe nach kritischem Treffer 2 	Angriffe nach kritischem Treffer 2 	ein	der		die	Der Angriff kann nur nach einem kritischen Treffer ausgeführt werden, bringt dafür Ausgleich im Wert von 20  	Angriff nur nach kritischem Treffer zum Ausgleich
