// HASH_VALUE A575E93668996B62
// INDEX 0
abandon_mission	[&TSK&Has abandonado una misión.]
// HASH_VALUE 2D8BA479687BE488
// INDEX 44
boss_mainland_craftpart1d_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 45
boss_mainland_craftpart2a_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 46
boss_mainland_craftpart2a_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 637A66A061AAE359
// INDEX 47
boss_mainland_craftpart2a_mission_intro	[Restaura el plan de los guantes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 48
boss_mainland_craftpart2a_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 49
boss_mainland_craftpart2a_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 50
boss_mainland_craftpart2b_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 51
boss_mainland_craftpart2b_diag2	[Déjame ver... Ya he visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 637A66A061AAE359
// INDEX 52
boss_mainland_craftpart2b_mission_intro	[Restaura el plan de los guantes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 53
boss_mainland_craftpart2b_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 54
boss_mainland_craftpart2b_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 55
boss_mainland_craftpart2c_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 56
boss_mainland_craftpart2c_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 637A66A061AAE359
// INDEX 57
boss_mainland_craftpart2c_mission_intro	[Restaura el plan de los guantes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 58
boss_mainland_craftpart2c_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 59
boss_mainland_craftpart2c_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 60
boss_mainland_craftpart2d_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 61
boss_mainland_craftpart2d_diag2	[Déjame ver... He visto uno de estos antes, hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 637A66A061AAE359
// INDEX 62
boss_mainland_craftpart2d_mission_intro	[Restaura el plan de los guantes]

// HASH_VALUE AAC95B8967D5905C
// INDEX 63
boss_mainland_craftpart2d_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 64
boss_mainland_craftpart2d_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 65
boss_mainland_craftpart3a_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 66
boss_mainland_craftpart3a_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de restauración Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 67996AA3E54AF006
// INDEX 67
boss_mainland_craftpart3a_mission_intro	[Restaura el plan del cazco]

// HASH_VALUE AAC95B8967D5905C
// INDEX 68
boss_mainland_craftpart3a_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 69
boss_mainland_craftpart3a_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 70
boss_mainland_craftpart3b_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 71
boss_mainland_craftpart3b_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 67996AA3E54AF006
// INDEX 72
boss_mainland_craftpart3b_mission_intro	[Restaura el plan del cazco]

// HASH_VALUE AAC95B8967D5905C
// INDEX 73
boss_mainland_craftpart3b_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 74
boss_mainland_craftpart3b_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 75
boss_mainland_craftpart3c_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 76
boss_mainland_craftpart3c_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 67996AA3E54AF006
// INDEX 77
boss_mainland_craftpart3c_mission_intro	[Restaura el plan del cazco]

// HASH_VALUE AAC95B8967D5905C
// INDEX 78
boss_mainland_craftpart3c_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 79
boss_mainland_craftpart3c_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 80
boss_mainland_craftpart3d_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 81
boss_mainland_craftpart3d_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 67996AA3E54AF006
// INDEX 82
boss_mainland_craftpart3d_mission_intro	[Restaura el plan del cazco]

// HASH_VALUE AAC95B8967D5905C
// INDEX 83
boss_mainland_craftpart3d_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 84
boss_mainland_craftpart3d_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 85
boss_mainland_craftpart4a_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 86
boss_mainland_craftpart4a_diag2	[Déjame ver... He visto estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE AE091AA62859A00F
// INDEX 87
boss_mainland_craftpart4a_mission_intro	[Restaura el plan de los pantalones]

// HASH_VALUE AAC95B8967D5905C
// INDEX 88
boss_mainland_craftpart4a_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 89
boss_mainland_craftpart4a_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 90
boss_mainland_craftpart4b_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 91
boss_mainland_craftpart4b_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho timepo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE AE091AA62859A00F
// INDEX 92
boss_mainland_craftpart4b_mission_intro	[Restaura el plan de los pantalones]

// HASH_VALUE AAC95B8967D5905C
// INDEX 93
boss_mainland_craftpart4b_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 94
boss_mainland_craftpart4b_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 95
boss_mainland_craftpart4c_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 96
boss_mainland_craftpart4c_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utlizarlo?]

// HASH_VALUE AE091AA62859A00F
// INDEX 97
boss_mainland_craftpart4c_mission_intro	[Restaura el plan de los pantalones]

// HASH_VALUE AAC95B8967D5905C
// INDEX 98
boss_mainland_craftpart4c_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 99
boss_mainland_craftpart4c_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 100
boss_mainland_craftpart4d_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato.]

// HASH_VALUE CE582BECA55A745B
// INDEX 101
boss_mainland_craftpart4d_diag2	[Déjame ver... He visto una de estas antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE AE091AA62859A00F
// INDEX 102
boss_mainland_craftpart4d_mission_intro	[Restaura el plan de fabricación]

// HASH_VALUE AAC95B8967D5905C
// INDEX 103
boss_mainland_craftpart4d_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 104
boss_mainland_craftpart4d_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 105
boss_mainland_craftpart5a_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 106
boss_mainland_craftpart5a_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valisoso!\n
	Ahora está restaurado! Te gustaría que te enseñe cómo utilizarlo?]

// HASH_VALUE 28C922A0E5195F67
// INDEX 107
boss_mainland_craftpart5a_mission_intro	[Restaura el plan de las mangas]

// HASH_VALUE AAC95B8967D5905C
// INDEX 108
boss_mainland_craftpart5a_p_mis_desc	[Elabora el plan]

// HASH_VALUE 2D8BA479687BE488
// INDEX 109
boss_mainland_craftpart5a_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 110
boss_mainland_craftpart5b_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 111
boss_mainland_craftpart5b_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 28C922A0E5195F67
// INDEX 112
boss_mainland_craftpart5b_mission_intro	[Restaura el plan de las mangas]

// HASH_VALUE AAC95B8967D5905C
// INDEX 113
boss_mainland_craftpart5b_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 114
boss_mainland_craftpart5b_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 115
boss_mainland_craftpart5c_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 116
boss_mainland_craftpart5c_diag2	[Déjame ver... He visto estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 28C922A0E5195F67
// INDEX 117
boss_mainland_craftpart5c_mission_intro	[Restaura el plan de las mangas]

// HASH_VALUE AAC95B8967D5905C
// INDEX 118
boss_mainland_craftpart5c_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 119
boss_mainland_craftpart5c_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 120
boss_mainland_craftpart5d_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 121
boss_mainland_craftpart5d_diag2	[Déjame ver... He visto estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE 28C922A0E5195F67
// INDEX 122
boss_mainland_craftpart5d_mission_intro	[Restaura el plan de las mangas]

// HASH_VALUE AAC95B8967D5905C
// INDEX 123
boss_mainland_craftpart5d_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 124
boss_mainland_craftpart5d_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 125
boss_mainland_craftpart6a_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 126
boss_mainland_craftpart6a_diag2	[Déjame ver... He visto estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE EC7A2AA895599006
// INDEX 127
boss_mainland_craftpart6a_mission_intro	[Restaura el plan del chaleco]

// HASH_VALUE AAC95B8967D5905C
// INDEX 128
boss_mainland_craftpart6a_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 129
boss_mainland_craftpart6a_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 130
boss_mainland_craftpart6b_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 131
boss_mainland_craftpart6b_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE EC7A2AA895599006
// INDEX 132
boss_mainland_craftpart6b_mission_intro	[Restaura el plan del chaleco]

// HASH_VALUE AAC95B8967D5905C
// INDEX 133
boss_mainland_craftpart6b_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 134
boss_mainland_craftpart6b_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 135
boss_mainland_craftpart6c_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar a lo inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 136
boss_mainland_craftpart6c_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE EC7A2AA895599006
// INDEX 137
boss_mainland_craftpart6c_mission_intro	[Restaura el plan del chaleco]

// HASH_VALUE AAC95B8967D5905C
// INDEX 138
boss_mainland_craftpart6c_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 139
boss_mainland_craftpart6c_p_mis_title	[Restauración]

// HASH_VALUE B040792027459E0F
// INDEX 140
boss_mainland_craftpart6d_diag1	[Si me pagas y me entregas todas las piezas, me pondré a trabajar de inmediato]

// HASH_VALUE CE582BECA55A745B
// INDEX 141
boss_mainland_craftpart6d_diag2	[Déjame ver... He visto uno de estos antes, pero hace mucho tiempo...\n
	Es un plan de fabricación Marauder... Raro, y muy valioso!\n
	Ahora está restaurado! Te gustaría que te enseñara cómo utilizarlo?]

// HASH_VALUE EC7A2AA895599006
// INDEX 142
boss_mainland_craftpart6d_mission_intro	[Restaura el plan del chaleco]

// HASH_VALUE AAC95B8967D5905C
// INDEX 143
boss_mainland_craftpart6d_p_mis_desc	[Realiza el pago]

// HASH_VALUE 2D8BA479687BE488
// INDEX 144
boss_mainland_craftpart6d_p_mis_title	[Restauración]

// HASH_VALUE 89C6AC9D4C7A6C48
// INDEX 145
boss_mainland_fyros_engage	[Mata a los intrusos!]

// HASH_VALUE F7B8701B0FF642D9
// INDEX 146
boss_mainland_fyros_finalfight	[Ahora esto es entre tu... y YO!]

// HASH_VALUE E0100F7762BD6A0B
// INDEX 147
boss_mainland_fyros_realagro	[Con que encontrarse al verdadero yo... Ahora prepárate para sufrir mi ira!]

// HASH_VALUE 705CF458705CF458
// INDEX 148
boss_mainland_fyros_word1	[Tu]

// HASH_VALUE AF29E0B32C4A34A8
// INDEX 149
boss_mainland_fyros_word2	[realmente]

// HASH_VALUE 685824D8749854B4
// INDEX 150
boss_mainland_fyros_word3	[crees]

// HASH_VALUE 6E4A28CAF17BECBA
// INDEX 151
boss_mainland_fyros_word4	[que]

// HASH_VALUE 645854B4645854B4
// INDEX 152
boss_mainland_fyros_word5	[puedes]

// HASH_VALUE EBDB70AA26BA80BA
// INDEX 153
boss_mainland_fyros_word6	[vencerme]

// HASH_VALUE 120E0E31D2222AE9
// INDEX 154
boss_mainland_fyros_word7	[a mi]

// HASH_VALUE EB55BC31C81E76DF
// INDEX 155
boss_mainland_matis_trick1_01	[Por favor, perdóname!]

// HASH_VALUE AD8537B19985A0E2
// INDEX 156
boss_mainland_matis_trick1_02	[Espera! Podríamos ser amigos!]

// HASH_VALUE F5BD53011FA1B9CF
// INDEX 157
boss_mainland_matis_trick1_03	[Eres demasiado fuerte! Me rindo!]

// HASH_VALUE B29E741B2BA295EB
// INDEX 158
boss_mainland_matis_trick1_04	[Ja ja ja! Esas almas nobles... Mueran ahora, idiotas!]

// HASH_VALUE 189BBD995A44CC5C
// INDEX 159
boss_mainland_matis_trick1_05	[Qué?! Cómo te atreves a golpear a un hombre cuando está en el suelo?!]

// HASH_VALUE 705F465BF166B50F
// INDEX 160
boss_mainland_matis_trick2_01	[No, te equivocaste en todo! 0 de 10 en coreografía!]

// HASH_VALUE A03AEFF66FA0B710
// INDEX 161
boss_mainland_matis_trick2_02	[Fantástico! La fiesta ya empezó!]

// HASH_VALUE C6B68F795A4ABB25
// INDEX 162
boss_mainland_matis_trick2_03	[Fyros golpea el suelo!]

// HASH_VALUE 45D62F80D96A5B2C
// INDEX 163
boss_mainland_matis_trick2_04	[Matis golpea el suelo!]

// HASH_VALUE 43B66783D74A932F
// INDEX 164
boss_mainland_matis_trick2_05	[Zoraï golpea el suelo!]

// HASH_VALUE C7B68044181B0F4E
// INDEX 165
boss_mainland_matis_trick2_06	[Tryker golpea el suelo!]

// HASH_VALUE 1B6A95835EEFE048
// INDEX 166
boss_mainland_matis_trick2_07	[No están cansados de pelear? Tomemos un descanso.]

// HASH_VALUE 7C952F44A33AE391
// INDEX 167
boss_mainland_matis_trick3_01	[Ahora que tengo público creo que contaré una historia. Sentémonos cómodamente y voy a comenzar!]

// HASH_VALUE 3056FBDBE26952AA
// INDEX 168
boss_mainland_matis_trick3_02	[Había una vez, en algún lugar de Atys, un grupo de míseros aventureros querían asesinar a los bandidos más pendencieros que el mundo había visto.]

// HASH_VALUE 048474751C8A1473
// INDEX 169
boss_mainland_matis_trick3_03	[Ten cuidado! Aquí viene ... Aen, la Espada del Desierto!]

// HASH_VALUE ECBC7CD840902A9C
// INDEX 170
boss_mainland_matis_trick3_04	[Lixie el Rabioso!]

// HASH_VALUE 06B89D4DC9E38D1F
// INDEX 171
boss_mainland_matis_trick3_05	[Pei-Ziao el Peligroso!]

// HASH_VALUE 502C81A789E2B738
// INDEX 172
boss_mainland_matis_trick3_06	[Empecemos con Aen... el Temerario, a pesar que nuestros aventureros pudieron enfrentar a la Cuchilla del Desierto... Veamos una repetición de esta pelea!]

// HASH_VALUE CC9987B38AF44A16
// INDEX 173
boss_mainland_matis_trick3_07	[Hmm... bien, continuando con la historia...]

// HASH_VALUE 4BC23DE80DF361B3
// INDEX 174
boss_mainland_matis_trick3_08	[Su próximo objetivo fue Lixie el Rabioso... Nuestros aventureros no tenían ninguna posibilidad.!]

// HASH_VALUE A65527CC809E60FB
// INDEX 175
boss_mainland_matis_trick3_09	[Tu no estás siendo muy cooperativo. Continuemos..]

// HASH_VALUE BBD49789AB32DC22
// INDEX 176
boss_mainland_matis_trick3_10	[Pei-Ziao! El gran Pei-Ziao! Ningún adversario jamás ha vivido para contar la historia.]

// HASH_VALUE 1BB388789189A514
// INDEX 177
boss_mainland_matis_trick3_11	[Pero...! Tu arruinaste mi historia! Correcto, yo mismo escribiré el final!]

// HASH_VALUE C2377C4EBA66E2BD
// INDEX 178
boss_mainland_tryker_boss_txt1	[Regresa, es peligroso por allá!]

// HASH_VALUE A96EAD54AA08F74F
// INDEX 179
boss_mainland_tryker_boss_txt2	[Si fuera tú no iría por ese camino.]

// HASH_VALUE BCE0D35ED6225FF6
// INDEX 180
