*HASH_VALUE	faction	name	da	ia	member	mda	mia
_B459CBF1392BE778	tribe_frahar_hunters	Cazadores de Frahar	los	unos	Cazadores de Frahars	los	unos
_EC39A49C646848A5	tribe_gibbay	Gibads	los	unos	Gibads	los	unos
_748A396FE96F21E5	tribe_goo_heads	Cabezas de Goo	los	unos	Cabezas de Goo	los	unos
_4255EE5EC3CBACFE	tribe_green_seed	Semilla Verde	los	unos	Semilla Verde	los	unos
_36BF4380A26E67C9	tribe_hamazans_of_the_dead_seed	Amazonas de la Semilla Muerta	los	unos	Amazonas de la Semilla Muerta	las	unas
_08ADBC69EE67A864	tribe_icon_workshipers	Adoradores de Iconos	los	unos	Adoradores de Iconos	los	unos
_2C7F49FC279914B1	tribe_keepers	Guardianes	los	unos	Guardianes 	los	unos
_B43A6B56730DC785	tribe_kitin_gatheres	Recoletores de Kitins	los	unos	Recolectores de Kitins	los	unos
_A8C2504C2E8823C1	tribe_lagoon_brothers	Hermanos de la Laguna	los	unos	Hermanos de la Laguna	los	unos
_6BB0290BAA691CB1	tribe_lawless	Sin Ley	los	unos	Sin Ley	los	unos
_6A902D076BA918B1	tribe_leviers	Recaudadores	los	unos	Recaudadores	los	unos
_C3DB437B861E6ADF	tribe_master_of_the_goo	Maestros del Goo	los	unos	Maestros del Goo	los	unos
_73A03E377C347598	tribe_matisian_border_guards	Guardas Fronterizos Matis	los	unos	Guardas Fronterizos Matis	los	unos
_AC8C76BBA486E2D1	tribe_night_turners	Torneros Nocturnos	los	unos	Torneros Nocturnos	los	unos
_26BA3AC6DFB6A6A8	tribe_oasis_diggers	Excavadores de Oasis	los	unos	Excavadores de Oasis	los	unos
_60880A71C5C57A8B	tribe_pyromancers	Pirománticos	los	unos	Pirománticos	los	unos
_97374672C3C1C124	tribe_recoverers	Recuperadores	los	unos	Recuperadores	los	unos
_7AFE3D837B2009EF	tribe_renegades	Renegados	los	unos	Renegados	los	unos
_3D1FC91565CB65F5	tribe_restorers	Vigilantes	los	unos	Vigilantes	los	unos
_1DE3F3E192C07A88	tribe_root_tappers	Extractores de Raíces	los	unos	Extractores de Raíces	los	unos
_D8154262BC9AADAE	tribe_sacred_sap	Savia Sagrada	los	unos	Savia Sagrada	los	unos
_154227EA1B939C8E	tribe_sap_gleaners	Recolectores de Savia	los	unos	Recolectores de Savia	los	unos
_48A6B980052E65DF	tribe_sap_slaves	Esclavos de la Savia	los	unos	Esclavos de la Savia	los	unos
_7E9F917E7D1139F8	tribe_scorchers	Abrasadores	los	unos	Abrasadores	los	unos
_B819BFF3346C0F85	tribe_shadow_runners	Traficantes de Sombras	los	unos	Traficantes de Sombras	los	unos
_938B861B1593F579	tribe_siblings_of_the_weeds	Hermanos de la Maleza	los	unos	Hermanos de la Maleza	los	unos
_7758FFC63C5BB3C3	tribe_silt_sculptors	Escultores de Cieno	los	unos	Escultores de Cieno	los	unos
_AD3F7D06E88A34B1	tribe_slavers	Esclavistas	los	unos	Esclavistas	los	unos
_BF9E553529793923	tribe_smuglers	Contrabandistas	los	unos	Contrabandistas	los	unos
_BBC9FEAA5F459B84	tribe_the_arid_matis	Matis Áridos	los	unos	Matis Áridos	los	unos
_B07F6A1601F0E5E6	tribe_the_kuilde	Kuilde	los	unos	Kuilde	los	unos
_C295B382822077E7	tribe_the_slash_and_burn	Cortar y Quemar	los	unos	Cortar y Quemar	los	unos
_6A2B10CEED297892	tribe_tutors	Tutores	los	unos	Tutores	los	unos
_E59D6A166AEB3F9E	tribe_water_breakers	Rompe Aguas	los	unos	Rompe Aguas	los	unos
_EBDAEECB1DE61EBB	tribe_woven_bridles	Bridas Tejidas	los	unos	Bridas Tejidas	los	unos
