*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description
_E476C1DC32F82500	aBFMD01	Bleeding 1		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 25.
_E476C5DD32082500	aBFMD02	Bleeding 2		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 35.
_E426CDDE32182500	aBFMD03	Bleeding 3		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 50.
_E476D1DF32282500	aBFMD04	Bleeding 4		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 65.
_E426DDE032382500	aBFMD05	Bleeding 5		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 90.
_A636BDE13248252E	aBFMD06	Bleeding 6		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 115.
_6566BDE23258252E	aBFMD07	Bleeding 7		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 140.
_A686BDE33268252E	aBFMD08	Bleeding 8		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 165.
_6526C1E43278252E	aBFMD09	Bleeding 9		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 200.
_EC6DE377614890A8	aBFMD10	Bleeding 10		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 235.
_ED6DE777615890A8	aBFMD11	Bleeding 11		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10 s - maximum efficiency for a weapon with a recommended level of 275.
_1CD63F5A46D02A42	abfcb01	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46E02A42	abfcb02	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46F02A42	abfcb03	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46002A42	abfcb04	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46102A42	abfcb05	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46202A42	abfcb06	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46302A42	abfcb07	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46402A42	abfcb08	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46502A42	abfcb09	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_1CD63F5A46C02E42	abfcb10	HP Credit Upgrade		a	the				Gives you a credit stanza which consumes hit points.
_45137A24795BE8EE	abfcc01	Attack After Dodge 1		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 20. Usable only after a dodge.
_45237A24B96BE8EE	abfcc02	Attack After Dodge 2		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 30. Usable only after a dodge.
_45337A29FA7BE8EE	abfcc03	Attack After Dodge 3		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 45. Usable only after a dodge.
_45437A24BA8BE8EE	abfcc04	Attack After Dodge 4		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 70. Usable only after a dodge.
_45537A243B9BE8EE	abfcc05	Attack After Dodge 5		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 90. Usable only after a dodge.
_75109F1C5544AF5B	abfcc06	Attack After Dodge 6		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 115. Usable only after a dodge.
_75208B1F5554AF5B	abfcc07	Attack After Dodge 7		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 140. Usable only after a dodge.
_75309F215564AF5B	abfcc08	Attack After Dodge 8		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 165. Usable only after a dodge.
_75408B245574AF5B	abfcc09	Attack After Dodge 9		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 190. Usable only after a dodge.
_FF9A3608ED4E331B	abfcc10	Attack After Dodge 10		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 215. Usable only after a dodge.
_3F9A4A08ED5E331B	abfcc11	Attack After Dodge 11		an	the				Increases damage to up to double - maximum efficiency for a weapon with a recommended skill level of 265. Usable only after a dodge.
_E1B9C8AA445797A9	abfcd01	Attack After Parry 1		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 20. Usable only after a parry.
_E1C9C8AA44B79BA9	abfcd02	Attack After Parry 2		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 35. Usable only after a parry.
_E1D9C8AA4477A3A9	abfcd03	Attack After Parry 3		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 50. Usable only after a parry.
_E1E9C8AA44D7A7A9	abfcd04	Attack After Parry 4		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 65. Usable only after a parry.
_E1F9C8AA4497B3A9	abfcd05	Attack After Parry 5		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 90. Usable only after a parry.
_5D21A7788FC82542	abfcd06	Attack After Parry 6		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 115. Usable only after a parry.
_5D31A7784E082542	abfcd07	Attack After Parry 7		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 140. Usable only after a parry.
_5D41A7784E482542	abfcd08	Attack After Parry 8		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 170. Usable only after a parry.
_5D51A7784EE82942	abfcd09	Attack After Parry 9		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 200. Usable only after a parry.
_43BC5600C3F666D3	abfcd10	Attack After Parry 10		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 235. Usable only after a parry.
_83BC5600C40666D3	abfcd11	Attack After Parry 11		an	the				Reduces the chances of the enemy dodging -  maximum efficiency for a weapon with a recommended skill level of 275. Usable only after a parry.
_604F56ED5F5B0DDE	abfce01	Attack After Critical Hit 1		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_604F5AED5F6B0DDE	abfce02	Attack After Critical Hit 2		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_604F5EED5F7B0DDE	abfce03	Attack After Critical Hit 3		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_604F62ED5F8B0DDE	abfce04	Attack After Critical Hit 4		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_604F66ED5F9B0DDE	abfce05	Attack After Critical Hit 5		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_604F6AED5FAB0DDE	abfce06	Attack After Critical Hit 6		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_604F6EED5FBB0DDE	abfce07	Attack After Critical Hit 7		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_604F72ED5FCB0DDE	abfce08	Attack After Critical Hit 8		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_604F76ED5FDB0DDE	abfce09	Attack After Critical Hit 9		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_3126B3CC4CDFE072	abfce10	Attack After Critical Hit 10		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_3136B3CC4CEFE072	abfce11	Attack After Critical Hit 11		an	the				Gives an 'attack after critical hit' credit stanza for combat.
_DF30CD79CE5422FD	ABPPC01	Constitution Upgrade 1		a	the				Increases your constitution and hit points.
_DF30CD79CE6426FD	ABPPC02	Constitution Upgrade 2		a	the				Increases your constitution and hit points.
_DF30CD79CE742AFD	ABPPC03	Constitution Upgrade 3		a	the				Increases your constitution and hit points.
_DF30CD79CE842EFD	ABPPC04	Constitution Upgrade 4		a	the				Increases your constitution and hit points.
_DF30CD79CE9432FD	ABPPC05	Constitution Upgrade 5		a	the				Increases your constitution and hit points.
_DF30CD79CEA436FD	ABPPC06	Constitution Upgrade 6		a	the				Increases your constitution and hit points.
_DF30CD79CEB43AFD	ABPPC07	Constitution Upgrade 7		a	the				Increases your constitution and hit points.
_DF30CD79CEC43EFD	ABPPC08	Constitution Upgrade 8		a	the				Increases your constitution and hit points.
_DF30CD79CED442FD	ABPPC09	Constitution Upgrade 9		a	the				Increases your constitution and hit points.
_BCB8F0A7A08E9A5D	ABPPC10	Constitution Upgrade 10		a	the				Increases your constitution and hit points.
_BCB8F0A7A0AE9A5D	ABPPC11	Constitution Upgrade 11		a	the				Increases your constitution and hit points.
_BCB8F0A7A0CE9A5D	ABPPC12	Constitution Upgrade 12		a	the				Increases your constitution and hit points.
_BCB8F0A7A0EE9A5D	ABPPC13	Constitution Upgrade 13		a	the				Increases your constitution and hit points.
_BCB8F0A7A00E9A5D	ABPPC14	Constitution Upgrade 14		a	the				Increases your constitution and hit points.
_BCB8F0A7A02E9A5D	ABPPC15	Constitution Upgrade 15		a	the				Increases your constitution and hit points.
_BCB8F0A7A04E9A5D	ABPPC16	Constitution Upgrade 16		a	the				Increases your constitution and hit points.
_BCB8F0A7A06E9A5D	ABPPC17	Constitution Upgrade 17		a	the				Increases your constitution and hit points.
_BCB8F0A7A08E9A5D	ABPPC18	Constitution Upgrade 18		a	the				Increases your constitution and hit points.
_BCB8F0A7A0AE9A5D	ABPPC19	Constitution Upgrade 19		a	the				Increases your constitution and hit points.
_BCB8F0A7A08EA25D	ABPPC20	Constitution Upgrade 20		a	the				Increases your constitution and hit points.
_BCB8F0A7A0AEA25D	ABPPC21	Constitution Upgrade 21		a	the				Increases your constitution and hit points.
_BCB8F0A7A0CEA25D	ABPPC22	Constitution Upgrade 22		a	the				Increases your constitution and hit points.
_BCB8F0A7A0EEA25D	ABPPC23	Constitution Upgrade 23		a	the				Increases your constitution and hit points.
_BCB8F0A7A00EA25D	ABPPC24	Constitution Upgrade 24		a	the				Increases your constitution and hit points.
_BCB8F0A7A02EA25D	ABPPC25	Constitution Upgrade 25		a	the				Increases your constitution and hit points.
_FEF681FA51AF0BFA	ABPPC26	Constitution Upgrade 26		a	the				Increases your constitution and hit points.
_FEF681FA51CF0BFA	ABPPC27	Constitution Upgrade 27		a	the				Increases your constitution and hit points.
_FEF681FA51EF0BFA	ABPPC28	Constitution Upgrade 28		a	the				Increases your constitution and hit points.
_FEF681FA510F0BFA	ABPPC29	Constitution Upgrade 29		a	the				Increases your constitution and hit points.
_FEF681FA51EF13FA	ABPPC30	Constitution Upgrade 30		a	the				Increases your constitution and hit points.
_FEF681FA510F13FA	ABPPC31	Constitution Upgrade 31		a	the				Increases your constitution and hit points.
_FEF681FA512F13FA	ABPPC32	Constitution Upgrade 32		a	the				Increases your constitution and hit points.
_FEF681FA514F13FA	ABPPC33	Constitution Upgrade 33		a	the				Increases your constitution and hit points.
_FEF681FA516F13FA	ABPPC34	Constitution Upgrade 34		a	the				Increases your constitution and hit points.
_FEF681FA518F13FA	ABPPC35	Constitution Upgrade 35		a	the				Increases your constitution and hit points.
_FEF681FA51AF13FA	ABPPC36	Constitution Upgrade 36		a	the				Increases your constitution and hit points.
_FEF681FA51CF13FA	ABPPC37	Constitution Upgrade 37		a	the				Increases your constitution and hit points.
_FEF681FA51EF13FA	ABPPC38	Constitution Upgrade 38		a	the				Increases your constitution and hit points.
_FEF681FA510F13FA	ABPPC39	Constitution Upgrade 39		a	the				Increases your constitution and hit points.
_FEF681FA51EF1BFA	ABPPC40	Constitution Upgrade 40		a	the				Increases your constitution and hit points.
_FEF681FA510F1BFA	ABPPC41	Constitution Upgrade 41		a	the				Increases your constitution and hit points.
_FEF681FA512F1BFA	ABPPC42	Constitution Upgrade 42		a	the				Increases your constitution and hit points.
_FEF681FA514F1BFA	ABPPC43	Constitution Upgrade 43		a	the				Increases your constitution and hit points.
_FEF681FA516F1BFA	ABPPC44	Constitution Upgrade 44		a	the				Increases your constitution and hit points.
_FEF681FA518F1BFA	ABPPC45	Constitution Upgrade 45		a	the				Increases your constitution and hit points.
_FEF681FA51AF1BFA	ABPPC46	Constitution Upgrade 46		a	the				Increases your constitution and hit points.
_FEF681FA51CF1BFA	ABPPC47	Constitution Upgrade 47		a	the				Increases your constitution and hit points.
_FEF681FA51EF1BFA	ABPPC48	Constitution Upgrade 48		a	the				Increases your constitution and hit points.
_FEF681FA510F1BFA	ABPPC49	Constitution Upgrade 49		a	the				Increases your constitution and hit points.
_FEF681FA51EF23FA	ABPPC50	Constitution Upgrade 50		a	the				Increases your constitution and hit points.
_09FB58BF0EA0ADD0	ABPPM01	Metabolism Upgrade 1		a	the				Increases your metabolism and hit point regeneration speed.
_49FB58BF0EB0ADD0	ABPPM02	Metabolism Upgrade 2		a	the				Increases your metabolism and hit point regeneration speed.
_89FB58BF0EC0ADD0	ABPPM03	Metabolism Upgrade 3		a	the				Increases your metabolism and hit point regeneration speed.
_CAFB58BF0ED0ADD0	ABPPM04	Metabolism Upgrade 4		a	the				Increases your metabolism and hit point regeneration speed.
_0AFB58BF0EE0ADD0	ABPPM05	Metabolism Upgrade 5		a	the				Increases your metabolism and hit point regeneration speed.
_4AFB58BF0EF0ADD0	ABPPM06	Metabolism Upgrade 6		a	the				Increases your metabolism and hit point regeneration speed.
_8AFB58BF0E00ADD0	ABPPM07	Metabolism Upgrade 7		a	the				Increases your metabolism and hit point regeneration speed.
_CBFB58BF0E10ADD0	ABPPM08	Metabolism Upgrade 8		a	the				Increases your metabolism and hit point regeneration speed.
_0BFB58BF0E20ADD0	ABPPM09	Metabolism Upgrade 9		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DAEFEC28	ABPPM10	Metabolism Upgrade 10		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DAFFEC29	ABPPM11	Metabolism Upgrade 11		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DA0FEC2A	ABPPM12	Metabolism Upgrade 12		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DA1FEC2B	ABPPM13	Metabolism Upgrade 13		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DA2FEC2C	ABPPM14	Metabolism Upgrade 14		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DA3FEC2D	ABPPM15	Metabolism Upgrade 15		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DA4FEC2E	ABPPM16	Metabolism Upgrade 16		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DA5FEC2F	ABPPM17	Metabolism Upgrade 17		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DA6FEC30	ABPPM18	Metabolism Upgrade 18		a	the				Increases your metabolism and hit point regeneration speed.
_03F5F4A4DA7FEC31	ABPPM19	Metabolism Upgrade 19		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DAEFF028	ABPPM20	Metabolism Upgrade 20		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DAFFF029	ABPPM21	Metabolism Upgrade 21		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DA0FF02A	ABPPM22	Metabolism Upgrade 22		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DA1FF02B	ABPPM23	Metabolism Upgrade 23		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DA2FF02C	ABPPM24	Metabolism Upgrade 24		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DA3FF02D	ABPPM25	Metabolism Upgrade 25		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DA4FF02E	ABPPM26	Metabolism Upgrade 26		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DA5FF02F	ABPPM27	Metabolism Upgrade 27		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DA6FF030	ABPPM28	Metabolism Upgrade 28		a	the				Increases your metabolism and hit point regeneration speed.
_43F5F4A4DA7FF031	ABPPM29	Metabolism Upgrade 29		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DAEFF428	ABPPM30	Metabolism Upgrade 30		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DAFFF429	ABPPM31	Metabolism Upgrade 31		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DA0FF42A	ABPPM32	Metabolism Upgrade 32		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DA1FF42B	ABPPM33	Metabolism Upgrade 33		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DA2FF42C	ABPPM34	Metabolism Upgrade 34		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DA3FF42D	ABPPM35	Metabolism Upgrade 35		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DA4FF42E	ABPPM36	Metabolism Upgrade 36		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DA5FF42F	ABPPM37	Metabolism Upgrade 37		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DA6FF430	ABPPM38	Metabolism Upgrade 38		a	the				Increases your metabolism and hit point regeneration speed.
_83F5F4A4DA7FF431	ABPPM39	Metabolism Upgrade 39		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DAEFF828	ABPPM40	Metabolism Upgrade 40		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DAFFF829	ABPPM41	Metabolism Upgrade 41		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DA0FF82A	ABPPM42	Metabolism Upgrade 42		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DA1FF82B	ABPPM43	Metabolism Upgrade 43		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DA2FF82C	ABPPM44	Metabolism Upgrade 44		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DA3FF82D	ABPPM45	Metabolism Upgrade 45		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DA4FF82E	ABPPM46	Metabolism Upgrade 46		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DA5FF82F	ABPPM47	Metabolism Upgrade 47		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DA6FF830	ABPPM48	Metabolism Upgrade 48		a	the				Increases your metabolism and hit point regeneration speed.
_C4F5F4A4DA7FF831	ABPPM49	Metabolism Upgrade 49		a	the				Increases your metabolism and hit point regeneration speed.
_04F5F4A4DAEFFC28	ABPPM50	Metabolism Upgrade 50		a	the				Increases your metabolism and hit point regeneration speed.
_D56B5224445617B4	ABPPI01	Intelligence Upgrade 1		an	the				Increases your intelligence and sap.
_D56B522444661BB4	ABPPI02	Intelligence Upgrade 2		an	the				Increases your intelligence and sap.
_D56B522444761FB4	ABPPI03	Intelligence Upgrade 3		an	the				Increases your intelligence and sap.
_D56B5224448623B4	ABPPI04	Intelligence Upgrade 4		an	the				Increases your intelligence and sap.
_D56B5224449627B4	ABPPI05	Intelligence Upgrade 5		an	the				Increases your intelligence and sap.
_D56B522444A62BB4	ABPPI06	Intelligence Upgrade 6		an	the				Increases your intelligence and sap.
_D56B522444B62FB4	ABPPI07	Intelligence Upgrade 7		an	the				Increases your intelligence and sap.
_D56B522444C633B4	ABPPI08	Intelligence Upgrade 8		an	the				Increases your intelligence and sap.
_D56B522444D637B4	ABPPI09	Intelligence Upgrade 9		an	the				Increases your intelligence and sap.
_6CBE7695E6342846	ABPPI10	Intelligence Upgrade 10		an	the				Increases your intelligence and sap.
_6CBE7695E6542846	ABPPI11	Intelligence Upgrade 11		an	the				Increases your intelligence and sap.
_6CBE7695E6742846	ABPPI12	Intelligence Upgrade 12		an	the				Increases your intelligence and sap.
_6CBE7695E6942846	ABPPI13	Intelligence Upgrade 13		an	the				Increases your intelligence and sap.
_6CBE7695E6B42846	ABPPI14	Intelligence Upgrade 14		an	the				Increases your intelligence and sap.
_6CBE7695E6D42846	ABPPI15	Intelligence Upgrade 15		an	the				Increases your intelligence and sap.
_6CBE7695E6F42846	ABPPI16	Intelligence Upgrade 16		an	the				Increases your intelligence and sap.
_6CBE7695E6142846	ABPPI17	Intelligence Upgrade 17		an	the				Increases your intelligence and sap.
_6CBE7695E6342846	ABPPI18	Intelligence Upgrade 18		an	the				Increases your intelligence and sap.
_6CBE7695E6542846	ABPPI19	Intelligence Upgrade 19		an	the				Increases your intelligence and sap.
_6CBE7695E6343046	ABPPI20	Intelligence Upgrade 20		an	the				Increases your intelligence and sap.
_6CBE7695E6543046	ABPPI21	Intelligence Upgrade 21		an	the				Increases your intelligence and sap.
_6CBE7695E6743046	ABPPI22	Intelligence Upgrade 22		an	the				Increases your intelligence and sap.
_6CBE7695E6943046	ABPPI23	Intelligence Upgrade 23		an	the				Increases your intelligence and sap.
_6CBE7695E6B43046	ABPPI24	Intelligence Upgrade 24		an	the				Increases your intelligence and sap.
_6CBE7695E6D43046	ABPPI25	Intelligence Upgrade 25		an	the				Increases your intelligence and sap.
_D56B522401F323B4	ABPPI26	Intelligence Upgrade 26		an	the				Increases your intelligence and sap.
_D56B5224011323B4	ABPPI27	Intelligence Upgrade 27		an	the				Increases your intelligence and sap.
_D56B5224013323B4	ABPPI28	Intelligence Upgrade 28		an	the				Increases your intelligence and sap.
_D56B5224015323B4	ABPPI29	Intelligence Upgrade 29		an	the				Increases your intelligence and sap.
_D56B522401332BB4	ABPPI30	Intelligence Upgrade 30		an	the				Increases your intelligence and sap.
_D56B522401532BB4	ABPPI31	Intelligence Upgrade 31		an	the				Increases your intelligence and sap.
_D56B522401732BB4	ABPPI32	Intelligence Upgrade 32		an	the				Increases your intelligence and sap.
_D56B522401932BB4	ABPPI33	Intelligence Upgrade 33		an	the				Increases your intelligence and sap.
_D56B522401B32BB4	ABPPI34	Intelligence Upgrade 34		an	the				Increases your intelligence and sap.
_D56B522401D32BB4	ABPPI35	Intelligence Upgrade 35		an	the				Increases your intelligence and sap.
_D56B522401F32BB4	ABPPI36	Intelligence Upgrade 36		an	the				Increases your intelligence and sap.
_D56B522401132BB4	ABPPI37	Intelligence Upgrade 37		an	the				Increases your intelligence and sap.
_D56B522401332BB4	ABPPI38	Intelligence Upgrade 38		an	the				Increases your intelligence and sap.
_D56B522401532BB4	ABPPI39	Intelligence Upgrade 39		an	the				Increases your intelligence and sap.
_D56B5224013333B4	ABPPI40	Intelligence Upgrade 40		an	the				Increases your intelligence and sap.
_D56B5224015333B4	ABPPI41	Intelligence Upgrade 41		an	the				Increases your intelligence and sap.
_D56B5224017333B4	ABPPI42	Intelligence Upgrade 42		an	the				Increases your intelligence and sap.
_D56B5224019333B4	ABPPI43	Intelligence Upgrade 43		an	the				Increases your intelligence and sap.
_D56B522401B333B4	ABPPI44	Intelligence Upgrade 44		an	the				Increases your intelligence and sap.
_D56B522401D333B4	ABPPI45	Intelligence Upgrade 45		an	the				Increases your intelligence and sap.
_D56B522401F333B4	ABPPI46	Intelligence Upgrade 46		an	the				Increases your intelligence and sap.
_D56B5224011333B4	ABPPI47	Intelligence Upgrade 47		an	the				Increases your intelligence and sap.
_D56B5224013333B4	ABPPI48	Intelligence Upgrade 48		an	the				Increases your intelligence and sap.
_D56B5224015333B4	ABPPI49	Intelligence Upgrade 49		an	the				Increases your intelligence and sap.
_D56B522401333BB4	ABPPI50	Intelligence Upgrade 50		an	the				Increases your intelligence and sap.
_0EFA7733CF3E0D51	ABPPW01	Wisdom Upgrade 1		a	the				Increases your wisdom and sap regeneration speed.
_0EFA77330F4E0D51	ABPPW02	Wisdom Upgrade 2		a	the				Increases your wisdom and sap regeneration speed.
_0EFA77334F5E0D51	ABPPW03	Wisdom Upgrade 3		a	the				Increases your wisdom and sap regeneration speed.
_0EFA7733906E0D51	ABPPW04	Wisdom Upgrade 4		a	the				Increases your wisdom and sap regeneration speed.
_0EFA7733D07E0D51	ABPPW05	Wisdom Upgrade 5		a	the				Increases your wisdom and sap regeneration speed.
_0EFA7733108E0D51	ABPPW06	Wisdom Upgrade 6		a	the				Increases your wisdom and sap regeneration speed.
