bot name	translated name	sheet_name
aysys	Lini Linia	maha1_a
aytus	Sirgio Cuido	matis_guard_m_f
aytvus	Varo Frerini	matis_guard_m_h
aytxus	Lini Chiandi	mafc3_b
ayvys	Sirgio Ciocco	matis_guard_m_h
Azfys		
azyus		
bandit		
birius	Varo Cuicco	matis_guard_m_f
borius		
Chief squad		
chosia		
choupius	Varo Frendi	matis_guard_m_f
chrisus		
city hall module		
city hall module II		
crafting_tools_merchant		
danielus		
davidus		
druss	Sirgio Cirinia	maha1
eamus		
eamzys		
eanexys	Lini Frendi	matis_guard_m_f
eaxyus	Sirgio Anillo	matis_guard_m_h
efunsys	Lini Antodo	maha1_b
efus		
efyus		
efyzyus		
elsanae	Anibre Anibi	matis_guard_m_h
Elszys		
emalsys		
Emezyus		
emmevus		
emtus	Sirgio Chiarello	matis_guard_m_h
emuvyus		
emxxys	Varo Chiano	matis_guard_m_h
Emzys		
ennla		
enus	Lini Aninti	maha1
enys	Varo Linia	mahc1_b
eseanzyus		
Esezys		
eslavmnus	Lini Lillo	mahc1_b
esmus		
esus	Sirgio Givaldo	mafa1old
esys		
Esyus		
ettaltyus	Varo Chiabi	mahc2
etys		
etyus		
etzys		
eufssus	Varo Ciorini	matis_guard_m_h
eulsyus		
eunlyus		
eununsys	Sirgio Frezzo	matis_guard_m_f
eusutlys	Varo Antori	matis_guard_m_h
euxyus		
evltys	Sirgio Lichini	maha1
Evlys		
evuvus		
evynnus	Sirgio Ciopi	matis_guard_m_h
evyus		
executionner		
exntalyus	Varo Frenti	matis_guard_m_h
exumyus		
exus		
exys		
exyus	Varo Chianio	maha1
eyfexsys		
eyfyus	Sirgio Frerini	mahc1mid
eynfus		
eynvtus	Varo Chiachini	mahc1old
eynytus	Lini Cirello	mahc1
eytetlus	Sirgio Berini	matis_guard_m_h
ezmelys		
eznutys		
ezus		
ezzmyus		
falxnyus	Lini Chiagno	matis_guard_m_h
Fatlyus		
Faunfys		
fazus		
feulynlus		
ftexvys	Lini Benia	mafc2_a
fuavsus	Varo Berini	mahc1mid
fufasmys	Varo Bezzo	matis_guard_m_h
fumaltmys		
fumlus	Varo Cinio	matis_guard_m_h
fxutlus	Lini Antochini	maha2
FYROS_JEWEL - mahc 5		
FYROS_RANGE_WEAPON - mahc 15		
Gaeluys		
Greenhouse		
guard		
guards_village_indoor		
guards_village_indoor 0		
guards_village_indoor2		
guards_village_outdoor		
guards_village_outdoor 0		
guards_village_outdoor2		
guillaumus		
h_armor_merchant		
halius	Sirgio Anildo	maha1
haluisu		
haolius	Lini Chiani	matis_guard_m_h
harvest_tools_merchant		
harvester_rolemaster		
healer_rolemaster		
hillius	Varo Cuidera	maha1
huniniuys		
hyrnus	Sirgio Gipi	matis_guard_m_h
jewel_merchant		
jeweller's shop		
jewels and RM shop		
Kami		
Kami pact giver		
Karavan pact giver		
khaisus	Sirgio Anicco	matis_guard_m_f
kwaduis	Varo Ciosi	matis_guard_m_h
l_armor_merchant		
lalfynus		
lamenys		
Lasxtus		
laveasemmyus	Varo Cuirinia	mahc1
lavemyus		
leanvus		
leavlae	Sirgio Cuidera	matis_guard_m_h
leavxus	Varo Anini	mahc3old
leazxa		
lefmnyus		
legionnaire		
lenaumnys	Lini Frerini	matis_guard_m_h
lenus		
lesstvys		
leysmus		
lfytys		
lmuallyus		
lnuxys		
lsalys		
lufaflys	Varo Licco	matis_guard_m_f
lumxtus		
Luslyus		
luszus		
luxvus	Sirgio Cillo	mafa3mid
m_armor_merchant		
maevys		
marcus		
masvus		
Matis bandit		
matis convoy		
Matis Corruptor		
Matis road thief		
Matis thief		
matis traveler North C		
MATIS_JEWEL - maha 8		
MATIS_MASTER_BUFFER_CASTER - maha 4		
MATIS_MASTER_FABER - maha 3		
MATIS_MASTER_HARVESTER - mahc 1		
MATIS_MASTER_HEALER_CASTER - maha 5		
MATIS_MASTER_TRADER - mahc 2		
MATIS_RANGE_WEAPON - mahc 16		
mattus		
Mektoub hunter		
melee weapon & shield shop		
melee weapon shop		
melee_rolemaster		
melee_weapons_merchant		
menyus	Varo Antochio	matis_guard_m_h
mission officer		
mission officer 0		
mlevsys	Lini Cisi	matis_guard_m_h
mtusys	Lini Antori	matis_guard_m_h
muztymus		
mxymys		
mystical adept		
mytfyus	Sirgio Anino	matis_guard_m_f
Myunzys		
mzyzus		
nalmyus		
naumnyus		
naxzys	Varo Chiandi	mahc1mid
nefusyus		
neltyus		
nelys	Varo Fredo	matis_guard_m_h
nemyus		
nenfyus		
neymfsys		
neynus		
neyxfyus		
noichyo	Xo-Yuang Biani	zohc1
npc_1a		
npc_1b		
npc_1c		
npc_1d		
npc_2a		
npc_2b		
npc_2c		
npc_2d		
npc_3a		
npc_3b		
npc_3c		
npc_3d		
npc_4a		
npc_4b		
npc_4c		
npc_4d		
npc_5a		
npc_5b		
npc_5c		
npc_5d		
npc_esc_1a		
npc_esc_1b		
npc_esc_1c		
npc_esc_1d		
npc_esc_2a		
npc_esc_2b		
npc_esc_2c		
npc_esc_2d		
npc_esc_3a		
npc_esc_3b		
npc_esc_3c		
npc_esc_3d		
npc_esc_4a		
npc_esc_4b		
npc_esc_4c		
npc_esc_4d		
npc_esc_5a		
npc_esc_5b		
npc_esc_5c		
npc_esc_5d		
npc_group_0		
npc_sb_2f		
npc_sb_4f		
nufuslus	Sirgio Bevaldo	mahc1
nulylus	Sirgio Cilli	matis_guard_m_f
nunlus	Sirgio Anivaldo	mahc1mid
Nuysus		
nyguys	Varo Antodera	mahc2
Nylfmyus		
nynlys		
nyusus		
nyuxys		
nyvtys		
olivus		
Patrol Squad		
Patrol squad 2		
Patrol squad 3		
plan shop		
private_guild_concierge		
public_guild_concierge		
range weapon and ammo shop		
range_weapons_merchant		
ranger_rolemaster		
raw_material_merchant		
register		
Robber wood thief		
rolmaster		
saesys		
savsanus		
saxyus		
saysnys		
senyus	Lini Fresti	matis_guard_m_h
setsnus	Varo Cilli	matis_guard_m_f
shields_merchant		
shopkeepers		
snaymus		
stableboy_merchant		
stefanus		
steward		
sufyus	Lini Girinia	mahc3
suxyus		
sysius	Lini Fregno	matis_guard_m_f
sytzmys		
syvusmus		
taming_tools_merchant		
tavern		
temlae		
temp		
Temp Guild Save		
tesus		
teulzefttus		
thomus		
tools shop		
training_tools_merchant		
treat_adept		
treat_apprentice		
TRYKER_JEWEL - maha 7		
TRYKER_MASTER_MELEE_FIGHTER - mahc 8		
TRYKER_MASTER_RANGE_FIGHTER - mahu 7		
tusyvys		
tutfyus		
Tuxsyus		
tuymeytnmus		
tvymfus		
tyaxlyus		
tynezys		
uafnys		
uaftyus		
uamfus		
uanmylstus		
uantus	Lini Antonio	matis_guard_m_f
uatyus	Lini Cuini	mahc1
Uavus		
uaxyus	Sirgio Antopi	matis_guard_m_f
uemflys	Lini Cuidi	matis_guard_m_f
uemzus	Sirgio Cirini	matis_guard_m_h
ufnnus		
ufyus		
ulmesus		
ulus		
ulusyus		
ulyus		
umenyus		
Umnus		
umvus	Varo Anirini	maha1old
umys	Sirgio Frenia	matis_guard_m_h
Umyus		
Umyuss		
unsus	Varo Antorello	matis_guard_m_h
unzus		
usilius	Varo Cildo	matis_guard_m_h
usmus		
usstus	Sirgio Besti	maha1
ustilus	Varo Ciolli	matis_guard_m_f
usys	Varo Chiacco	mafa2
usyss		
uszys	Sirgio Licco	matis_guard_m_h
utatyus		
utftlus	Varo Gichini	matis_guard_m_f
utiluus	Varo Antogno	matis_guard_m_f
utmmus		
Utyus		
utzzyus	Lini Chiachini	matis_guard_m_h
uvxus		
uvzus	Sirgio Cuini	mahc1mid
Uxus		
uxysuyus	Varo Libi	matis_guard_m_h
uxyus	Lini Antolo	matis_guard_m_h
uyffys	Varo Giri	matis_guard_m_h
uyfyus		
uylys		
uymys	Varo Anindi	matis_guard_m_h
uzettus	Varo Frenia	mahc1mid
Uzllys		
uzus	Lini Ciollo	mahc1
uzzys		
vafuvys		
valyus		
vanetyus	Lini Antonia	mafa1_c
vasys	Sirgio Ciosti	mafc1mid
vazesva	Lini Cionio	matis_guard_m_f
velfnus		
vemvus		
vendeur		
Vfytyus		
viktuys		
village_concierge		
vsuxus	Lini Cionti	mafc3_b
vtulmelys		
Vustyus		
vyzus	Sirgio Lini	matis_guard_m_h
warlock		
wazus	Lini Frelo	matis_guard_m_h
welcomer		
workshop and RM		
xaetyus	Sirgio Anisi	mafu1_a
xamzvusys		
xaufus		
xelvus		
xenytyus	Lini Lilo	matis_guard_m_f
xeslzys		
xesmzys		
Xesus		
Xetzfus		
xeuttus		
xeuvus		
xnanyus	Lini Antorinia	mahc3
xuanfyus		
xunxaxlmys		
xutmyus	Varo Chiazzo	matis_guard_m_h
xuymfys		
xyus	Varo Antonti	mahc1old
xyuzus		
Yafnlnus		
yalmys	Lini Freri	matis_guard_m_f
yamsus		
yamsys		
yasmyus		
Yaxafnyu		
yazlys		
yazus		
yesnyus	Lini Ciozzo	matis_guard_m_h
yetlus		
yetys	Sirgio Antonti	maha1_a
yevyus		
yexus	Sirgio Gindi	matis_guard_m_h
yexxyus	Varo Cirini	maha1
Yfnsus		
yfys	Varo Cicco	mafa1mid
yfyus		
Ylaxus		
ylsus	Lini Cuindi	mahc1
ylvyus	Varo Gildo	mahc1
ymus		
ynmvus	Lini Chiadi	matis_guard_m_f
Ynnus		
ynnys		
yntys	Lini Bezzo	mafc1
ynunyus	Varo Girello	matis_guard_m_h
ynus	Varo Anivaldo	mafc1mid
Ynzus		
ysufsus	Lini Frechini	mahc1
ysysus	Varo Lichini	matis_guard_m_h
ysyus	Lini Besi	mahc1
ytys	Sirgio Cuicco	maha1
Yufamnslus		
yulsyus	Varo Givaldo	mafa1_b
yulyus	Lini Chiabi	mafa1_c
yunvus	Varo Bepi	maha1
yus	Lini Gino	matis_guard_m_h
yusis		
yusyus	Lini Cirinia	mahc1
yutnyus	Sirgio Lilli	mahc3_a
Yutyus		
Yvfllys		
yvvus	Sirgio Antono	mahc2
yvyus		
yxvus	Lini Cuinti	matis_guard_m_h
yxys		
yxyus		
Yzutys		
zamzys		
zasmfxus	Sirgio Fresti	maha1
zatnyus		
zaxamyus		
zaxfus		
zexxususus	Varo Antovaldo	matis_guard_m_f
zeysys		
ZORAI_JEWEL - maha 6		
ZORAI_RANGE_WEAPON - mahu 14		
Ztaunmys		
zunslymlys	Varo Gillo	maha3_b
zutyus		
zuymenvus		
zvuavus		
zvulfus		
zynvevyus		
zyuluxmus		
zyvalys	Sirgio Chialo	matis_guard_m_f
zyzmmus		
FYROS_MELEE_WEAPON - trfa 11		
FYROS_PLAN_LARMOR - trfu 11		
MATIS_MELEE_WEAPON - trfa 12		
MATIS_PLAN_LARMOR - trfc 12		
TRYKER_MASTER_ATTACK_CASTER - trfa 6		
TRYKER_MASTER_BUFFER_CASTER - trfa 4		
TRYKER_MASTER_FABER - trfc 3		
TRYKER_MASTER_HARVESTER - trfc 1		
TRYKER_MASTER_HEALER_CASTER - trfa 5		
TRYKER_MASTER_TRADER - trfc 2		
TRYKER_MELEE_WEAPON - trfc 9		
TRYKER_RANGE_WEAPON - trfa 13		
ZORAI_MASTER_MELEE_FIGHTER - trfu 8		
ZORAI_MELEE_WEAPON - trfc 10		
FYROS_PLAN_MARMOR - trhc 7		
Green Seed Arcanist		
Green Seed Arcanist 1		
Green Seed Arcanist 11		
Green Seed Arcanist 2		
Green Seed Arcanist 20		
Green Seed Arcanist 29		
Green Seed Arcanist 7		
Green Seed Arcanist H		
Green Seed Arcanist I		
Green Seed Arcanist J		
Green Seed Berserker		
Green Seed Berserker 1		
Green Seed Berserker C		
Green Seed Berserker D		
Green Seed Berserker Q		
Green Seed Berserker R		
Green Seed Guard		
Green Seed Guard 1		
Green Seed Guard 2		
Green Seed Guard 3		
Green Seed Guard A		
Green Seed Guard B		
Green Seed Guard N		
Green Seed Guard O		
Green Seed Guard P		
Green Seed Guard W		
Green Seed Guard X		
Green Seed Guard Y		
Green Seed Hunter		
Green Seed Hunter 1		
Green Seed Hunter K		
Green Seed Hunter L		
Green Seed Hunter T		
Green Seed Hunter U		
Green Seed Hunter V		
Green Seed Lord		
Green Seed Lord M		
Green Seed Medic		
Green Seed Medic 1		
Green Seed Medic 18		
Green Seed Medic 27		
Green Seed Medic 4		
Green Seed Medic 9		
Green Seed Medic E		
Green Seed Medic F		
Green Seed Medic S		
Green Seed Shaman		
Green Seed Shaman 10		
Green Seed Shaman 19		
Green Seed Shaman 28		
Green Seed Shaman 5		
Green Seed Shaman 6		
Green Seed Shaman G		
Green Seed Soldier		
Green Seed Soldier 		
Green Seed Soldier 12		
Green Seed Soldier 13		
Green Seed Soldier 14		
Green Seed Soldier 15		
Green Seed Soldier 16		
Green Seed Soldier 17		
Green Seed Soldier 21		
Green Seed Soldier 22		
Green Seed Soldier 23		
Green Seed Soldier 24		
Green Seed Soldier 25		
Green Seed Soldier 26		
Green Seed Soldier 30		
Green Seed Soldier 31		
Green Seed Soldier 32		
Green Seed Soldier 33		
Green Seed Soldier 34		
Green Seed Soldier 35		
Green Seed Soldier 8		
healing_adept		
MATIS_PLAN_HARMOR - trhu 4		
MATIS_PLAN_MARMOR - trha 8		
TRYKER_PLAN_LARMOR - trha 9		
TRYKER_PLAN_MARMOR - trhc 5		
ZORAI_MASTER_ATTACK_CASTER - trha 6		
ZORAI_MASTER_BUFFER_CASTER - trhc 4		
ZORAI_MASTER_FABER - trhc 3		
ZORAI_MASTER_HARVESTER - trhu 1		
ZORAI_MASTER_HEALER_CASTER - trha 5		
ZORAI_MASTER_RANGE_FIGHTER - trha 7		
ZORAI_MASTER_TRADER - trhc 2		
ZORAI_PLAN_LARMOR - trha 10		
ZORAI_PLAN_MARMOR - trhc 6		
arcane apprentice		
arcane master		
FYROS_PLAN_HARMOR - zofa 3		
FYROS_PLAN_SHIELD - zofc 3		
KAMI_TP_FOREST - zofc3		
KARAVAN_TP_FOREST - zofu1		
MATIS_PLAN_SHIELD - zofc 4		
mssyshia		
myashio		
mychio		
odygchio		
ofashia		
ofesshia	Vang Sai-Fuang	zofc1
ofoschai		
ofya		
oichia		
oishio		
olafio	Din Sai-Fuang	zorai_guard_z_f
olchai		
RM_FOREST_1 - zofa 5		
RM_FOREST_2 - zofa 4		
RM_FOREST_3 - zofa 3		
RM_FOREST_4 - zofc 2		
RM_FOREST_5 - zofc 1		
syfia		
tachao		
tashao	Hiang Tei-Woo	zorai_guard_z_h
thofyo		
tichyo		
tilgchia		
timtchao		
tishia		
todifia	Bian Qai-Be	zorai_guard_z_f
trooper		
TRYKER_PLAN_HARMOR - zofa 1		
TRYKER_PLAN_SHIELD - zofu 1		
ZORAI_PLAN_HARMOR - zofa 2		
